Index,NC Long,NC Short,C Long,C Short,NR Long,NR Short,
2/14/2023,405023,954869,3738019,3088280,386319,486212,
2/21/2023,392808,915762,3820295,3206845,450269,540765,
2/28/2023,389111,996915,3724550,3017626,357167,456288,
3/7/2023,428102,986729,3735144,3057230,347863,467150,
3/14/2023,437323,907384,3775252,3228467,367224,443947,
3/21/2023,389646,906933,3752946,3256450,391943,371152,
3/28/2023,421492,916285,3534522,3074562,402981,368148,
4/4/2023,338639,967280,3764012,3138759,397753,394365,
4/11/2023,401757,1048337,3717340,3088710,392585,374636,
4/18/2023,452055,1151450,3760765,3106240,419881,375012,
4/25/2023,405007,1102144,3726694,3080561,421992,370987,
5/2/2023,419089,1165465,3740051,3050858,446998,389816,
5/9/2023,451173,1173848,3838498,3205330,449315,359808,
5/16/2023,503017,1226527,3912315,3314738,480529,354596,
5/23/2023,431009,1257927,4164580,3437931,485384,385116,
5/30/2023,383192,1254030,3988303,3212080,438945,344330,
6/6/2023,380259,1156372,3894702,3183116,419230,354703,
6/13/2023,380216,1123027,3950379,3297349,446961,357180,
6/20/2023,365559,1169828,3983379,3256462,440246,362893,
6/27/2023,387989,1215165,3926450,3182277,444923,361920,
7/4/2023,399192,1220167,4045330,3291902,449797,382250,
7/11/2023,458344,1157642,4129289,3435476,419536,414050,
7/18/2023,417017,1071686,4155107,3512787,410786,398437,
7/25/2023,398217,1066966,4037458,3399034,432158,401834,
8/1/2023,437377,1119106,4161771,3481161,427359,426240,
8/8/2023,482652,1218186,4149776,3435753,441242,419730,
8/15/2023,463982,1263668,4200195,3432242,461900,430166,
8/22/2023,450575,1231784,4259655,3519291,480638,439792,
9/1/2023,417712,1213360,4067453,3314150,466188,423843,
9/8/2023,443703,1233662,3974566,3208522,437407,413493,
