Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,8121,7733,765,298,727,9184,9225,867,826
2022-05-10,8789,8086,836,227,1016,9852,9938,989,903
2022-05-17,9564,8758,805,194,1069,10563,10632,1081,1012
2022-05-24,9723,8874,793,141,958,10657,10625,1072,1104
2022-05-31,8680,8277,1028,159,662,9867,9967,1033,933
2022-06-07,8959,8469,799,169,698,9927,9966,1063,1024
2022-06-14,9996,8935,1176,62,1009,11234,11120,1008,1122
2022-06-21,10495,9449,1916,78,1073,12489,12438,1048,1099
2022-06-28,11137,10052,1565,115,1062,12817,12679,890,1028
2022-07-05,10642,10222,1400,158,620,12200,12242,1058,1016
2022-07-12,10325,10496,1717,216,417,12258,12630,1247,875
2022-07-19,10909,11415,1729,514,580,13152,13724,1360,788
2022-07-26,9778,9899,3570,449,567,13797,14036,1160,921
2022-08-02,9740,10321,1270,754,510,11764,12101,1085,748
2022-08-09,9294,9524,1743,439,510,11476,11777,1034,733
2022-08-16,9284,9377,1687,250,510,11221,11574,1202,849
2022-08-23,10778,9814,1333,50,1249,12161,12396,1141,906
2022-08-30,11777,10481,1592,75,1402,13444,13475,996,965
2022-09-06,12743,11421,1575,63,1364,14381,14360,956,977
2022-09-13,10268,10142,1331,546,866,12145,12339,944,750
2022-09-20,11157,10580,1371,245,1057,12773,13008,1107,872
2022-09-27,11902,10878,1244,64,1285,13210,13407,1061,864
2022-10-04,11481,11513,1095,363,784,12939,13392,1291,838
2022-10-11,12704,11847,2012,33,1110,14749,14969,1007,787
2022-10-18,10710,10688,1994,120,785,12824,13467,1404,761
2022-10-25,11084,11061,1993,601,981,13678,14035,1176,819
2022-11-01,8967,9419,1592,406,422,10965,11433,1218,750
2022-11-08,11303,11285,1667,200,649,13170,13601,1269,838
2022-11-15,14096,13525,2437,137,1051,16670,17013,1231,888
2022-11-22,14231,13525,2614,104,1113,16949,17252,1405,1102
2022-11-29,13783,13459,1686,127,907,15596,16052,1236,780
2022-12-06,12651,12584,1447,306,874,14404,14905,1365,864
2022-12-13,10666,10706,1591,403,812,12660,13109,1329,880
2022-12-20,11268,10951,1830,146,941,13244,13722,1319,841
2022-12-27,12361,11668,2333,43,1082,14737,15083,1291,945
2023-01-03,11747,11358,1607,73,651,13427,13616,1103,914
2023-01-10,11989,12583,1116,447,476,13552,14175,1339,716
2023-01-17,12456,13083,1038,951,614,14445,14735,1440,1150
2023-01-24,13036,14473,1522,1365,453,15923,16448,1467,942
2023-01-31,13599,15398,1015,1293,373,15907,16786,1635,756
2023-02-07,13170,14348,1299,930,363,15399,16010,1444,833
2023-02-14,11775,12558,1326,789,424,13890,14308,1268,850
2023-02-21,12188,13000,2105,810,372,15103,15477,1398,1024
2023-02-28,11921,12520,1295,713,427,13929,14242,1232,919
2023-03-07,10107,10066,1298,326,478,11731,11842,1090,979
2023-03-14,10584,10686,1411,229,512,12224,12609,1248,863
2023-03-21,10851,11472,1319,429,532,12599,13323,1450,726
2023-03-28,11168,11444,1529,263,534,12960,13507,1449,902
2023-04-04,10415,11030,1205,302,485,11922,12720,1458,660
2023-04-11,12216,13338,1362,857,484,14435,15184,1542,793
2023-04-18,11629,12118,1871,517,693,14017,14682,1368,703
2023-04-25,9566,9859,2724,410,706,12700,13289,1364,775
2023-05-02,9685,9517,1288,289,1108,11262,11913,1259,608
2023-05-09,10027,9604,1508,233,1364,11768,12476,1334,626
2023-05-16,10055,9044,1491,163,1626,11709,12161,1334,882
2023-05-23,10124,9231,1544,168,1413,11836,12188,1207,855
2023-05-30,9040,8853,1246,251,875,10537,10974,1178,741
2023-06-06,10106,9337,1561,187,1383,11854,12281,1172,745
2023-06-13,10086,9343,1875,122,1309,12083,12527,1168,724
2023-06-20,11932,11535,2246,250,1177,14428,14958,1259,729
2023-06-27,13003,15097,2436,1610,620,17049,18153,1780,676
2023-07-03,12854,14930,888,1698,566,15440,16384,1568,624
2023-07-11,12322,14177,1102,1343,539,14767,15818,1535,484
2023-07-18,11846,13007,1230,722,526,13798,14763,1657,692
2023-07-25,11941,12586,2151,422,600,14514,15337,1503,680
2023-08-01,11755,12294,1348,531,617,13634,14259,1226,601
2023-08-08,12985,14134,1426,1082,626,15493,16186,1250,557
2023-08-15,11981,12693,1550,602,588,14133,14831,1299,601
2023-08-22,13427,11912,2532,132,2061,16091,16505,1171,757
2023-08-29,13177,11670,1572,146,2227,14895,15469,1277,703
2023-09-05,11933,9894,1706,105,2639,13744,14239,1218,723
2023-09-12,11893,9661,2279,117,2660,14289,14600,1134,823
2023-09-19,12869,11272,2480,130,2127,15479,15879,1191,791
2023-09-26,10930,9136,2572,142,2175,13644,13883,1200,961
2023-10-03,11964,10908,1127,161,1636,13252,13671,1195,776
2023-10-10,11759,10608,1500,138,1800,13397,13908,1286,775
2023-10-17,12766,12439,2173,281,1276,15220,15888,1341,673
2023-10-24,14814,15268,2606,641,1079,18061,18953,1617,725
2023-10-31,15495,17241,1041,1599,696,18135,18978,1468,625
2023-11-07,17253,18930,1485,1431,637,20169,21052,1580,697
2023-11-14,15939,17283,2550,1105,624,19594,20457,1609,746
2023-11-21,17150,18026,1971,1154,709,20275,20706,1664,1233
2023-11-28,18979,20724,1016,1344,552,21339,22292,1688,735
2023-12-05,17907,20157,1592,1895,508,21394,22257,1641,778
2023-12-12,15714,17781,2159,1684,496,19557,20436,1654,775
2023-12-19,16517,18868,2362,1771,466,20650,21696,2589,1543
2023-12-26,16274,18576,2563,1544,452,20381,21591,2145,935
