Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
5/3/2022,4357,18264,202,37429,6887,41988,25353,7397,24032
5/10/2022,4727,20490,26,38258,8439,43011,28955,8271,22327
5/17/2022,5240,21832,235,39722,8541,45197,30608,8094,22683
5/24/2022,1355,21028,342,39913,8219,41610,29589,8308,20329
5/31/2022,2641,23099,869,37473,7622,40983,31590,8596,17989
6/7/2022,2609,18741,3313,34494,7278,40416,29332,9378,20462
6/14/2022,4291,11099,0,26045,7898,30336,18997,9026,20365
6/21/2022,3068,10225,1,24927,9969,27996,20195,9673,17474
6/28/2022,4523,13114,18,25994,8132,30535,21264,9588,18859
7/5/2022,3218,13353,20,26664,6589,29902,19962,8602,18542
7/12/2022,7017,15741,37,26217,6335,33271,22113,7984,19142
7/19/2022,6948,17860,80,25008,5803,32036,23743,9819,18112
7/26/2022,8138,19437,95,27195,6585,35428,26117,8653,17964
8/2/2022,8170,21478,172,29075,5796,37417,27446,8457,18428
8/9/2022,8635,18417,69,25084,5620,33788,24106,9414,19096
8/16/2022,7773,12869,58,21767,8151,29598,21078,9809,18329
8/23/2022,9541,11946,156,23858,9079,33555,21181,8916,21290
8/30/2022,11915,14177,234,27113,11642,39262,26053,7906,21115
9/6/2022,10882,14919,1140,26584,9717,38606,25776,9620,22450
9/13/2022,7704,15009,806,26988,10476,35498,26291,9355,18562
9/20/2022,8167,14907,40,22309,9323,30516,24270,10421,16667
9/27/2022,7681,13411,115,28196,11298,35992,24824,8500,19668
10/4/2022,7816,14668,37,26140,10118,33993,24823,9128,18298
10/11/2022,5501,11391,41,29436,11453,34978,22885,8770,20863
10/18/2022,7052,14138,35,28702,9604,35789,23777,9122,21134
10/25/2022,5538,16838,116,31843,8682,37497,25636,9097,20958
11/1/2022,6612,21396,114,35822,8091,42548,29601,7559,20506
11/8/2022,4865,22019,283,35603,7327,40751,29629,9156,20278
11/15/2022,2271,19098,388,29249,7612,31908,27098,10058,14868
11/22/2022,1910,16386,337,28470,9267,30717,25990,10723,15450
11/29/2022,1488,15735,362,28814,8844,30664,24941,10696,16419
12/6/2022,1343,13573,145,28500,10641,29988,24359,10183,15812
12/13/2022,2081,13892,2646,34016,18044,38743,34582,10597,14758
12/20/2022,5001,9065,24,13639,8467,18664,17556,11376,12484
12/27/2022,3929,8060,86,13618,9451,17633,17597,12218,12254
1/3/2023,6632,9486,22,16274,9843,22928,19351,10322,13899
1/10/2023,3668,11038,22,17034,8828,20724,19888,12542,13378
1/17/2023,3919,11860,19,18933,7576,22871,19455,11429,14845
1/24/2023,3624,13132,19,20185,8620,23828,21771,11540,13597
1/31/2023,5664,13978,23,21109,9293,26796,23294,11549,15051
2/7/2023,7052,13420,830,21184,10380,29066,24630,9776,14212
2/14/2023,4701,12169,509,22447,10365,27657,23043,9934,14548
2/21/2023,7243,13763,66,22668,10610,29977,24439,9110,14648
2/28/2023,8876,13793,63,24005,8566,32944,22422,9047,19569
3/7/2023,10394,14344,642,27451,12621,38487,27607,8258,19138
3/14/2023,3594,13559,2284,21386,8068,27264,23911,11742,15095
3/21/2023,4853,12150,1451,19555,6944,25859,20545,9978,15292
3/28/2023,3978,10052,828,19865,9132,24671,20012,10185,14844
4/4/2023,2958,10961,1932,20038,9216,24928,22109,12249,15068
4/11/2023,4155,10889,2147,19920,10184,26222,23220,12050,15052
4/18/2023,5347,10067,2200,18138,14752,25685,27019,15185,13851
4/25/2023,6556,10212,1596,18374,15673,26526,27481,15210,14255
5/2/2023,8230,11229,2465,18816,16249,29511,29943,13740,13308
5/9/2023,7056,11523,2245,19431,14672,28732,28440,14657,14949
5/16/2023,8561,10420,1996,18524,15686,29081,28102,14600,15579
5/23/2023,10267,11170,2539,18328,16637,31134,30346,13674,14462
5/30/2023,8482,8917,796,18560,17027,27838,26740,13516,14614
6/6/2023,11579,12893,473,20726,13678,32778,27044,11309,17043
6/13/2023,8386,13429,4232,22225,15192,34843,32853,13320,15310
6/20/2023,8322,13173,51,15585,10349,23958,23573,12170,12555
6/27/2023,6627,11573,167,17667,10649,24461,22389,12918,14990
7/3/2023,10634,14038,179,18633,11068,29446,25285,11193,15354
7/11/2023,7417,15324,131,20604,12439,28152,27894,15411,15669
7/18/2023,6772,16983,100,18183,12256,25055,29339,18158,13874
7/25/2023,7804,16235,545,16787,13366,25136,30146,19044,14034
8/1/2023,7299,16046,859,18058,13850,26216,30755,17767,13228
8/8/2023,8509,13961,357,18991,14899,27857,29217,15265,13905
8/15/2023,8693,12700,27,18812,14612,27532,27339,15262,15455
8/22/2023,10200,14066,382,19640,14032,30222,28480,14104,15846
8/29/2023,8253,12771,18,20545,14157,28816,26946,14426,16296
9/5/2023,11494,16819,500,22508,11821,34502,29140,12168,17530
9/12/2023,9009,18347,1148,26017,13666,36174,33161,13771,16784
9/19/2023,12196,20131,17,25167,9323,37380,29471,9258,17167
9/26/2023,12377,21492,13,31968,11054,44358,32559,9542,21341
10/3/2023,11143,27885,32,38468,11100,49643,39017,9030,19656
10/10/2023,11633,27708,32,41526,12696,53191,40436,8551,21306
10/17/2023,10327,27405,48,42247,11914,52622,39367,8724,21979
10/24/2023,9807,24902,43,39724,12588,49574,37533,9692,21733
10/31/2023,8888,23798,86,38201,12234,47175,36118,9178,20235
11/7/2023,8054,25616,83,39228,11336,47365,37035,9391,19721
11/14/2023,5515,25666,97,42240,14697,47852,40460,11612,19004
11/21/2023,4727,23721,44,43931,15344,48702,39109,10113,19706
11/28/2023,4300,24589,280,44145,17454,48725,42323,11754,18156
12/5/2023,3732,21584,1805,42164,18451,47701,41840,12655,18516
12/12/2023,3970,18444,5939,42489,23176,52398,47559,12788,17627
12/19/2023,6723,12811,242,24946,15870,31911,28923,13370,16358
12/26/2023,8422,11867,219,24486,18961,33127,31047,14095,16175
1/2/2024,10734,15949,225,24329,20171,35288,36345,15948,14891
1/9/2024,11044,15436,193,23140,20616,34377,36245,15792,13924
1/16/2024,10627,14365,289,22450,22177,33366,36831,17114,13649
1/23/2024,10049,15220,38,24238,18039,34325,33297,14073,15101
1/30/2024,10137,14041,33,25245,18023,35415,32097,12368,15686
2/6/2024,10591,16158,38,27071,17805,37700,34001,12219,15918
2/13/2024,12689,18703,161,32148,17068,44998,35932,10071,19137
2/20/2024,13036,22959,126,37455,17979,50617,41064,9413,18966
2/27/2024,15857,27838,383,40716,17007,56956,45228,8251,19979
3/5/2024,16935,34486,444,49507,20330,66886,55260,9280,20906
3/12/2024,11236,29106,4746,56885,28182,72867,62034,9575,20408
3/19/2024,13003,33503,52,48825,15433,61880,48988,9665,22557
3/26/2024,16323,38291,30,54629,17175,70982,55496,9478,24964
4/2/2024,21220,43590,62,56144,17461,77426,61113,9682,25995
4/9/2024,16626,48390,7,64665,16582,81298,64979,9535,25854
4/16/2024,14650,50862,0,69412,16456,84062,67318,9349,26093
4/23/2024,9681,52243,153,75581,19264,85415,71660,10614,24369
