Index,NC Long,NC Short,C Long,C Short,NR Long,NR Short,
2/14/2023,335241,107700,712599,959969,83044,63215,
2/21/2023,350973,95626,832002,1114703,93506,66152,
2/28/2023,327155,111841,688223,919521,79637,63653,
3/7/2023,345068,106285,829946,1101984,98280,65025,
3/14/2023,324534,112926,860106,1116432,114659,69941,
3/21/2023,325815,142470,880680,1096291,103584,71317,
3/28/2023,316082,105311,847721,1074174,94930,79247,
4/4/2023,328482,67593,881990,1159477,89235,72637,
4/11/2023,333035,57699,886407,1183772,96440,74410,
4/18/2023,344617,55186,866459,1188016,96357,64232,
4/25/2023,339727,61501,843190,1161277,99839,59979,
5/2/2023,339002,80314,906003,1211083,108144,61752,
5/9/2023,342915,81856,936125,1226379,99380,70185,
5/16/2023,334096,99824,914026,1179214,99050,68134,
5/23/2023,329181,106129,863165,1115224,94882,65875,
5/30/2023,333632,138451,901142,1132567,102784,66540,
6/6/2023,334693,132161,932000,1165451,97045,66125,
6/13/2023,342311,153960,897319,1120276,97788,63182,
6/20/2023,345891,150054,860456,1084127,91018,63183,
6/27/2023,340089,169970,883659,1087822,95490,61446,
7/4/2023,328468,152543,876895,1086290,99781,66311,
7/11/2023,352878,145505,856056,1088565,101542,76407,
7/18/2023,368253,128961,783798,1052938,96423,66576,
7/25/2023,356507,94135,795381,1084296,98318,71775,
8/1/2023,368383,88433,802704,1108111,103919,78462,
8/8/2023,381285,87367,802314,1119368,100334,77200,
8/15/2023,357811,80563,807051,1113365,102593,73526,
8/22/2023,365182,96196,748429,1042605,91886,66696,
9/1/2023,367242,90820,783869,1082776,89198,66712,
9/8/2023,404644,74446,780413,1122709,97719,85622,
9/15/2023,423881,64150,823834,1207697,107678,83546,
9/22/2023,439667,68586,771115,1170832,102280,73644,
