Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,,,,,,,,,
2022-05-10,,,,,,,,,
2022-05-17,,,,,,,,,
2022-05-24,,,,,,,,,
2022-05-31,,,,,,,,,
2022-06-07,,,,,,,,,
2022-06-14,,,,,,,,,
2022-06-21,,,,,,,,,
2022-06-28,,,,,,,,,
2022-07-05,,,,,,,,,
2022-07-12,,,,,,,,,
2022-07-19,,,,,,,,,
2022-07-26,,,,,,,,,
2022-08-02,,,,,,,,,
2022-08-09,,,,,,,,,
2022-08-16,,,,,,,,,
2022-08-23,,,,,,,,,
2022-08-30,,,,,,,,,
2022-09-06,,,,,,,,,
2022-09-13,,,,,,,,,
2022-09-20,,,,,,,,,
2022-09-27,,,,,,,,,
2022-10-04,,,,,,,,,
2022-10-11,,,,,,,,,
2022-10-18,,,,,,,,,
2022-10-25,,,,,,,,,
2022-11-01,,,,,,,,,
2022-11-08,,,,,,,,,
2022-11-15,,,,,,,,,
2022-11-22,6619,7912,23,3687,2505,10329,10440,233,122
2022-11-29,6614,8103,23,3883,2505,10520,10631,233,122
2022-12-06,6487,8082,13,4082,2453,10582,10548,72,106
2022-12-13,6661,8272,56,4422,2777,11139,11105,72,106
2022-12-20,6961,8642,43,4786,3086,11790,11771,77,96
2022-12-27,6961,8651,43,4959,3250,11963,11944,77,96
2023-01-03,7256,9305,43,5402,3355,12701,12703,72,70
2023-01-10,7504,9753,43,5637,3417,13184,13213,82,53
2023-01-17,8101,11320,33,6772,3707,14906,15060,223,69
2023-01-24,8922,12673,18,7352,3777,16292,16468,240,64
2023-01-31,9173,13116,18,7542,3777,16733,16911,237,59
2023-02-07,,,,,,,,,
2023-02-14,9285,13339,24,7773,3745,17082,17108,161,135
2023-02-21,9275,13774,24,8049,3645,17348,17443,191,96
2023-02-28,9283,14258,24,8174,3290,17481,17572,189,98
2023-03-07,9171,14372,54,7975,2825,17200,17251,174,123
2023-03-14,9240,14627,54,8140,2825,17434,17506,174,102
2023-03-21,9248,14697,54,8205,2815,17507,17566,174,115
2023-03-28,9338,14827,54,8275,2815,17667,17696,174,145
2023-04-04,9751,15159,45,8147,2739,17943,17943,268,268
2023-04-11,9814,15204,45,8142,2739,18001,17988,278,291
2023-04-18,10039,15772,45,8871,3215,18955,19032,157,80
2023-04-25,10723,16592,30,9230,3424,19983,20046,171,108
2023-05-02,10304,16221,45,9288,3510,19637,19776,245,106
2023-05-09,10459,16301,45,9378,3594,19882,19940,164,106
2023-05-16,10949,17021,50,9743,3694,20742,20765,140,117
2023-05-23,10947,17007,45,9769,3709,20761,20761,133,133
2023-05-30,10931,17007,45,9785,3709,20761,20761,133,133
2023-06-06,10696,16587,45,9461,3557,20202,20189,122,135
2023-06-13,10666,17071,45,9704,3130,20415,20246,130,299
2023-06-20,10676,17125,70,9704,3130,20450,20325,170,295
2023-06-27,10723,17405,70,9814,3127,20607,20602,138,143
2023-07-03,10676,17333,105,9789,3127,20570,20565,138,143
2023-07-11,10468,17068,95,9585,3004,20148,20167,141,122
2023-07-18,10823,17339,97,9690,2979,20610,20415,185,380
2023-07-25,11021,17394,97,9765,3054,20883,20545,162,500
2023-08-01,11141,17508,112,9962,3264,21215,20884,162,493
2023-08-08,10698,16745,82,9500,3157,20280,19984,194,490
2023-08-15,10775,16680,82,9516,3150,20373,19912,150,611
2023-08-22,10765,16674,78,9516,3150,20359,19902,154,611
2023-08-29,10755,16602,65,9611,3185,20431,19852,137,716
2023-09-05,10218,16060,50,9176,2869,19444,18979,99,564
2023-09-12,10209,16099,50,9185,2869,19444,19018,121,547
2023-09-19,10248,16100,56,9173,2869,19477,19025,75,527
2023-09-26,10301,16302,50,9251,2951,19602,19303,87,386
2023-10-03,10025,15801,50,8689,2666,18764,18517,70,317
2023-10-10,10130,15831,50,8701,2726,18881,18607,73,347
2023-10-17,10146,15831,50,8710,2741,18906,18622,77,361
2023-10-24,10176,15876,50,8750,2771,18976,18697,92,371
2023-10-31,10250,15891,50,8892,2950,19192,18891,138,439
2023-11-07,10003,14928,40,8502,3149,18545,18117,126,554
