Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,52804,12107,32903,111613,154620,197320,199630,9017,6707
2022-05-10,50564,18009,35006,119399,152958,204969,205973,7690,6686
2022-05-17,49501,11014,36713,111397,152346,197611,200073,8495,6033
2022-05-24,46580,9508,42311,114208,152692,203099,204511,8167,6755
2022-05-31,50242,7227,44217,110322,156079,204781,207523,9389,6647
2022-06-07,57417,8650,47659,108343,159706,213419,216015,9164,6568
2022-06-14,55397,8512,38316,100060,148459,193773,195287,8883,7369
2022-06-21,58442,9071,34176,91789,144137,184407,187384,8425,5448
2022-06-28,55545,10345,35113,96232,143379,186890,188837,8006,6059
2022-07-05,54965,8178,34634,95332,144471,184931,187283,8800,6448
2022-07-12,49003,14695,35144,103113,138279,187260,188118,8550,7692
2022-07-19,47036,19057,36771,104664,132690,188471,188518,7570,7523
2022-07-26,46313,17672,38442,107155,136022,191910,192136,7626,7400
2022-08-02,44520,17236,41388,113679,141647,199587,200271,8153,7469
2022-08-09,46419,15966,39789,114888,146156,201096,201911,8350,7535
2022-08-16,45062,11591,36734,99068,134386,180864,182711,9438,7591
2022-08-23,49636,11003,32105,93508,133738,175249,176846,9123,7526
2022-08-30,61416,12729,35724,87194,138177,184334,186630,9555,7259
2022-09-06,59224,12056,37423,88013,137289,184660,186768,9278,7170
2022-09-13,54749,12482,40058,93613,137973,188420,190513,9237,7144
2022-09-20,52377,11305,39282,90726,133724,182385,184311,9048,7122
2022-09-27,55454,10774,38198,82448,129112,176100,178084,9049,7065
2022-10-04,53549,11398,39254,82724,126988,175527,177640,9171,7058
2022-10-11,51359,10825,38482,89131,132490,178972,181797,9226,6401
2022-10-18,41151,21928,45339,101222,122827,187712,190094,9017,6635
2022-10-25,42119,30768,50192,106110,119436,198421,200396,9859,7884
2022-11-01,41421,39238,56278,109540,113702,207239,209218,10161,8182
2022-11-08,42534,47217,55387,109195,107283,207116,209887,10530,7759
2022-11-15,37332,51486,40700,103544,91704,181576,183890,10167,7853
2022-11-22,36484,52670,40760,108711,93968,185955,187398,8967,7524
2022-11-29,35834,50470,41431,110025,96330,187290,188231,9075,8134
2022-12-06,40476,55118,41931,111365,98458,193772,195507,9524,7789
2022-12-13,44628,54098,39917,105240,96789,189785,190804,8917,7898
2022-12-20,46189,50470,35769,97301,93546,179259,179785,8576,8050
2022-12-27,47164,49868,34242,95143,93339,176549,177449,8710,7810
2023-01-03,46411,47223,35504,96423,97064,178338,179791,9429,7976
2023-01-10,48809,63548,40862,108900,97590,198571,202000,11598,8169
2023-01-17,44803,71548,45583,123565,99314,213951,216445,10878,8384
2023-01-24,45404,68132,52958,122400,102233,220762,223323,10598,8037
2023-01-31,45937,47818,62762,102565,103491,211264,214071,10630,7823
2023-02-07,44152,42068,62374,104372,107411,210898,211853,11201,10246
2023-02-14,41846,36796,53534,98976,105731,194356,196061,11118,9413
2023-02-21,44122,31806,51348,90640,104838,186110,187992,10018,8136
2023-02-28,46240,29843,48672,91441,109192,186353,187707,9822,8468
2023-03-07,42006,26943,48881,97381,113233,188268,189057,9178,8389
2023-03-14,39557,27247,50245,100533,113531,190335,191023,9143,8455
2023-03-21,43072,24376,50888,99606,117279,193566,192543,7452,8475
2023-03-28,40112,23361,52810,98733,114442,191655,190613,9239,10281
2023-04-04,37985,25337,55247,99174,112293,192406,192877,9019,8548
2023-04-11,45503,20626,49679,89339,114580,184521,184885,8467,8103
2023-04-18,55542,18541,42109,83982,122291,181633,182941,8620,7312
2023-04-25,58266,21674,45545,81704,119409,185515,186628,7412,6299
2023-05-02,56491,22950,48233,83291,117784,188015,188967,7713,6761
2023-05-09,51964,22227,45782,88256,119056,186002,187065,7551,6488
2023-05-16,52857,21822,44839,88674,120898,186370,187559,7473,6284
2023-05-23,53687,20939,49101,88628,122001,191416,192041,7267,6642
2023-05-30,47353,23733,53497,95031,118654,195881,195884,6827,6824
2023-06-06,49241,20910,57164,90686,119455,197091,197529,7356,6918
2023-06-13,51676,18182,50299,76767,110193,178742,178674,7058,7126
2023-06-20,47938,20921,46598,74318,101484,168854,169003,6770,6621
2023-06-27,42190,33695,46660,84606,92658,173456,173013,6662,7105
2023-07-03,40194,38628,49404,88225,89103,177823,177135,7746,8434
2023-07-11,44851,46457,50344,89038,87223,184233,184024,8128,8337
2023-07-18,43238,50243,53955,91052,84733,188245,188931,9066,8380
2023-07-25,43000,48965,54117,91760,86757,188877,189839,8940,7978
2023-08-01,41914,46867,56073,90792,86967,188779,189907,9423,8295
2023-08-08,40277,46823,52985,85745,80322,179007,180130,9154,8031
2023-08-15,39091,57779,45057,91159,72750,175307,175586,9141,8862
2023-08-22,43670,66736,43470,95106,72641,182246,182847,8760,8159
2023-08-29,47621,69086,42474,94486,73712,184581,185272,8524,7833
2023-09-05,50355,68806,43807,93849,76067,188011,188680,8545,7876
2023-09-12,51691,68269,45425,94510,78692,191626,192386,9390,8630
2023-09-19,52920,57328,43578,87410,83888,183908,184794,9555,8669
2023-09-26,52564,61226,44546,89324,80874,186434,186646,9262,9050
2023-10-03,53926,68375,49953,96217,82743,200096,201071,10119,9144
2023-10-10,52945,68760,52772,100755,86055,206472,207587,11220,10105
2023-10-17,57855,58043,52298,94538,95505,204691,205846,11080,9925
2023-10-24,55113,36905,48950,85251,103364,189314,189219,10332,10427
