Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
5/3/2022,589856,87991,140680,642906,1094116,1373442,1322787,140438,191093
5/10/2022,573327,102419,157723,644830,1060175,1375880,1320317,134903,190466
5/17/2022,589352,115609,162539,653039,1077795,1404930,1355943,143508,192495
5/24/2022,563850,136002,183344,657258,1029780,1404452,1349126,140433,195759
5/31/2022,551849,147649,214212,657849,1011197,1423910,1373058,140307,191159
6/7/2022,520783,129519,226034,673039,1010176,1419856,1365729,137311,191438
6/14/2022,519685,119910,184287,678186,1022382,1382158,1326579,139407,194986
6/21/2022,504174,124005,191486,675580,1002054,1371240,1317545,140912,194607
6/28/2022,433710,105608,181193,597265,871375,1212168,1158176,125886,179878
7/5/2022,395713,135008,193979,618691,826132,1208383,1155119,122652,175916
7/12/2022,384324,137168,200512,624590,821123,1209426,1158803,123773,174396
7/19/2022,358478,148538,190984,631146,796757,1180608,1136279,127850,172179
7/26/2022,330027,143499,212425,649795,788694,1192247,1144618,128521,176150
8/2/2022,346483,145128,230419,647342,796776,1224244,1172323,123650,175571
8/9/2022,349498,138712,202073,639748,800402,1191319,1141187,126594,176726
8/16/2022,367371,147242,186173,642350,808668,1195894,1142083,120568,174379
8/23/2022,389720,126477,182135,619600,826406,1191455,1135018,121503,177940
8/30/2022,402312,118915,154933,595440,821199,1152685,1095047,115050,172688
9/6/2022,406895,120348,165970,590573,821275,1163438,1107593,116649,172494
9/13/2022,424311,129742,181162,588143,822322,1193616,1133226,116795,177185
9/20/2022,432909,127232,190506,591425,832663,1214840,1150401,116001,180440
9/27/2022,415961,119339,209259,604188,833624,1229408,1162222,117870,185056
10/4/2022,415676,110714,207970,620478,860437,1244124,1179121,121498,186501
10/11/2022,445776,120655,204600,637863,896088,1288239,1221343,120700,187596
10/18/2022,437906,125487,219645,635253,884508,1292804,1229640,126283,189447
10/25/2022,453036,123252,238148,625537,899182,1316721,1260582,129121,185260
11/1/2022,465181,124393,253786,624855,911645,1343822,1289824,128695,182693
11/8/2022,437467,135913,256786,657281,911463,1351534,1304162,132893,180265
11/15/2022,386487,133579,234990,667033,878895,1288510,1247464,133045,174091
11/22/2022,373722,124957,231949,624358,839854,1230029,1196760,132635,165904
11/29/2022,360350,90108,190521,552816,783985,1103687,1064614,122723,161796
12/6/2022,315270,116895,198429,597177,754713,1110876,1070037,121431,162270
12/13/2022,316184,103954,196454,570199,743422,1082837,1043830,122422,161429
12/20/2022,308817,108837,198778,557960,716576,1065555,1024191,122226,163590
12/27/2022,332327,97194,189492,545317,735190,1067136,1021876,119835,165095
1/3/2023,359493,91961,203008,541890,759007,1104391,1053976,117043,167458
1/10/2023,332822,99027,203852,561153,743764,1097827,1046643,116990,168174
1/17/2023,376732,104859,196876,558706,772504,1132314,1074239,118719,176794
1/24/2023,388317,110948,212531,558456,764118,1159304,1087597,115106,186813
1/31/2023,407766,110954,229618,545068,770690,1182452,1111262,115712,186902
2/7/2023,406535,124185,232548,570044,774469,1209127,1131202,110302,188227
2/14/2023,428415,123703,263857,567684,791288,1259956,1178848,115293,196401
2/21/2023,414502,131479,250315,561129,770764,1225946,1152558,114376,187764
2/28/2023,338242,195111,214591,586528,661874,1139361,1071576,108814,176599
3/7/2023,328158,224886,226453,609285,653457,1163896,1104796,114247,173347
3/14/2023,316200,272423,231294,673214,653531,1220708,1157248,116158,179618
3/21/2023,327137,267661,240630,667983,664190,1235750,1172481,113622,176891
3/28/2023,317171,245643,255114,661172,673690,1233457,1174447,112429,171439
4/4/2023,310288,224598,246109,644140,697454,1200537,1168161,134134,166510
4/11/2023,336195,232886,246081,640896,686179,1223172,1165146,115312,173338
4/18/2023,340625,234989,234494,635232,676476,1210351,1145959,109200,173592
4/25/2023,297251,272603,192468,644207,609507,1133926,1074578,109017,168365
5/2/2023,269161,329794,189534,648610,535351,1107305,1054679,116649,169275
5/9/2023,273098,332191,219781,656111,552459,1148990,1104431,120884,165443
5/16/2023,282281,330740,224819,677060,574435,1184160,1129994,115341,169507
5/23/2023,282880,345147,217191,682886,567054,1182957,1129392,116884,170449
5/30/2023,274956,295363,243915,685222,613012,1204093,1152290,115112,166915
6/6/2023,268763,283534,263705,672074,605954,1204542,1153193,117595,168944
6/13/2023,279814,234722,247386,649579,636729,1176779,1118837,118468,176410
6/20/2023,342125,223352,203541,623477,681507,1169143,1108400,121205,181948
6/27/2023,296186,182748,223543,605531,665560,1125260,1071851,120815,174224
7/3/2023,270772,224369,243087,610770,610246,1124629,1077702,122354,169281
7/11/2023,268196,260385,243712,600948,565733,1112856,1069830,129084,172110
7/18/2023,270722,250852,267297,624697,593429,1162716,1111578,122460,173598
7/25/2023,291631,221155,251631,622624,629590,1165886,1102376,114321,177831
8/1/2023,307432,227358,275090,618095,636317,1200617,1138765,117235,179087
8/8/2023,290414,264687,251121,619891,593097,1161426,1108905,123007,175528
8/15/2023,277537,304503,241794,637897,564723,1157228,1111020,129791,175999
8/22/2023,278071,329621,246500,643827,546858,1168398,1122979,132941,178360
8/29/2023,271797,307610,208924,609413,530033,1090134,1046567,124783,168350
9/5/2023,278322,323954,224538,601098,521133,1103958,1069625,125742,160075
9/12/2023,264473,352461,245298,628085,509249,1137856,1107008,130320,161168
9/19/2023,270874,372107,251146,639517,504761,1161537,1128014,130657,164180
9/26/2023,275064,393604,262079,669786,518336,1206929,1174019,132678,165588
10/3/2023,281318,388862,276814,672709,531906,1230841,1197582,137063,170322
