Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2023-01-03,59178,42719,26256,99292,116977,184726,185952,13198,11972
2023-01-10,58104,40160,30008,99886,119822,187998,189990,13474,11482
2023-01-17,56634,48681,30776,103146,112528,190556,191985,12734,11305
2023-01-24,61599,43766,32639,100981,120660,195219,197065,12918,11072
2023-01-31,61398,44493,33939,100108,120596,195445,199028,14890,11307
2023-02-07,56591,44791,35727,104133,118669,196451,199187,14477,11741
2023-02-14,55760,44610,27086,95169,108777,178015,180473,14898,12440
2023-02-21,51460,54429,26566,94938,92396,172964,173391,12306,11879
2023-02-28,52764,51040,27691,92328,95042,172783,173773,14060,13070
2023-03-07,53260,47327,29430,89770,95978,172460,172735,12046,11771
2023-03-14,50501,53289,31592,95381,91152,177474,176033,11496,12937
2023-03-21,51426,63008,34088,99630,85404,185144,182500,11525,14169
2023-03-28,50893,61014,38156,99934,87944,188983,187114,11070,12939
2023-04-04,49554,56297,37624,95210,87180,182388,181101,11458,12745
2023-04-11,51255,54534,31696,90941,87884,173892,174114,12514,12292
2023-04-18,55156,50686,22643,77142,84371,154941,157700,13335,10576
2023-04-25,52624,58037,22197,82680,76359,157501,156593,10665,11573
2023-05-02,52384,59415,24014,84663,78027,161061,161456,11727,11332
2023-05-09,53526,52349,25269,86382,87730,165177,165348,11177,11006
2023-05-16,54180,52625,27856,91976,93831,174012,174312,10912,10612
2023-05-23,63540,41221,27695,88722,114739,179957,183655,13024,9326
2023-05-30,58770,44158,30042,95264,111125,184076,185325,12016,10767
2023-06-06,60225,43756,26042,94138,115159,180405,184957,13865,9313
2023-06-13,54187,42977,18872,84850,99656,157909,161505,13971,10375
2023-06-20,52445,45787,17574,86869,95737,156888,159098,13339,11129
2023-06-27,53597,55275,20032,88184,85864,161813,161171,11530,12172
2023-07-03,55036,50861,19744,88351,93258,163131,163863,11901,11169
2023-07-11,56842,43347,19431,86030,101930,162303,164708,13298,10893
2023-07-18,57414,38933,18806,88259,110188,164479,167927,13524,10076
2023-07-25,69370,31386,19503,89362,136012,178235,186901,16115,7449
2023-08-01,76566,32686,25176,91940,145307,193682,203169,17522,8035
2023-08-08,77078,35934,25448,95591,145550,198117,206932,15971,7156
2023-08-15,76629,35911,26400,90263,140809,193292,203120,16647,6819
2023-08-22,72366,36689,22529,90593,134979,185488,194197,15744,7035
2023-08-29,77879,33029,23120,90384,143681,191383,199830,15627,7180
2023-09-05,91093,34683,25022,94304,161090,210419,220795,18327,7951
2023-09-12,86922,35540,26579,96890,157077,210391,219196,17240,8435
2023-09-19,83885,32836,31611,101412,160937,216908,225384,16424,7948
2023-09-26,82240,34460,33440,106539,162443,222219,230343,16274,8150
2023-10-03,88465,30303,39674,107180,173651,235319,243628,16235,7926
2023-10-10,85087,32754,43658,110400,169373,239145,245785,15173,8533
2023-10-17,71672,38435,45378,118833,156842,235883,240655,14813,10041
2023-10-24,64477,41797,42535,116370,142585,223382,226917,13814,10279
2023-10-31,63750,41086,47345,112247,136927,223342,225358,13608,11592
2023-11-07,59595,51027,46556,112834,121420,218985,219003,13000,12982
2023-11-14,58487,54707,34403,104658,108000,197548,197110,12956,13394
2023-11-21,60732,54724,29849,92688,97425,183269,181998,11896,13167
2023-11-28,61638,55454,31818,87247,91473,180703,178745,11436,13394
2023-12-05,62704,56147,33725,89387,94678,185816,184550,11020,12286
12/12/2023,66280,52176,31510,88023,102170,185813,185856,11017,10974
