Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2023-01-03,46411,47223,35504,96423,97064,178338,179791,9429,7976
2023-01-10,48809,63548,40862,108900,97590,198571,202000,11598,8169
2023-01-17,44803,71548,45583,123565,99314,213951,216445,10878,8384
2023-01-24,45404,68132,52958,122400,102233,220762,223323,10598,8037
2023-01-31,45937,47818,62762,102565,103491,211264,214071,10630,7823
2023-02-07,44152,42068,62374,104372,107411,210898,211853,11201,10246
2023-02-14,41846,36796,53534,98976,105731,194356,196061,11118,9413
2023-02-21,44122,31806,51348,90640,104838,186110,187992,10018,8136
2023-02-28,46240,29843,48672,91441,109192,186353,187707,9822,8468
2023-03-07,42006,26943,48881,97381,113233,188268,189057,9178,8389
2023-03-14,39557,27247,50245,100533,113531,190335,191023,9143,8455
2023-03-21,43072,24376,50888,99606,117279,193566,192543,7452,8475
2023-03-28,40112,23361,52810,98733,114442,191655,190613,9239,10281
2023-04-04,37985,25337,55247,99174,112293,192406,192877,9019,8548
2023-04-11,45503,20626,49679,89339,114580,184521,184885,8467,8103
2023-04-18,55542,18541,42109,83982,122291,181633,182941,8620,7312
2023-04-25,58266,21674,45545,81704,119409,185515,186628,7412,6299
2023-05-02,56491,22950,48233,83291,117784,188015,188967,7713,6761
2023-05-09,51964,22227,45782,88256,119056,186002,187065,7551,6488
2023-05-16,52857,21822,44839,88674,120898,186370,187559,7473,6284
2023-05-23,53687,20939,49101,88628,122001,191416,192041,7267,6642
2023-05-30,47353,23733,53497,95031,118654,195881,195884,6827,6824
2023-06-06,49241,20910,57164,90686,119455,197091,197529,7356,6918
2023-06-13,51676,18182,50299,76767,110193,178742,178674,7058,7126
2023-06-20,47938,20921,46598,74318,101484,168854,169003,6770,6621
2023-06-27,42190,33695,46660,84606,92658,173456,173013,6662,7105
2023-07-03,40194,38628,49404,88225,89103,177823,177135,7746,8434
2023-07-11,44851,46457,50344,89038,87223,184233,184024,8128,8337
2023-07-18,43238,50243,53955,91052,84733,188245,188931,9066,8380
2023-07-25,43000,48965,54117,91760,86757,188877,189839,8940,7978
2023-08-01,41914,46867,56073,90792,86967,188779,189907,9423,8295
2023-08-08,40277,46823,52985,85745,80322,179007,180130,9154,8031
2023-08-15,39091,57779,45057,91159,72750,175307,175586,9141,8862
2023-08-22,43670,66736,43470,95106,72641,182246,182847,8760,8159
2023-08-29,47621,69086,42474,94486,73712,184581,185272,8524,7833
2023-09-05,50355,68806,43807,93849,76067,188011,188680,8545,7876
2023-09-12,51691,68269,45425,94510,78692,191626,192386,9390,8630
2023-09-19,52920,57328,43578,87410,83888,183908,184794,9555,8669
2023-09-26,52564,61226,44546,89324,80874,186434,186646,9262,9050
2023-10-03,53926,68375,49953,96217,82743,200096,201071,10119,9144
2023-10-10,52945,68760,52772,100755,86055,206472,207587,11220,10105
2023-10-17,57855,58043,52298,94538,95505,204691,205846,11080,9925
2023-10-24,55113,36905,48950,85251,103364,189314,189219,10332,10427
2023-10-31,54727,32448,53683,85014,106890,193424,193021,9706,10109
2023-11-07,56049,29074,49484,84825,111585,190358,190143,10741,10956
2023-11-14,57038,28371,41977,79011,108707,178026,179055,11018,9989
2023-11-21,62113,31779,45207,71654,103561,178974,180547,9950,8377
2023-11-28,64033,33475,47030,71780,104187,182843,184692,11068,9219
2023-12-05,67450,33190,52606,76883,112765,196939,198561,11747,10125
12/12/2023,67149,30581,52855,78878,117054,198882,200490,11508,9900
