Index,NC Long,NC Short,C Long,C Short,NR Long,NR Short,
2/14/2023,65588,72682,105445,106236,20627,12742,
2/21/2023,73099,72313,110031,117191,21517,15142,
2/28/2023,59331,67338,94585,92745,18633,12466,
3/7/2023,62159,72552,99365,97931,20482,11523,
3/14/2023,51921,68671,104056,94525,20163,12944,
3/21/2023,47875,63457,105038,94467,18394,13383,
3/28/2023,54870,58541,102774,105546,19142,12698,
4/4/2023,58573,63518,101489,104240,20368,12672,
4/11/2023,54003,59773,98845,98497,19533,14112,
4/18/2023,65122,57970,97190,111758,19542,12125,
4/25/2023,55097,73930,99346,89344,21888,13058,
5/2/2023,52784,75549,99772,82769,19883,14121,
5/9/2023,53311,79134,100348,79635,18901,13791,
5/16/2023,57464,90041,109043,80050,20227,16642,
5/23/2023,59208,88474,110073,83072,19002,16737,
5/30/2023,53996,89708,115115,80871,17193,15724,
6/6/2023,55700,81792,112448,87572,17172,15955,
6/13/2023,60968,73804,98555,85679,17628,17669,
6/20/2023,64227,62003,93192,97170,17573,15819,
6/27/2023,63624,61160,88864,94744,16952,13535,
7/4/2023,58219,67504,88934,81657,16237,14229,
7/11/2023,59109,70445,91301,83168,17951,14748,
7/18/2023,67164,71196,95125,95631,18416,13877,
7/25/2023,74239,73260,101957,105483,16964,14417,
8/1/2023,80120,70088,95198,112441,20061,12849,
8/8/2023,70536,81101,101890,96720,18933,13538,
8/15/2023,65275,91965,107930,86343,19104,14001,
8/22/2023,62552,87377,100301,77672,17253,15057,
9/1/2023,62151,78550,87970,72655,14614,13531,
9/8/2023,66713,73550,82431,77630,15454,13417,
9/15/2023,66218,79339,80205,69487,16586,14183,
9/22/2023,67480,84410,81683,68772,17226,13207,
