Index,NC Long,NC Short,C Long,C Short,NR Long,NR Short
2/14/2023,"400,947","112,402","656,878","858,540","153,855","240,740"
2/21/2023,"383,976","119,454","651,404","836,264","151,195","230,856"
2/28/2023,"307,313","187,693","673,878","716,792","146,021","222,728"
3/7/2023,"291,546","217,152","699,729","709,347","152,795","217,572"
3/14/2023,"263,939","262,093","779,521","714,525","158,537","225,379"
3/21/2023,"272,004","258,040","777,880","726,643","157,402","222,604"
3/28/2023,"274,589","240,344","763,643","738,315","157,681","217,253"
4/4/2023,"271,102","218,398","749,210","764,934","177,315","214,295"
4/11/2023,"301,446","228,547","742,994","754,681","158,390","219,602"
4/18/2023,"303,951","225,263","741,692","757,897","154,943","217,426"
4/25/2023,"274,861","270,922","740,144","683,805","152,287","212,565"
5/2/2023,"240,088","332,549","763,256","617,254","163,957","217,497"
5/9/2023,"245,533","335,926","773,041","639,383","169,481","212,746"
5/16/2023,"260,439","334,863","803,923","671,176","163,606","221,930"
5/23/2023,"254,629","345,743","810,490","665,394","167,199","221,181"
5/30/2023,"253,345","299,562","805,131","706,683","164,253","216,483"
6/6/2023,"251,226","283,935","794,497","711,534","168,761","219,014"
6/13/2023,"256,603","224,179","775,948","750,281","170,528","228,618"
6/20/2023,"310,418","195,912","766,559","823,254","183,174","240,985"
6/27/2023,"294,717","178,323","718,026","774,086","167,616","227,949"
7/4/2023,"266,599","224,087","751,880","732,168","168,619","230,842"
7/11/2023,"250,674","258,364","739,710","678,971","174,285","227,334"
7/18/2023,"244,583","237,016","752,308","707,005","169,134","222,004"
7/25/2023,"278,466","199,326","736,619","748,422","161,357","228,693"
8/1/2023,"301,097","221,594","742,192","742,144","157,704","237,255"
8/8/2023,"268,174","255,361","751,482","696,825","163,958","231,428"
8/15/2023,"254,229","292,229","779,011","675,802","172,559","237,769"
