Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2023-01-03,5118,4663,220,0,475,5338,5358,639,619
2023-01-10,3943,4477,330,195,149,4468,4956,974,486
2023-01-17,3692,4586,355,506,157,4553,5098,1032,487
2023-01-24,3240,3887,401,420,129,4061,4417,986,630
2023-01-31,2736,3405,416,215,117,3367,3938,964,393
2023-02-07,2720,3523,577,431,106,3728,4206,931,453
2023-02-14,2668,3151,431,424,263,3523,3845,849,527
2023-02-21,2334,3295,667,732,172,3733,4134,967,566
2023-02-28,2102,3092,413,872,168,3387,3673,739,453
2023-03-07,2110,2477,282,569,216,2961,2975,627,613
2023-03-14,2675,3351,450,630,107,3755,3908,687,534
2023-03-21,2465,3595,366,873,97,3704,4058,867,513
2023-03-28,2224,3252,259,752,93,3235,3604,884,515
2023-04-04,2601,3683,529,676,93,3806,4305,924,425
2023-04-11,2336,3361,428,782,249,3546,4038,870,378
2023-04-18,3793,5238,485,1108,118,5386,5841,862,407
2023-04-25,2078,2936,319,754,195,3151,3450,743,444
2023-05-02,1848,2120,126,461,506,2435,2752,677,360
2023-05-09,1651,2016,199,507,535,2357,2750,816,423
2023-05-16,1880,2007,163,382,579,2425,2749,803,479
2023-05-23,2259,2293,144,368,462,2771,2899,671,543
2023-05-30,1872,2394,19,467,224,2358,2637,718,439
2023-06-06,2919,3081,53,443,516,3415,3650,709,474
2023-06-13,2244,2036,76,293,525,2613,2637,598,574
2023-06-20,2425,2266,66,117,347,2608,2679,634,563
2023-06-27,2650,3826,144,886,141,3680,4111,813,382
2023-07-03,2985,4163,51,980,152,4016,4366,714,364
2023-07-11,2337,3143,133,520,145,2990,3421,719,288
2023-07-18,2472,3033,257,536,284,3265,3574,831,522
2023-07-25,2017,2432,390,452,403,2859,3225,773,407
2023-08-01,2010,2070,169,239,393,2418,2632,598,384
2023-08-08,2254,2314,128,143,233,2525,2675,669,519
2023-08-15,2382,2067,136,105,413,2623,2616,538,545
2023-08-22,3393,2496,457,31,840,3881,3793,552,640
2023-08-29,3281,2470,161,33,1039,3475,3670,650,455
2023-09-05,3790,2508,244,31,1288,4065,4040,450,475
2023-09-12,4396,2868,226,29,1486,4651,4580,530,601
2023-09-19,3663,2391,385,28,1265,4076,4041,484,519
2023-09-26,3781,2372,324,0,1307,4105,4003,542,644
2023-10-03,3062,2469,117,94,757,3273,3343,536,466
2023-10-10,4029,3023,148,0,1037,4177,4208,589,558
2023-10-17,4644,3308,204,17,1317,4865,4829,493,529
2023-10-24,3596,3130,306,157,833,4059,4269,662,452
2023-10-31,2807,3293,164,368,264,3339,3721,788,406
2023-11-07,3210,3947,201,250,110,3661,4258,949,352
2023-11-14,3520,4577,307,564,125,4391,5009,994,376
2023-11-21,3616,4414,389,413,194,4418,4997,901,322
2023-11-28,4274,5259,93,541,101,4908,5453,840,295
2023-12-05,4281,5630,148,875,104,5304,5882,1069,491
12/12/2023,3387,4499,299,607,96,4293,4894,900,299
