Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,208449,214827,14988,383222,407808,606659,637623,88267,57303
2022-05-10,228230,211701,15852,376043,419069,620125,646622,84921,58424
2022-05-17,230770,210431,18374,372113,423630,621257,652435,85455,54277
2022-05-24,237072,198142,17629,366345,438945,621046,654716,87892,54222
2022-05-31,236553,184281,17192,365434,450620,619179,652093,87138,54224
2022-06-07,230248,179705,43813,365628,453817,639689,677335,90978,53332
2022-06-14,206986,213004,15196,361159,389654,583341,617854,84823,50310
2022-06-21,195554,211159,17261,373695,391877,586510,620297,85208,51421
2022-06-28,189414,200010,18121,380084,399896,587619,618027,83853,53445
2022-07-05,197138,213990,16455,377654,386290,591247,616735,82525,57037
2022-07-12,197240,222484,16358,385039,379279,598637,618121,83394,63910
2022-07-19,195875,238620,17564,397991,380561,611430,636745,82676,57361
2022-07-26,198041,239625,19989,393062,374406,611092,634020,83007,60079
2022-08-02,191692,230503,17884,391841,376321,601417,624708,82466,59175
2022-08-09,200088,234624,18823,394543,380141,613454,633588,78944,58810
2022-08-16,199226,242010,19297,400458,379542,618981,640849,79589,57721
2022-08-23,210825,254934,17992,406701,382394,635518,655320,82403,62601
2022-08-30,202258,249934,25268,411684,382824,639210,658026,80871,62055
2022-09-06,205277,241626,23448,409460,389850,638185,654924,83493,66754
2022-09-13,207778,219615,35296,410364,421787,653438,676698,88806,65546
2022-09-20,206564,173115,20951,354891,407201,582406,601267,75546,56685
2022-09-27,208736,174939,18485,348374,406814,575595,600238,78547,53904
2022-10-04,199391,155709,18075,348817,405665,566283,579449,74175,61009
2022-10-11,196136,158637,17465,349091,409252,562692,585354,76656,53994
2022-10-18,202703,154553,14505,347078,417655,564286,586713,76183,53756
2022-10-25,226734,151825,17146,346949,440781,590829,609752,75890,56967
2022-11-01,239770,133980,15533,339364,468183,594667,617696,77062,54033
2022-11-08,232317,124718,18228,339218,470981,589763,613927,78139,53975
2022-11-15,239369,126703,13671,343388,494961,596428,635335,86147,47240
2022-11-22,239598,116486,12681,345848,503792,598127,632959,82746,47914
2022-11-29,241122,118875,15882,356905,511490,613909,646247,81867,49529
2022-12-06,245063,120180,18255,363169,523174,626487,661609,85050,49928
2022-12-13,236415,111700,28262,414090,571467,678767,711429,94033,61371
2022-12-20,249149,106877,12941,379011,565025,641101,684843,84867,41125
2022-12-27,251887,105725,13598,379076,565896,644561,685219,83826,43168
2023-01-03,222543,92628,14417,389861,563942,626821,670987,85209,41043
2023-01-10,238623,103641,15490,400775,582985,654888,702116,91275,44047
2023-01-17,228279,101295,14650,416510,595584,659439,711529,94476,42386
2023-01-24,237743,103394,13780,429253,615703,680776,732877,96793,44692
2023-01-31,246755,96246,13556,440756,644345,701067,754147,95671,42591
2023-02-07,238338,73300,14054,438393,650139,690785,737493,90502,43794
2023-02-14,236574,72668,14096,444388,656178,695058,742942,93575,45691
2023-02-21,236414,71346,17122,444658,658476,698194,746944,91704,42954
2023-02-28,240766,78567,18401,451634,663537,710801,760505,93162,43458
2023-03-07,233880,85432,31753,458256,660884,723889,778069,97168,42988
2023-03-14,222313,82357,16294,418829,605698,657436,704349,87967,41054
2023-03-21,215825,70983,16122,417802,608973,649749,696078,87688,41359
2023-03-28,222918,77893,13319,410545,601793,646782,693005,85724,39501
2023-04-04,225416,82023,15007,415104,609891,655527,706921,91568,40174
2023-04-11,244180,80842,14446,411456,623521,670082,718809,89357,40630
2023-04-18,242369,78008,15983,417586,630871,675938,724862,90436,41512
2023-04-25,243516,74116,15747,418842,643279,678105,733142,94777,39740
2023-05-02,246832,73343,20000,418940,640643,685772,733986,93686,45472
2023-05-09,260335,80913,19461,418410,652670,698206,753044,96515,41677
2023-05-16,258736,71647,21599,416383,654716,696718,747962,93212,41968
2023-05-23,250070,76334,20905,418071,642266,689046,739505,92077,41618
2023-05-30,241817,76092,23617,415872,629887,681306,729596,93836,45546
2023-06-06,236060,77639,30609,419532,623448,686201,731696,95766,50271
2023-06-13,226138,74316,31111,456529,653600,713778,759027,104516,59267
2023-06-20,229399,84750,12108,398646,591369,640153,688227,92826,44752
2023-06-27,223977,78949,11391,403130,596390,638498,686730,93625,45393
2023-07-03,221272,78435,12478,401256,590715,635006,681628,90921,44299
2023-07-11,224351,84189,12477,403460,595922,640288,692588,95768,43468
2023-07-18,264514,85682,15240,406328,635671,686082,736593,97050,46539
2023-07-25,250647,73417,21590,402626,636895,674863,731902,97545,40506
