Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
5/3/2022,79017,40636,46350,161247,210238,286614,297224,22690,12080
5/10/2022,73929,42551,48518,152809,196881,275256,287950,24799,12105
5/17/2022,75744,41946,45290,162371,209141,283405,296377,24256,11284
5/24/2022,72517,40092,43477,170888,214487,286882,298056,23596,12422
5/31/2022,76089,42399,42019,165784,211816,283892,296234,23735,11393
6/7/2022,75841,45353,45451,162330,204196,283622,295000,24623,13245
6/14/2022,76744,45288,42502,164469,208141,283715,295931,25175,12959
6/21/2022,75835,44428,37711,162816,204896,276362,287035,23491,12818
6/28/2022,76657,44558,33731,154967,197421,265355,275710,23177,12822
7/5/2022,72955,44934,35050,142761,175454,250766,255438,20221,15549
7/12/2022,69876,37134,34452,153217,192171,257545,263757,20335,14123
7/19/2022,72688,32872,38062,139646,185147,250396,256081,19650,13965
7/26/2022,74431,29027,36640,124784,175103,235855,240770,19651,14736
8/2/2022,78784,27966,37050,118686,175981,234520,240997,19000,12523
8/9/2022,74516,29010,34864,122093,172347,231473,236221,18926,14178
8/16/2022,81394,33725,32972,124919,177549,239285,244246,20499,15538
8/23/2022,86578,33788,33677,127310,185429,247565,252894,18173,12844
8/30/2022,80794,31092,34066,119875,173313,234735,238471,18480,14744
9/6/2022,79830,30664,31535,115591,166329,226956,228528,17453,15881
9/13/2022,76103,30511,34230,121491,167400,231824,232141,18029,17712
9/20/2022,77904,30831,32535,126887,175079,237326,238445,18448,17329
9/27/2022,78843,34783,30355,111947,158851,221145,223989,18200,15356
10/4/2022,78541,30285,34232,111060,164484,223833,229001,18836,13668
10/11/2022,73663,30381,27688,136457,185100,237808,243169,19739,14378
10/18/2022,70916,29050,27428,136891,181689,235235,238167,18654,15722
10/25/2022,77920,33121,27256,110886,161723,216062,222100,19555,13517
11/1/2022,75515,31831,30736,107185,159633,213436,222200,20672,11908
11/8/2022,83270,34517,30816,111348,170574,225434,235907,22245,11772
11/15/2022,79551,31048,35114,128826,184163,243491,250325,20399,13565
11/22/2022,83744,30885,31146,128396,187701,243286,249732,19680,13234
11/29/2022,81398,27194,32955,112797,171455,227150,231604,17526,13072
12/6/2022,76392,22352,42456,118098,174600,236946,239408,18723,16261
12/13/2022,73553,21589,42938,129173,181071,245664,245598,17107,17173
12/20/2022,75089,22184,41184,125040,180117,241313,243485,18551,16379
12/27/2022,72480,21605,38692,116765,171589,227937,231886,19459,15510
1/3/2023,72801,21283,36091,109635,167570,218527,224944,19890,13473
1/10/2023,76471,18783,39232,120957,183765,236660,241780,21082,15962
1/17/2023,79754,23089,48253,138982,203258,266989,274600,22176,14565
1/24/2023,91893,28262,53249,148820,221473,293962,302984,23085,14063
1/31/2023,93933,23150,52952,145507,225926,292392,302028,21320,11684
2/7/2023,79584,15328,63141,161461,234472,304186,312941,23235,14480
2/14/2023,78822,16168,63424,175201,245884,317447,325476,25595,17566
2/21/2023,76211,16534,51601,167612,232069,295424,300204,23356,18576
2/28/2023,77069,14452,46780,153329,222750,277178,283982,23046,16242
3/7/2023,85922,21314,50226,149415,223158,285563,294698,25568,16433
3/14/2023,74190,21795,50864,164115,224378,289169,297037,24504,16636
3/21/2023,60905,23439,54034,167338,210673,282277,288146,21659,15790
3/28/2023,73688,27932,50757,157505,211211,281950,289900,24677,16727
4/4/2023,76675,29875,43682,164005,219621,284362,293178,24490,15674
4/11/2023,89863,37255,40352,166165,230297,296380,307904,26574,15050
4/18/2023,95287,43993,40017,162407,222984,297711,306994,25216,15933
4/25/2023,85672,36533,37719,147453,203219,270844,277471,22086,15459
5/2/2023,78227,30086,45300,148729,203400,272256,278786,21248,14718
5/9/2023,70134,30332,54880,167208,210015,292222,295227,20895,17890
5/16/2023,73389,32705,59368,151327,196618,284084,288691,21369,16762
5/23/2023,84611,37343,58149,146997,199387,289757,294879,20449,15327
5/30/2023,87274,39629,60838,136004,188820,284116,289287,20058,14887
6/6/2023,87567,40826,68220,174277,225928,330064,334974,17303,12393
6/13/2023,89469,37219,65167,164351,221499,318987,323885,20135,15237
6/20/2023,88933,36839,64956,162715,221047,316604,322842,20843,14605
6/27/2023,83074,35394,65986,159696,216115,308756,317495,22532,13793
7/3/2023,86285,40271,64310,146031,200511,296626,305092,23246,14780
7/11/2023,95389,41982,72239,152407,214571,320035,328792,23514,14757
7/18/2023,106199,49413,80819,154693,222710,341711,352942,24973,13742
7/25/2023,111892,53141,78853,152043,221216,342788,353210,24044,13622
8/1/2023,112512,50203,80732,147605,220689,340849,351624,25702,14927
8/8/2023,103890,51921,84207,151196,215622,339293,351750,25923,13466
8/15/2023,109974,51548,87813,152842,221588,350629,360949,25768,15448
8/22/2023,110974,49748,83630,153597,228426,348201,361804,27289,13686
8/29/2023,108708,53006,82990,156466,223018,348164,359014,23681,12831
9/5/2023,105068,50241,84579,158186,224781,347833,359601,25248,13480
9/12/2023,110169,50952,74303,156648,229078,341120,354333,28820,15607
9/19/2023,107978,58636,67829,183363,244684,359170,371149,26697,14718
9/26/2023,99385,58109,54586,176434,229434,330405,342129,26029,14305
10/3/2023,90541,47076,51714,139164,190560,281419,289350,23112,15181
10/10/2023,82003,45655,52240,147364,189170,281607,287065,22129,16671
10/17/2023,77784,46345,58224,174659,211512,310667,316081,22325,16911
10/24/2023,81100,48935,51941,171363,212295,304404,313171,25660,16893
10/31/2023,86855,45351,44805,158305,208299,289965,298455,24853,16363
11/7/2023,85893,41916,57008,149090,201950,291991,300874,25642,16759
11/14/2023,94790,41496,61183,147814,210184,303787,312863,24633,15557
11/21/2023,106289,43985,63193,159856,229758,329338,336936,21767,14169
11/28/2023,108073,41930,61957,151267,226012,321297,329899,22676,14074
12/5/2023,108142,39900,61961,148061,225240,318164,327101,23187,14250
12/12/2023,98505,31459,65731,153307,224897,317543,322087,24628,20084
12/19/2023,103433,30631,56578,153802,235350,313813,322559,34728,25982
12/26/2023,102365,30896,53898,152607,232022,308870,316816,24830,16884
1/2/2024,104729,28574,53054,152781,236155,310564,317783,23229,16010
1/9/2024,99339,27121,61108,160742,237703,321189,325932,22616,17873
1/16/2024,96430,27353,67814,169621,243762,333865,338929,22353,17289
1/23/2024,103756,30015,65594,175634,257063,344984,352672,23304,15616
1/30/2024,106666,33396,59712,175408,257976,341786,351084,23888,14590
2/6/2024,98289,33585,69667,184389,256037,352345,359289,24269,17325
2/13/2024,105269,38933,72521,184956,261102,362746,372556,25456,15646
2/20/2024,105297,41924,73074,187861,260800,366232,375798,24354,14788
2/27/2024,94808,34403,72058,186968,256999,353834,363460,23724,14098
3/5/2024,90111,31479,63971,191671,258753,345753,354203,23124,14674
3/12/2024,91748,32210,65115,195048,266667,351911,363992,27086,15005
3/19/2024,107074,37066,70757,178827,260800,356658,368623,26609,14644
3/26/2024,112724,36995,73362,172241,260379,358327,370736,27687,15278
4/2/2024,115963,32240,81429,180559,277049,377951,390718,28562,15795
4/9/2024,122553,39206,83732,190344,286264,396629,409202,28849,16276
4/16/2024,121169,43959,77895,188084,278880,387148,400734,28781,15195
4/23/2024,113671,41327,82455,191067,275971,387193,399753,27953,15393
4/30/2024,112239,44761,90257,185003,264362,387499,399380,27246,15365
5/7/2024,95412,42898,89558,194414,256921,379384,389377,27739,17746
5/14/2024,89317,40952,91270,200852,256657,381439,388879,25423,17983
5/21/2024,89205,42141,85046,199860,257377,374111,384564,25948,15495
5/28/2024,84059,37845,83081,194505,250591,361645,371517,25512,15640
6/4/2024,83719,37600,78905,192942,243095,355566,359600,22683,18649
6/11/2024,85761,43348,79814,209987,255380,375562,378542,23546,20566
6/18/2024,84370,48254,81541,209074,247742,374985,377537,21220,18668
6/25/2024,88842,47382,71647,192835,241306,353324,360335,24275,17264
7/2/2024,91230,51537,79829,202489,253708,373548,385074,26849,15323
7/9/2024,95915,52809,82192,202236,256042,380343,391043,26799,16099
7/16/2024,88324,49873,87586,195648,242057,371558,379516,25952,17994
7/23/2024,84393,52510,91797,198031,234438,374221,378745,22131,17607
7/30/2024,76701,53645,83633,199931,225299,360265,362577,20351,18039
8/6/2024,72102,60515,82279,197124,209637,351505,352431,20377,19451
8/13/2024,72171,57143,78854,207826,222915,358851,358912,20443,20382
8/20/2024,76147,57438,72786,195021,210706,343954,340930,17248,20272
8/27/2024,77405,54970,74348,174614,195662,326367,324980,16736,18123
9/3/2024,76809,56951,74045,168878,184921,319732,315917,16888,20703
9/10/2024,73102,57465,86984,175850,187889,335936,332338,18097,21695
9/17/2024,73164,56415,83142,174697,187762,331003,327319,18597,22281
9/24/2024,76379,45692,73982,167934,198276,318295,317950,19271,19616
10/1/2024,79808,47184,63104,164328,195275,307240,305563,16653,18330
10/8/2024,81809,40610,60815,160457,202572,303081,303997,18254,17338
10/15/2024,89782,38620,66038,175299,231083,331119,335741,19539,14917
10/22/2024,91365,41208,69285,175611,230440,336261,340933,20375,15703
10/29/2024,93369,46780,67183,179552,228339,340104,342302,17805,15607
11/5/2024,92912,43521,73512,171948,225783,338372,342816,18697,14253
11/12/2024,99022,42042,83924,175215,235413,358161,361379,20651,17433
11/19/2024,101786,40491,73608,166490,233336,341884,347435,23357,17806
11/26/2024,100609,36916,72682,159265,226179,332556,335777,21305,18084
12/3/2024,101785,38239,73820,149570,214410,325175,326469,19917,18623
12/10/2024,107859,36681,80575,162973,238224,351407,355480,25520,21447
12/17/2024,103609,34079,87965,175480,246123,367054,368167,22042,20929
12/24/2024,94823,31876,88560,171353,235472,354736,355908,22332,21160
12/31/2024,90141,32020,90843,171299,231034,352283,353897,21107,19493
1/7/2025,95539,33718,83969,174721,243069,354229,360756,25328,18801
1/14/2025,102946,42317,80895,192700,265822,376541,389034,27288,14795
1/21/2025,103903,48887,83188,218635,283995,405726,416070,26515,16171
1/28/2025,94690,45768,86968,219464,277734,401122,410470,25316,15968
2/4/2025,96631,40149,87274,208454,269727,392359,397150,21248,16457
2/11/2025,96567,40113,83192,210378,278369,390137,401674,27656,16119
2/18/2025,99186,41467,83199,221341,286282,403726,410948,23811,16589
2/25/2025,89260,45917,90401,224141,269042,403802,405360,21398,19840
3/4/2025,88551,51061,102806,208845,244923,400202,398790,19597,21009
3/11/2025,87788,69212,112525,225617,241132,425930,422869,19722,22783
3/18/2025,90949,53320,111342,219971,258070,422262,422732,19942,19472
3/25/2025,95607,52945,102114,226717,269667,424438,424726,19723,19435
4/1/2025,99810,46082,103359,197321,254939,400490,404380,19234,15344
4/8/2025,85325,45380,101584,214123,251321,401032,398285,21158,23905
4/15/2025,74341,52289,94623,228342,249747,397306,396659,20971,21618
4/22/2025,77163,53550,90106,221944,244729,389213,388385,19637,20465
4/29/2025,79078,47338,82096,204639,236909,365813,366343,19303,18773
5/6/2025,77467,40762,86254,210351,249467,374072,376483,23247,20836
5/13/2025,84681,42542,77230,209793,258959,371704,378731,24423,17396
5/20/2025,87620,43199,80033,209162,259298,376815,382530,22791,17076
5/27/2025,85862,45616,75919,215213,257278,376994,378813,19835,18016
6/3/2025,84648,42402,81449,199721,241291,365818,365142,19945,20621
6/10/2025,79592,46893,80026,211210,246657,370828,373576,23072,20324
6/17/2025,75119,44955,73288,190325,226765,338732,345008,23019,16743
6/24/2025,79720,44154,70019,180097,224306,329836,338479,23419,14776
7/1/2025,77920,47935,70660,169941,206831,318521,325426,21936,15031
7/8/2025,79692,45522,75136,167065,210607,321893,331265,23313,13941
7/15/2025,85289,40944,76591,168103,221078,329983,338613,22940,14310
7/22/2025,84263,49564,79848,182367,222325,346478,351737,21267,16008
7/29/2025,83946,41567,76907,160267,208277,321120,326751,22376,16745
8/5/2025,76878,42725,71099,162972,202910,310949,316734,21212,15427
8/12/2025,71526,42532,65715,170385,206446,307626,314693,22920,15853
8/19/2025,69984,39099,66815,175377,211821,312176,317735,22075,16516
8/26/2025,79754,40412,61864,164044,210049,305662,312325,21812,15149
9/2/2025,83524,42218,55289,157003,205983,295816,303490,24129,16455
9/9/2025,81040,39919,66210,164911,217316,312161,323445,26762,15478
9/16/2025,86260,42601,73746,183418,238281,343424,354628,27051,15847
9/23/2025,88040,46033,72945,171382,224361,332367,343339,24929,13957
9/30/2025,0,0,0,0,0,0,0,0,0
10/7/2025,0,0,0,0,0,0,0,0,0
10/14/2025,0,0,0,0,0,0,0,0,0
10/14/2025,0,0,0,0,0,0,0,0,0
10/14/2025,0,0,0,0,0,0,0,0,0
