Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,33536,107349,5616,208754,119728,247906,232693,20590,35803
2022-05-10,29469,109067,4341,210627,115382,244437,228790,20157,35804
2022-05-17,26613,105854,4740,201647,107303,233000,217897,20811,35914
2022-05-24,25936,106308,5019,203802,106760,234757,218087,19107,35777
2022-05-31,30788,104893,8861,193786,106614,233435,220368,19446,32513
2022-06-07,34618,105428,10661,191742,111277,237021,227366,21602,31257
2022-06-14,29343,94939,4343,184011,102948,217697,202230,20625,36092
2022-06-21,28470,91717,4891,177170,99268,210531,195876,17735,32390
2022-06-28,35184,88302,4530,170967,100737,210681,193569,18055,35167
2022-07-05,39618,95826,4870,178745,101736,223233,202432,17693,38494
2022-07-12,33850,92939,4348,174748,99343,212946,196630,18999,35315
2022-07-19,31943,89193,6173,170053,99754,208169,195120,19882,32931
2022-07-26,34606,88596,5466,168266,97307,208338,191369,17551,34520
2022-08-02,29305,85714,6525,171966,99389,207796,191628,19191,35359
2022-08-09,42219,76687,6837,156282,104232,205338,187756,19243,36825
2022-08-16,44084,77193,7611,156167,108950,207862,193754,19890,33998
2022-08-23,58783,86749,7685,161585,112420,228053,206854,19954,41153
2022-08-30,58477,87647,12025,172796,121298,243298,220970,18706,41034
2022-09-06,52731,103163,15982,189617,119659,258330,238804,22607,42133
2022-09-13,41129,109215,9329,232346,145021,282804,263565,21161,40400
2022-09-20,41289,96132,5922,197346,123858,244557,225912,21738,40383
2022-09-27,59831,106255,5403,195244,130027,260478,241685,21327,40120
2022-10-04,42078,91617,6642,191819,112703,240539,210962,16367,45944
2022-10-11,48979,88149,7350,179700,114896,236029,210395,19620,45254
2022-10-18,40328,91539,5445,194385,118076,240158,215060,18668,43766
2022-10-25,43511,91316,5300,189146,122586,237957,219202,21012,39767
2022-11-01,34979,79815,5896,183210,117833,224085,203544,19464,40005
2022-11-08,36630,76365,5430,176560,120305,218620,202100,18714,35234
2022-11-15,34699,67533,5405,170322,120883,210426,193821,19676,36281
2022-11-22,30917,66859,5000,167143,115656,203060,187515,19257,34802
2022-11-29,26000,62584,5918,172199,122967,204117,191469,21363,34011
2022-12-06,28539,56732,9993,168838,131064,207370,197789,22941,32522
2022-12-13,32008,57747,24098,158686,127398,214792,209243,25472,31021
2022-12-20,35284,40887,6234,123375,110718,164893,157839,22873,29927
2022-12-27,40585,51472,5186,128090,108829,173861,165487,21579,29953
2023-01-03,43625,63926,4615,135314,105622,183554,174163,22168,31559
2023-01-10,36007,65463,4615,138532,103264,179154,173342,23559,29371
2023-01-17,41469,66166,5861,130575,99139,177905,171166,24051,30790
