Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2023-01-03,230801,89135,62735,113520,273494,407056,425364,42337,24029
2023-01-10,243566,93031,79862,111718,284196,435146,457089,46373,24430
2023-01-17,246874,93634,74002,122814,298727,443690,466363,48128,25455
2023-01-24,253311,95638,71317,127419,307973,452047,474928,47880,24999
2023-01-31,256417,96136,51094,120147,300667,427658,447897,43984,23745
2023-02-07,223298,94483,49579,118802,271768,391679,415830,48076,23925
2023-02-14,210374,104845,49486,120812,249884,380672,404215,45444,21901
2023-02-21,210185,103084,49467,119040,248395,378692,400946,43956,21702
2023-02-28,208419,99826,53122,123391,250878,384932,403826,41958,23064
2023-03-07,215574,117100,73866,125394,244314,414834,435280,43640,23194
2023-03-14,230823,90492,63989,122457,277897,417269,432378,41795,26686
2023-03-21,237891,79286,62681,121678,305246,422250,447213,47624,22661
2023-03-28,245135,63505,54302,131786,333294,431223,451101,47388,27510
2023-04-04,266164,70948,44819,116869,335119,427852,450886,48740,25706
2023-04-11,260165,67420,47590,119710,336258,427465,451268,49102,25299
2023-04-18,260061,70168,48050,123496,339921,431607,458139,50647,24115
2023-04-25,253186,67922,44457,124518,336446,422161,448825,51048,24384
2023-05-02,262413,66846,56438,127451,345035,446302,468319,47502,25485
2023-05-09,266472,70658,69482,130985,353500,466939,493640,52012,25311
2023-05-16,255250,75436,73408,138322,349879,466980,498723,54852,23109
2023-05-23,236149,75417,50620,142984,330007,429753,456044,49327,23036
2023-05-30,237306,67990,35269,133329,323334,405904,426593,43611,22922
2023-06-06,237467,61826,34876,116363,314550,388706,411252,47595,25049
2023-06-13,227317,67108,36167,120461,306523,383945,409798,48953,23100
2023-06-20,229308,66333,39908,121419,307956,390635,414197,47402,23840
2023-06-27,220881,68971,43884,119054,294389,383819,407244,48042,24617
2023-07-03,235081,71984,52587,114905,299622,402573,424193,45490,23870
2023-07-11,240546,74792,81216,114790,302539,436552,458547,46618,24623
2023-07-18,263740,70392,57082,115498,329213,436320,456687,45784,25417
2023-07-25,248229,74590,55156,125491,323701,428876,453447,47300,22729
2023-08-01,238985,74061,39534,117610,304455,396129,418050,43254,21333
2023-08-08,228846,85861,40027,113890,281444,382763,407332,44996,20427
2023-08-15,233078,111942,40134,116062,257992,389274,410068,44337,23543
2023-08-22,226340,124394,40941,117646,238682,384927,404017,45312,26222
2023-08-29,236054,112782,44853,118132,258726,399039,416361,43767,26445
2023-09-05,235802,97796,45448,111456,269695,392706,412939,45966,25733
2023-09-12,235704,111840,45715,113062,257872,394481,415427,46740,25794
2023-09-19,237716,102553,46427,110014,262946,394157,411926,43921,26152
2023-09-26,235560,119745,44003,110844,245680,390407,409428,45213,26192
2023-10-03,228406,137180,46898,110666,222648,385970,406726,45256,24500
2023-10-10,220332,148899,50356,121341,211769,392029,411024,44470,25475
2023-10-17,231412,118674,57244,110062,238061,398718,413979,40863,25602
2023-10-24,251469,102084,63698,106180,272053,421347,437835,42129,25641
2023-10-31,261053,97628,63992,105971,288678,431016,450298,44792,25510
2023-11-07,261653,95437,66559,110651,296742,438863,458738,45484,25609
2023-11-14,254352,98976,76145,110728,287747,441225,462868,45409,23766
2023-11-21,269701,97996,78832,115937,306172,464470,483000,43959,25429
2023-11-28,289845,89761,54567,115596,334188,460008,478516,45650,27142
2023-12-05,288840,85296,47953,103193,330138,439986,463387,47483,24082
12/12/2023,273536,85303,44236,105710,318518,423482,448057,46457,21882
