Index,NC Long,NC Short,C Long,C Short,NR Long,NR Short,
2/14/2023,224854,99628,165472,314986,50348,26059,
2/21/2023,222312,100512,166149,311166,49005,25787,
2/28/2023,217124,104081,166491,298964,46512,27081,
3/7/2023,219469,121338,174604,294512,48875,27099,
3/14/2023,247133,92579,183389,352073,47379,33250,
3/21/2023,253738,79356,191118,389982,53506,29025,
3/28/2023,269277,69244,193501,412793,52081,32821,
4/4/2023,292719,72676,186287,428321,54592,32601,
4/11/2023,283793,67385,185837,425847,55001,31400,
4/18/2023,284442,69290,190954,432689,56857,30274,
4/25/2023,274670,64846,180677,417484,56424,29441,
5/2/2023,289971,64808,185974,433022,53189,31304,
5/9/2023,292966,67429,196582,448562,57903,31460,
5/16/2023,273887,68621,199045,436602,60784,28493,
5/23/2023,250863,68158,204944,414176,55031,28503,
5/30/2023,242793,70074,185005,378689,48576,27610,
6/6/2023,243769,64965,167711,368726,52130,29919,
6/13/2023,229264,68351,173634,360906,53614,27255,
6/20/2023,231792,68660,174476,361690,52304,28222,
6/27/2023,222583,68986,162181,339777,52985,28987,
7/4/2023,237916,72719,159002,346034,50276,28440,
7/11/2023,244076,75455,161851,352721,51723,29474,
7/18/2023,272528,72217,164513,384815,51243,31252,
7/25/2023,253403,73571,172474,376614,51710,27402,
8/1/2023,244060,74767,154254,346341,47996,25201,
8/8/2023,229579,84857,151547,321875,50218,24611,
8/15/2023,230043,110241,156607,298485,50232,28157,
8/22/2023,220749,122001,160953,280219,52057,31539,
9/1/2023,242873,115945,154755,299419,48855,31118,
9/8/2023,239516,99618,148097,308930,50906,29970,
9/15/2023,235884,112955,151596,296322,51655,29859,
9/22/2023,238942,102190,150207,305678,49473,30753,
9/29/2023,232836,120311,148698,281572,50808,30458,
