Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
5/3/2022,65590,81213,15198,86458,76378,167246,172789,18009,12466
5/10/2022,57510,80136,16491,93318,74069,167319,170696,17183,13806
5/17/2022,53159,77567,19044,101533,78474,173736,175085,15747,14398
5/24/2022,54130,73763,17992,99318,80030,171440,171785,14993,14648
5/31/2022,53404,71429,19643,99692,84267,172739,175339,17184,14584
6/7/2022,58232,61946,18860,100449,99570,177541,180376,16646,13811
6/14/2022,51077,64874,16288,103433,93146,170798,174308,16449,12939
6/21/2022,50230,71168,16242,103789,84861,170261,172271,16909,14899
6/28/2022,47782,78478,16388,103666,72469,167836,167335,14516,15017
7/5/2022,54073,85869,18993,94749,63409,167815,168271,15516,15060
7/12/2022,52623,78918,18058,87389,60328,158070,157304,13967,14733
7/19/2022,52000,75836,21471,86505,62760,159976,160067,14616,14525
7/26/2022,52377,78939,30242,87146,60307,169765,169488,14193,14470
8/2/2022,50317,77723,36247,84447,56775,171011,170745,13430,13696
8/9/2022,49477,77954,38604,85085,57385,173166,173943,14822,14045
8/16/2022,46797,75017,37419,85187,56255,169403,168691,14097,14809
8/23/2022,50210,69200,28505,81258,60027,159973,157732,13172,15413
8/30/2022,46105,69360,17006,82023,57038,145134,143404,13256,14986
9/6/2022,46581,70571,19111,82038,55218,147730,144900,12521,15351
9/13/2022,44574,63560,20906,78682,58170,144162,142636,13738,15264
9/20/2022,46773,67059,20413,82693,59478,149879,146950,13179,16108
9/27/2022,50726,78482,21139,87188,58304,159053,157925,14608,15736
10/4/2022,50470,68721,22337,78817,60794,151624,151852,14537,14309
10/11/2022,51021,66920,23496,79079,62176,153596,152592,13853,14857
10/18/2022,49335,69637,31387,82890,63194,163612,164218,15118,14512
10/25/2022,50000,66919,34263,79742,63835,164005,165017,15339,14327
11/1/2022,50738,58222,38566,76394,68396,165698,165184,14103,14617
11/8/2022,55028,52115,35100,63309,66735,153437,153950,16492,15979
11/15/2022,60730,50909,29207,61693,75276,151630,155392,17332,13570
11/22/2022,52701,49597,22680,64127,70240,139508,142517,15619,12610
11/29/2022,51433,49449,18582,63196,66558,133211,134589,13549,12171
12/6/2022,55496,53817,21612,66286,70640,143394,146069,15368,12693
12/13/2022,58057,55501,21109,66265,72824,145431,149434,16760,12757
12/20/2022,55940,55165,18816,66289,69796,141045,143777,15159,12427
12/27/2022,58470,57746,18696,67065,71766,144231,148208,16103,12126
1/3/2023,57191,61866,21419,68905,69068,147515,152353,17079,12241
1/10/2023,74753,64526,22152,69787,86040,166692,172718,19691,13665
1/17/2023,84910,68672,26587,69997,92692,181494,187951,19961,13504
1/24/2023,87941,67771,30829,74715,101257,193485,199857,19913,13541
1/31/2023,85410,68195,37956,81694,106108,205060,212259,19764,12565
2/7/2023,75474,72969,40691,87084,98271,203249,211931,19253,10571
2/14/2023,67285,72796,37929,93129,95431,198343,206156,19756,11943
2/21/2023,73395,71346,31203,94047,102557,198645,205106,20560,14099
2/28/2023,60680,66718,32217,85368,85399,178265,184334,17878,11809
3/7/2023,64858,72578,35333,90635,91547,190826,199458,19604,10972
3/14/2023,54088,68244,38003,94496,87389,186587,193636,19410,12361
3/21/2023,51095,63446,38624,94353,86817,184072,188887,17564,12749
3/28/2023,56595,58140,42923,93920,98844,193438,199907,18451,11982
4/4/2023,60538,63492,45201,93465,98362,199204,207055,19483,11632
4/11/2023,56063,60366,43246,91399,92616,190708,196228,18793,13273
4/18/2023,67262,58328,30972,89131,105411,187365,194711,18851,11505
4/25/2023,57224,74266,31852,92294,83990,181370,190108,21052,12314
5/2/2023,54308,76050,29699,92417,76481,176424,182230,19038,13232
5/9/2023,55131,79996,27646,93211,73479,175988,181121,18255,13122
5/16/2023,59693,92300,31458,100023,71328,191174,195086,19241,15329
5/23/2023,61463,91271,34821,101169,73673,197453,199765,17941,15629
5/30/2023,55099,90801,42592,109115,74856,206806,208249,16379,14936
6/6/2023,56660,82616,50799,105982,81372,213441,214787,16315,14969
6/13/2023,61293,74199,41875,92075,79415,195243,195489,16714,16468
6/20/2023,64740,62852,36139,86761,90764,187640,189755,16759,14644
6/27/2023,64514,61574,28446,84643,91082,177603,181102,16445,12946
7/3/2023,59016,67778,28140,84545,77932,171701,173850,15670,13521
7/11/2023,59389,70546,34592,86466,78551,180447,183689,17338,14096
7/18/2023,67321,70871,42369,89488,90542,199178,203782,17684,13080
7/25/2023,73743,72584,49657,95140,99044,218540,221285,16173,13428
8/1/2023,80399,69655,47675,89011,107160,217085,224490,19314,11909
8/8/2023,71247,81304,42579,96728,91820,210554,215703,17983,12834
8/15/2023,67401,93099,36807,101827,81162,206035,211068,18180,13147
8/22/2023,63905,88520,36254,94980,72481,195139,197255,16506,14390
8/29/2023,62624,79240,29618,84292,68805,176534,177663,14095,12966
9/5/2023,67118,73888,32732,78867,74208,178717,180828,14880,12769
9/12/2023,67333,79667,36259,76561,66675,180153,182601,16045,13597
9/19/2023,68244,84544,38553,77704,65392,184501,188489,16596,12608
9/26/2023,70663,99442,41925,87518,60326,200106,201693,15925,14338
10/3/2023,69273,91185,37787,85785,65833,192845,194805,15950,13990
10/10/2023,66679,81434,40381,78608,64416,185668,186231,15546,14983
10/17/2023,71673,97562,44005,87638,64330,203316,205897,17303,14722
10/24/2023,71848,92608,48972,88951,67550,209771,209130,14933,15574
10/31/2023,69909,87070,56912,81000,62605,207821,206587,14745,15979
11/7/2023,66053,76341,59266,74303,63252,199622,198859,13993,14756
11/14/2023,61976,78584,48781,80287,63838,191044,191203,15028,14869
11/21/2023,64822,68365,38472,69770,64235,173064,171072,14013,16005
11/28/2023,62749,66621,29827,67348,62436,159924,158884,13309,14349
12/5/2023,62780,64774,30801,69402,67263,162983,162838,13390,13535
12/12/2023,65630,69634,28455,68476,63345,162561,161434,13473,14600
12/19/2023,74637,69078,31128,65219,72865,170984,173071,18553,16466
12/26/2023,73086,66009,35615,65861,76017,174562,177641,15169,12090
1/2/2024,70594,61977,40245,64201,75839,175040,178061,15712,12691
1/9/2024,64262,77429,48349,77708,68679,190319,194457,16397,12259
1/16/2024,62408,87714,48518,93533,70682,204459,206914,14856,12401
1/23/2024,66369,96292,54030,96985,69290,217384,219612,15726,13498
1/30/2024,71100,79698,50554,90929,83658,212583,213910,17116,15789
2/6/2024,71283,84993,66900,91421,80533,229604,232426,16180,13358
2/13/2024,78229,110926,61830,100413,69987,240472,242743,17289,15018
2/20/2024,79941,95883,43706,89887,73679,213534,213268,16243,16509
2/27/2024,69673,71276,34304,69614,69334,173591,174914,16214,14891
3/5/2024,70970,76297,41181,70538,67830,182689,185308,15872,13253
3/12/2024,87439,82012,45578,69378,76823,202395,204413,17050,15032
3/19/2024,124316,92391,51562,71934,111436,247812,255389,21878,14301
3/26/2024,120771,97688,52453,85728,116572,258952,266713,21779,14018
4/2/2024,126866,106570,56063,87434,116380,270363,279013,23592,14942
4/9/2024,144572,101878,59833,75177,124683,279582,286394,21599,14787
4/16/2024,144590,97021,61811,69560,125646,275961,284478,23259,14742
4/23/2024,149013,90619,63073,73320,139515,285406,293207,23073,15272
4/30/2024,152807,94743,51333,66105,132747,270245,278823,23247,14669
5/7/2024,160147,97499,53416,64280,134292,277843,285207,22549,15185
5/14/2024,163662,101882,56207,71026,140682,290895,298771,25246,17370
5/21/2024,162887,91193,47327,68780,150497,278994,289017,24415,14392
5/28/2024,153739,88217,41131,79821,156575,274691,285923,24148,12916
6/4/2024,142712,81585,37836,79249,153964,259797,273385,23922,10334
6/11/2024,139013,77725,34584,73509,146800,247106,259109,22984,10981
6/18/2024,133890,81269,35760,72833,137348,242483,254377,23452,11558
6/25/2024,134798,84672,35812,61575,124040,232185,244524,23624,11285
7/2/2024,135243,86020,36572,61778,123905,233593,246497,22446,9542
7/9/2024,141237,85206,37840,62868,130417,241945,253463,21924,10406
7/16/2024,139774,80874,43298,65732,135590,248804,259762,21526,10568
