Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2023-01-03,73833,30207,32199,68295,99966,174327,162372,14524,26479
2023-01-10,65146,39377,35868,70042,89400,171056,164645,18949,25360
2023-01-17,63073,47166,40623,74842,85781,178538,173570,21157,26125
2023-01-24,66938,63772,40889,75927,76609,183754,181270,23357,25841
2023-01-31,67149,70743,43815,78668,75256,189632,189814,25530,25348
2023-02-07,66033,73812,46815,78437,71155,191285,191782,27933,27436
2023-02-14,66347,72227,48121,79362,73219,193830,193567,26442,26705
2023-02-21,65678,63974,48448,74070,71307,188196,183729,22814,27281
2023-02-28,61925,65840,52265,78418,72225,192608,190330,24671,26949
2023-03-07,64009,71471,52883,78908,70858,195800,195212,26048,26636
2023-03-14,64228,69945,46405,81207,74512,191840,190862,23861,24839
2023-03-21,63404,81057,50959,80723,63373,195086,195389,25180,24877
2023-03-28,64990,86993,48466,82478,60495,195934,195954,24503,24483
2023-04-04,67173,86962,49496,80675,61196,197344,197654,26223,25913
2023-04-11,65097,89189,52980,82733,61110,200810,203279,27981,25512
2023-04-18,65671,92828,53931,84339,60896,203941,207655,29502,25788
2023-04-25,60383,87405,53777,84742,61056,198902,202238,28143,24807
2023-05-02,60549,80243,57261,86354,67553,204164,205057,26115,25222
2023-05-09,61581,87656,57048,85995,62258,204624,206962,25402,23064
2023-05-16,59120,87854,59209,90332,63709,208661,210772,25031,22920
2023-05-23,60033,93885,60274,88003,57598,208310,211757,24705,21258
2023-05-30,54977,91091,68433,89961,56728,213371,216252,22880,19999
2023-06-06,55832,89335,60703,88831,56874,205366,206912,21583,20037
2023-06-13,58064,84495,47425,85868,58522,191357,190442,20036,20951
2023-06-20,56562,75289,40697,77522,56763,174781,172749,17534,19566
2023-06-27,54598,71178,38519,79456,60182,172573,169879,17330,20024
2023-07-03,58151,70725,44144,78658,63811,180953,178680,18525,20798
2023-07-11,64711,69400,38084,73752,69485,176547,176969,21280,20858
2023-07-18,63838,67899,43140,77936,73474,184914,184513,20508,20909
2023-07-25,63698,66711,40465,74774,73319,178937,180495,22377,20819
2023-08-01,67199,71427,41674,78981,73615,187854,186716,22083,23221
2023-08-08,70436,75786,40427,83300,74822,194163,191035,20389,23517
2023-08-15,66874,77548,43750,84655,70395,195279,191693,18971,22557
2023-08-22,61862,72267,40674,78944,65632,181480,178573,18434,21341
2023-08-29,62287,70078,42984,79329,68204,184600,181266,19021,22355
2023-09-05,63716,69848,40357,80133,70474,184206,180679,19036,22563
2023-09-12,66425,67155,37427,73897,69188,177749,173770,19379,23358
2023-09-19,66719,65137,40949,73285,71981,180953,178067,21119,24005
2023-09-26,62412,64505,42665,73052,69585,178129,176755,20468,21842
2023-10-03,55656,64747,42716,72012,62262,170384,169725,19895,20554
2023-10-10,56146,60100,40732,71719,64759,168597,165591,17173,20179
2023-10-17,52493,67408,47078,77037,60505,176608,174991,18385,20002
2023-10-24,54414,75135,43785,76966,56295,175165,175215,19814,19764
2023-10-31,54521,72710,45208,76620,56610,176349,174528,18275,20096
2023-11-07,56669,67254,42353,73588,60434,172610,170041,18217,20786
2023-11-14,58052,68500,43125,75446,60985,176623,172610,17383,21396
2023-11-21,54041,70982,42725,75055,54409,171821,168116,16117,19822
2023-11-28,54404,79680,43877,76877,49684,175158,173241,18358,20275
2023-12-05,54967,79657,43125,77503,48058,175595,170840,17073,21828
12/12/2023,54212,82667,42087,77622,44746,173921,169500,16150,20571
