Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,18585,119379,2658,215563,95299,236806,217336,18007,37477
2022-05-10,11196,121650,3187,213084,88157,227467,212994,19811,34284
2022-05-17,12113,114422,3845,204417,89355,220375,207622,20933,33686
2022-05-24,16567,116011,3616,192215,85516,212398,205143,24858,32113
2022-05-31,15201,109640,4690,196584,91535,216475,205865,22605,33215
2022-06-07,18466,110112,13473,210889,101780,242828,225365,23226,40689
2022-06-14,32441,102196,1943,175789,89346,210173,193485,22340,39028
2022-06-21,35864,94318,2865,156248,81899,194977,179082,23099,38994
2022-06-28,36462,89032,2855,152071,84176,191388,176063,22379,37704
2022-07-05,38660,93105,3858,149702,85639,192220,182602,25452,35070
2022-07-12,35533,95531,4270,160589,85522,200392,185323,23147,38216
2022-07-19,42880,102105,3646,158427,85345,204953,191096,24496,38353
2022-07-26,43812,105293,3773,157963,84190,205548,193256,23671,35963
2022-08-02,50433,93186,3613,157333,107079,211379,203878,25358,32859
2022-08-09,52333,77365,3895,148628,111634,204856,192894,20978,32940
2022-08-16,51308,80199,3715,152209,110230,207232,194144,21465,34553
2022-08-23,56734,95541,6264,156987,104523,219985,206328,22147,35804
2022-08-30,54513,96044,7090,163991,102704,225594,205838,21436,41192
2022-09-06,56002,114191,10017,191138,113469,257157,237677,24109,43589
2022-09-13,39323,120015,6832,212375,114076,258530,240923,23186,40793
2022-09-20,34767,116047,3521,190267,92754,228555,212322,22337,38570
2022-09-27,22706,105262,4543,195930,95297,223179,205102,21476,39553
2022-10-04,26962,108585,3870,185691,92367,216523,204822,26766,38467
2022-10-11,30149,107542,3213,187119,92670,220481,203425,24526,41582
2022-10-18,30583,124919,3683,203508,92667,237774,221269,26491,42996
2022-10-25,37579,140197,4343,205120,87038,247042,231578,25555,41019
2022-11-01,40460,118080,4204,191221,95447,235885,217731,23021,41175
2022-11-08,37201,112459,4176,183539,94559,224916,211194,26462,40184
2022-11-15,33797,99639,2583,172905,95692,209285,197914,24061,35432
2022-11-22,30800,95650,2752,170350,92244,203902,190646,23533,36789
2022-11-29,28125,95519,3841,173959,91290,205925,190650,22403,37678
2022-12-06,23589,89585,5021,169918,94716,198528,189322,24896,34102
2022-12-13,22290,75478,20985,157021,97992,200296,194455,26668,32509
2022-12-20,33686,74567,942,121482,75759,156110,151268,25924,30766
2022-12-27,29685,67415,1865,118599,72598,150149,141878,22987,31258
2023-01-03,25377,72241,1987,117959,71186,145323,145414,27267,27176
2023-01-10,26395,61772,1211,119166,84678,146772,147661,28973,28084
2023-01-17,29458,52419,1736,114907,96823,146101,150978,30761,25884
2023-01-24,27620,49255,1255,113437,96292,142312,146802,31009,26519
2023-01-31,22550,42610,459,114423,96244,137432,139313,31108,29227
2023-02-07,16556,45645,1262,118080,84734,135898,131641,28171,32428
2023-02-14,23079,50922,1043,124522,88753,148644,140718,26311,34237
2023-02-21,32486,66515,3793,126777,79888,163056,150196,23044,35904
2023-02-28,27703,86381,4534,142893,72372,175130,163287,24917,36760
2023-03-07,17141,92444,5374,163246,73643,185761,171461,25536,39836
2023-03-14,11048,85842,2150,142857,56863,156055,144855,23727,34927
2023-03-21,7255,73600,3208,134389,61905,144852,138713,24336,30475
