Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
5/3/2022,,,,,,,,,
5/10/2022,,,,,,,,,
5/17/2022,,,,,,,,,
5/24/2022,,,,,,,,,
5/31/2022,,,,,,,,,
6/7/2022,,,,,,,,,
6/14/2022,,,,,,,,,
6/21/2022,,,,,,,,,
6/28/2022,,,,,,,,,
7/5/2022,,,,,,,,,
7/12/2022,,,,,,,,,
7/19/2022,,,,,,,,,
7/26/2022,,,,,,,,,
8/2/2022,,,,,,,,,
8/9/2022,,,,,,,,,
8/16/2022,,,,,,,,,
8/23/2022,,,,,,,,,
8/30/2022,,,,,,,,,
9/6/2022,,,,,,,,,
9/13/2022,,,,,,,,,
9/20/2022,,,,,,,,,
9/27/2022,,,,,,,,,
10/4/2022,,,,,,,,,
10/11/2022,,,,,,,,,
10/18/2022,,,,,,,,,
10/25/2022,,,,,,,,,
11/1/2022,,,,,,,,,
11/8/2022,,,,,,,,,
11/15/2022,,,,,,,,,
11/22/2022,,,,,,,,,
11/29/2022,,,,,,,,,
12/6/2022,,,,,,,,,
12/13/2022,,,,,,,,,
12/20/2022,,,,,,,,,
12/27/2022,,,,,,,,,
1/3/2023,,,,,,,,,
1/10/2023,,,,,,,,,
1/17/2023,,,,,,,,,
1/24/2023,,,,,,,,,
1/31/2023,,,,,,,,,
2/7/2023,,,,,,,,,
2/14/2023,,,,,,,,,
2/21/2023,508,81,76,108,754,692,911,337,118
2/28/2023,,,,,,,,,
3/7/2023,,,,,,,,,
3/14/2023,820,102,96,201,1085,1117,1283,385,219
3/21/2023,842,142,99,355,1244,1296,1485,378,189
3/28/2023,754,232,75,547,1328,1376,1635,463,204
4/4/2023,920,575,152,700,1330,1772,2057,592,307
4/11/2023,967,701,178,881,1471,2026,2350,645,321
4/18/2023,966,633,213,1450,1920,2629,2766,675,538
4/25/2023,979,1236,151,2009,2057,3139,3444,655,350
5/2/2023,1152,1724,126,2607,2130,3885,3980,602,507
5/9/2023,1268,2378,20,3122,2434,4410,4832,915,493
5/16/2023,1399,2620,131,3416,2622,4946,5373,935,508
5/23/2023,1434,2732,217,3593,2681,5244,5630,891,505
5/30/2023,1339,2979,256,4028,2846,5623,6081,1002,544
6/6/2023,1344,3030,446,4426,3200,6216,6676,1100,640
6/13/2023,1418,2522,218,4514,3996,6150,6736,1364,778
6/20/2023,1464,2249,171,4414,4314,6049,6734,1347,662
6/27/2023,1708,1382,317,3497,4351,5522,6050,1246,718
7/3/2023,1646,1455,311,3459,4147,5416,5913,1063,566
7/11/2023,1835,787,285,3156,4448,5276,5520,957,713
7/18/2023,2058,568,242,2661,4377,4961,5187,823,597
7/25/2023,1924,1038,222,2771,3927,4917,5187,952,682
8/1/2023,2020,1594,168,3075,3704,5263,5466,1000,797
8/8/2023,2132,2817,305,3703,3682,6140,6804,1182,518
8/15/2023,2342,3719,410,4132,3262,6884,7391,1319,812
8/22/2023,2261,3127,264,3811,3241,6336,6632,1151,855
8/29/2023,2137,3012,223,3734,3047,6094,6282,979,791
9/5/2023,2276,3450,164,3676,2744,6116,6358,970,728
9/12/2023,2449,4280,17,3943,2288,6409,6585,864,688
9/19/2023,2251,4461,3,3927,2007,6181,6471,873,583
9/26/2023,2258,4758,50,4159,1896,6467,6704,979,742
10/3/2023,2294,4479,418,4313,2213,7025,7110,811,726
10/10/2023,2370,4733,446,4566,2457,7382,7636,924,670
10/17/2023,2478,4222,368,4372,2787,7218,7377,982,823
10/24/2023,2043,4941,523,5176,2534,7742,7998,1180,924
10/31/2023,2052,5110,673,5048,2325,7773,8108,1199,864
11/7/2023,1911,3635,409,3726,2186,6046,6230,922,738
11/14/2023,2221,2178,104,3088,2963,5413,5245,669,837
11/21/2023,2636,1764,72,2902,3617,5610,5453,705,862
11/28/2023,2915,1210,66,2727,4280,5708,5556,785,937
12/5/2023,2431,1093,59,2488,3576,4978,4728,766,1016
12/12/2023,2505,948,113,2927,4395,5545,5456,801,890
12/19/2023,2986,818,152,3023,5220,6161,6190,976,947
12/26/2023,3768,621,420,3073,6636,7261,7677,1131,715
1/2/2024,4139,580,447,3193,7122,7779,8149,959,589
1/9/2024,4202,782,219,2452,6207,6873,7208,923,588
1/16/2024,3748,795,159,2671,5771,6578,6725,705,558
1/23/2024,3333,1060,155,3024,5403,6512,6618,684,578
1/30/2024,4011,572,131,2985,6396,7127,7099,690,718
2/6/2024,3839,1212,118,3175,5988,7132,7318,800,614
2/13/2024,3828,1807,174,3643,5854,7645,7835,715,525
2/20/2024,3584,1690,192,3840,6144,7616,8026,895,485
2/27/2024,3666,1340,299,3447,6088,7412,7727,797,482
3/5/2024,4317,865,210,2511,6409,7038,7484,1066,620
3/12/2024,5296,677,322,2419,7200,8037,8199,883,721
3/19/2024,6072,723,474,2215,7536,8761,8733,799,827
3/26/2024,6407,817,461,2300,7896,9168,9174,848,842
4/2/2024,5509,824,206,2526,6976,8241,8006,629,864
4/9/2024,4195,1553,172,2967,5534,7334,7259,763,838
4/16/2024,3502,3056,121,4003,4427,7626,7604,912,934
4/23/2024,3352,5430,392,5049,3295,8793,9117,1161,837
4/30/2024,3306,6020,349,5676,3069,9331,9438,997,890
5/7/2024,3290,6450,154,5560,2621,9004,9225,972,751
5/14/2024,3128,6498,169,5651,2388,8948,9055,869,762
5/21/2024,3086,6679,183,5565,2213,8834,9075,965,724
5/28/2024,3118,6378,242,5403,2249,8763,8869,880,774
6/4/2024,2925,7039,712,6575,2622,10212,10373,1175,1014
6/11/2024,2608,6963,777,7099,2905,10484,10645,1160,999
6/18/2024,2765,7189,518,7163,3017,10446,10724,1215,937
6/25/2024,2809,7513,221,6838,2509,9868,10243,1338,963
7/2/2024,3013,7194,124,6520,2574,9657,9892,1041,806
7/9/2024,2389,7147,117,6913,2432,9419,9696,1015,738
7/16/2024,2399,7627,162,7105,1933,9666,9722,931,875
7/23/2024,2335,6268,209,6475,2668,9019,9145,943,817
7/30/2024,2341,5913,272,6335,2915,8948,9100,1025,873
8/6/2024,2526,5492,500,6053,3279,9079,9271,1163,971
8/13/2024,2132,4575,437,5775,3605,8344,8617,1155,882
8/20/2024,2120,3937,171,5538,3743,7829,7851,1050,1028
8/27/2024,1992,4485,523,5987,3414,8502,8422,1006,1086
9/3/2024,1975,4648,250,6068,3338,8293,8236,784,841
9/10/2024,2052,5039,154,5560,2381,7766,7574,879,1071
9/17/2024,2231,5244,52,5362,2094,7645,7390,747,1002
9/24/2024,2266,4304,41,5050,2896,7357,7241,900,1016
10/1/2024,2197,3536,207,5202,3667,7606,7410,900,1096
10/8/2024,2441,3467,417,5276,4164,8134,8048,895,981
10/15/2024,2335,3488,413,4771,3879,7519,7780,1015,754
10/22/2024,1951,3846,270,5067,3325,7288,7441,909,756
10/29/2024,1995,3757,84,4433,2948,6512,6789,966,689
11/5/2024,2074,1563,38,3135,4203,5247,5804,1134,577
11/12/2024,3126,1280,102,2422,4663,5650,6045,947,552
11/19/2024,3980,1287,167,2063,5140,6210,6594,972,588
11/26/2024,3855,1411,139,2200,4819,6194,6369,864,689
12/3/2024,3891,1222,160,2131,5025,6182,6407,937,712
12/10/2024,2845,1641,170,2531,3686,5546,5497,865,914
12/17/2024,1791,3276,134,4287,2881,6212,6291,945,866
12/24/2024,1810,3454,68,4075,2616,5953,6138,813,628
12/31/2024,1461,3513,111,4026,2096,5598,5720,746,624
1/7/2025,1545,4724,124,4398,1620,6067,6468,919,518
1/14/2025,1822,3835,79,3731,1974,5632,5888,774,518
1/21/2025,1725,3753,60,3374,1638,5159,5451,794,502
1/28/2025,1590,5089,101,4044,930,5735,6120,1170,785
2/4/2025,1630,4094,322,3858,1856,5810,6272,1043,581
2/11/2025,1754,3616,341,3744,2236,5839,6193,947,593
2/18/2025,1887,2325,342,2946,2653,5175,5320,874,729
2/25/2025,2020,1848,457,2515,3199,4992,5504,1196,684
3/4/2025,3049,1261,582,2282,4529,5913,6372,1130,671
3/11/2025,2957,1126,623,2262,4589,5842,6338,1044,548
3/18/2025,3091,988,686,2211,4684,5988,6358,1013,643
3/25/2025,3265,1006,774,2326,4999,6365,6779,1089,675
4/1/2025,3308,1024,501,2508,5223,6317,6748,1099,668
4/8/2025,1774,1540,303,3294,3619,5371,5462,875,784
4/15/2025,1075,1766,288,3834,3437,5197,5491,949,655
4/22/2025,1152,2011,411,4104,3405,5667,5827,956,796
4/29/2025,1114,2472,373,4013,2854,5500,5699,1061,862
5/6/2025,1391,3330,410,4380,2747,6181,6487,1078,772
5/13/2025,1624,4332,169,4925,2573,6718,7074,1078,722
5/20/2025,1923,4202,68,4751,2693,6742,6963,992,771
5/27/2025,2075,4189,70,4905,2818,7050,7077,939,912
6/3/2025,2236,4295,339,5010,3131,7585,7765,947,767
6/10/2025,2486,3920,277,4806,3564,7569,7761,951,759
6/17/2025,2746,2351,295,3903,4523,6944,7169,1090,865
6/24/2025,2717,1886,133,3630,4638,6480,6657,942,765
7/1/2025,2807,1197,170,3148,5215,6125,6582,1030,573
7/8/2025,3375,1520,97,2592,4835,6064,6452,1005,617
7/15/2025,3682,1560,119,2651,5095,6452,6774,878,556
7/22/2025,4092,1378,80,2737,5703,6909,7161,880,628
7/29/2025,4327,1394,184,2837,6296,7348,7874,1112,586
8/5/2025,4966,946,92,3043,7397,8101,8435,1132,798
