Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,63860,49237,1908,79394,97946,145162,149091,6771,2842
2022-05-10,63921,47196,1735,81735,102601,147391,151532,6467,2326
2022-05-17,77819,49604,2261,83844,116093,163924,167958,7000,2966
2022-05-24,83031,53239,2015,84474,118826,169520,174080,7605,3045
2022-05-31,114480,79031,2073,88894,129037,205447,210141,7396,2702
2022-06-07,119162,86436,32697,87884,126001,239743,245134,8441,3050
2022-06-14,114093,140474,1580,75532,52384,191205,194438,6170,2937
2022-06-21,96147,123017,1192,87609,64632,184948,188841,6317,2424
2022-06-28,107031,121011,386,79060,69953,186477,191350,7059,2186
2022-07-05,107141,121559,1269,82106,72010,190516,194838,6947,2625
2022-07-12,104715,127953,626,84247,63930,189588,192509,6023,3102
2022-07-19,97965,128725,728,91458,63568,190151,193021,5972,3102
2022-07-26,96752,126650,1486,90972,64113,189210,192249,5815,2776
2022-08-02,101415,124468,895,84884,64188,187194,189551,5777,3420
2022-08-09,95572,123193,389,88036,63314,183997,186896,5991,3092
2022-08-16,108642,130013,197,85997,68194,194836,198404,6782,3214
2022-08-23,103056,134372,1366,93894,66404,198316,202142,7259,3433
2022-08-30,103623,132653,1661,95098,69333,200382,203647,6441,3176
2022-09-06,97112,126572,3898,90882,65572,191892,196042,7269,3119
2022-09-13,103772,129153,7902,89260,67927,200934,204982,7469,3421
2022-09-20,96671,124704,1333,67201,43460,165205,169497,7445,3153
2022-09-27,87723,129045,1635,77061,39063,166419,169743,6626,3302
2022-10-04,108626,145947,162,75648,43734,184436,189843,7916,2509
2022-10-11,120239,153893,244,77393,49554,197876,203691,8294,2479
2022-10-18,133432,155726,507,73758,57485,207697,213718,8139,2118
2022-10-25,161558,148984,231,78742,98551,240531,247766,8379,1144
2022-11-01,182316,138271,1273,90811,141323,274400,280867,8464,1997
2022-11-08,192024,132410,1672,97255,163611,290951,297693,9069,2327
2022-11-15,197700,129849,822,95530,170093,294052,300764,9390,2678
2022-11-22,188446,125127,1301,97331,167392,287078,293820,9067,2325
2022-11-29,199744,133658,441,98322,171081,298507,305180,9226,2553
2022-12-06,177555,129603,2889,105410,158770,285854,291262,7854,2446
2022-12-13,168481,124117,7002,106698,156509,282181,287628,7935,2488
