Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,247092,364798,375723,442604,369743,1065419,1110264,72900,28055
2022-05-10,234306,346835,380419,420582,356576,1035307,1083830,73144,24621
2022-05-17,231576,346588,392285,419033,354693,1042894,1093566,75523,24851
2022-05-24,230219,341789,389021,413701,349854,1032941,1080664,74555,26832
2022-05-31,228487,338855,394237,417276,357597,1040000,1090689,75815,25126
2022-06-07,235073,349415,396032,419847,353428,1050952,1098875,76779,28856
2022-06-14,220256,343741,349085,409613,335303,978954,1028129,74311,25136
2022-06-21,213487,344356,334712,410457,324480,958656,1003548,72315,27423
2022-06-28,203204,332623,319257,402705,311865,925166,963745,62574,23995
2022-07-05,197937,328456,316179,397060,305110,911176,949745,66331,27762
2022-07-12,183194,314797,321237,398833,304638,903264,940672,65940,28532
2022-07-19,183610,303933,306175,400468,313769,890253,923877,63072,29448
2022-07-26,183441,301731,335440,391771,308743,910652,945914,65474,30212
2022-08-02,174529,299502,349047,394371,306775,917947,955324,66623,29246
2022-08-09,169972,295391,328021,404077,317343,902070,940755,67512,28827
2022-08-16,170133,291044,330330,415171,332309,915634,953683,67826,29777
2022-08-23,167153,295763,332015,410811,319482,909979,947260,66324,29043
2022-08-30,168924,297689,333350,410930,318467,913204,949506,65677,29375
2022-09-06,163659,302297,338325,416041,310239,918025,950861,66617,33781
2022-09-13,155945,301660,335471,418580,307786,909996,944917,67120,32199
2022-09-20,153110,308821,323510,417431,296123,894051,928454,66185,31782
2022-09-27,142021,294145,331062,408871,287736,881954,912943,61287,30298
2022-10-04,136298,295394,349193,416452,290406,901943,934993,65183,32133
2022-10-11,140917,303020,334957,432665,302566,908539,940543,65929,33925
2022-10-18,137720,292454,328968,431667,304907,898355,926329,65437,37463
2022-10-25,140450,292216,333053,441646,308249,915149,933518,55723,37354
2022-11-01,138832,287485,344845,443745,316244,927422,948574,58694,37542
2022-11-08,133199,285507,333757,448264,328042,915220,947306,67376,35290
2022-11-15,136165,288279,331127,447482,326652,914774,946058,63651,32367
2022-11-22,135666,306591,334307,447239,303964,917212,944862,64637,36987
2022-11-29,140093,303522,341890,439813,303622,921796,949034,63214,35976
2022-12-06,147278,311315,359755,436044,300438,943077,971508,67402,38971
2022-12-13,136106,289787,363484,431916,301956,931506,955227,65317,41596
2022-12-20,152438,305194,355415,429081,301332,936934,961941,67228,42221
2022-12-27,154865,315467,361181,429122,296056,945168,972704,65622,38086
2023-01-03,159866,329679,373707,430894,288752,964467,992138,66715,39044
2023-01-10,176461,348964,391735,434067,290561,1002263,1031260,68123,39126
2023-01-17,182318,359537,386232,444280,297862,1012830,1043631,69628,38827
2023-01-24,203309,374281,385710,444547,306065,1033566,1066056,69194,36704
2023-01-31,231982,401196,389680,446690,312677,1068352,1103553,78357,43156
2023-02-07,265569,443663,398853,472241,332923,1136663,1175439,83609,44833
2023-02-14,274434,448616,386143,490505,353323,1151082,1188082,83755,46755
2023-02-21,291292,470556,394899,502854,361339,1189045,1226794,81641,43892
2023-02-28,270368,451281,384666,510122,359176,1165156,1195123,74457,44490
2023-03-07,261989,418388,421065,491317,363787,1174371,1203240,75702,46833
2023-03-14,255731,403564,431666,492955,374808,1180352,1210038,75044,45358
2023-03-21,272314,416995,438795,495182,381742,1206291,1237532,76746,45505
2023-03-28,293519,419716,436246,473378,377996,1203143,1233958,76037,45222
2023-04-04,315952,446437,463951,510252,409515,1290155,1319903,75501,45753
2023-04-11,288362,429257,474144,514520,403339,1277026,1306740,78646,48932
2023-04-18,269012,408998,453599,532475,420582,1255086,1283179,75861,47768
2023-04-25,259864,396014,435424,503897,398123,1199185,1229561,75351,44975
2023-05-02,273919,415208,465249,514100,403194,1253268,1283651,76979,46596
2023-05-09,275063,413891,482297,523658,417964,1281018,1314152,76288,43154
2023-05-16,268443,392418,484729,539771,444827,1292943,1321974,73011,43980
2023-05-23,266908,379186,473165,528204,447367,1268277,1299718,70591,39150
2023-05-30,274660,380830,483957,529765,454796,1288382,1319583,71114,39913
2023-06-06,277294,404146,488596,547555,455191,1313445,1347933,76419,41931
