Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,17427,24037,205,30789,20910,48421,45152,2423,5692
2022-05-10,15203,28199,275,38541,21667,54019,50141,2216,6094
2022-05-17,14998,32765,229,43219,21829,58446,54823,2358,5981
2022-05-24,10749,30070,870,45458,22755,57077,53695,2202,5584
2022-05-31,9179,27903,1183,42010,20636,52372,49722,2762,5412
2022-06-07,12310,32081,4802,43890,21209,61002,58092,2538,5448
2022-06-14,14894,21732,218,28062,18289,43174,40239,2236,5171
2022-06-21,14652,20075,36,26056,17300,40744,37411,2145,5478
2022-06-28,11720,17031,194,26167,17616,38081,34841,2256,5496
2022-07-05,13634,20690,51,29029,18508,42714,39249,2689,6154
2022-07-12,14926,20209,214,28261,19282,43401,39705,2436,6132
2022-07-19,15791,19462,327,26905,19678,43023,39467,2444,6000
2022-07-26,17311,21497,413,26498,18890,44222,40800,2249,5671
2022-08-02,16521,18094,713,25420,20562,42654,39369,2620,5905
2022-08-09,18224,18500,187,24700,20656,43111,39343,2239,6007
2022-08-16,18412,16643,171,20688,20493,39271,37307,2458,4422
2022-08-23,16789,18263,519,22994,17995,40302,36777,2009,5534
2022-08-30,16407,19531,842,24861,18328,42110,38701,2266,5675
2022-09-06,17165,19911,1191,25900,19400,44256,40502,2540,6294
2022-09-13,17949,23250,3174,27458,18050,48581,44474,2498,6605
2022-09-20,11646,24235,286,33408,16617,45340,41138,2544,6746
2022-09-27,12287,23758,121,30343,15271,42751,39150,2489,6090
2022-10-04,14966,28944,205,30957,13698,46128,42847,2359,5640
2022-10-11,11894,30936,58,35834,13317,47786,44311,2771,6246
2022-10-18,10328,28773,285,37048,14689,47661,43747,2787,6701
2022-10-25,15639,28523,430,31568,15279,47637,44232,2983,6388
2022-11-01,21115,24962,294,23103,16222,44512,41478,2707,5741
2022-11-08,18085,24452,268,24923,16131,43276,40851,2532,4957
2022-11-15,15285,21913,313,24311,15930,39909,38156,2680,4433
2022-11-22,15536,19820,324,23526,18462,39386,38606,3203,3983
2022-11-29,18855,23909,472,23162,18521,42489,42902,3691,3278
2022-12-06,16302,22800,305,22950,16649,39557,39754,3397,3200
2022-12-13,19700,27206,1504,28793,22697,49997,51407,5297,3887
2022-12-20,13386,7052,294,11210,18965,24890,26311,4154,2733
2022-12-27,15576,8669,432,13483,21755,29491,30856,4061,2696
2023-01-03,13366,5886,187,12378,20548,25931,26621,3842,3152
2023-01-10,12607,5257,233,10520,19019,23360,24509,4206,3057
2023-01-17,11308,5250,480,15888,22574,27676,28304,3903,3275
2023-01-24,10170,7996,801,16662,20903,27633,29700,5077,3010
