Index,NC Long,NC Short,C Long,C Short,NR Long,NR Short
2/14/2023,274434,448616,490505,353323,83755,46755
2/21/2023,292300,474361,504569,362131,84140,44517
2/28/2023,270368,451281,510122,359176,74457,44490
3/7/2023,262679,420259,492419,364836,77875,47879
3/14/2023,256310,405582,494117,375591,76994,46248
3/21/2023,272314,416995,495182,381742,76746,45505
3/28/2023,294274,422088,474736,378896,77622,45648
4/4/2023,316729,451198,513705,410355,77414,46295
4/11/2023,289474,433842,517459,404187,80632,49536
4/18/2023,269549,411269,534294,421646,77797,48725
4/25/2023,260495,397814,505035,399128,76970,45558
5/2/2023,274727,417966,515632,404150,78917,47160
5/9/2023,275692,416629,525397,418933,78230,43757
5/16/2023,269707,394894,541080,446002,74932,44823
5/23/2023,267934,381362,529629,448705,72389,39884
5/30/2023,275434,382636,530759,455952,72922,40528
6/6/2023,278010,406325,548607,456288,78798,42802
6/13/2023,274209,398594,530517,443478,77478,40132
6/20/2023,258803,368694,515904,436544,72598,42067
6/27/2023,251370,344482,484370,421084,69145,39319
7/4/2023,255895,355590,492272,424015,71237,39800
7/11/2023,252506,340766,486046,430309,72908,40385
7/18/2023,252371,350193,490480,425070,70922,38509
7/25/2023,245717,344135,474591,403852,69936,42257
8/1/2023,262533,371258,475804,397823,72924,42179
8/8/2023,243223,351842,477320,396046,68361,41015
8/15/2023,227755,324194,473977,407424,69924,40037
8/22/2023,233175,342080,475400,395486,72205,43213
