Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,,,,,,,,,
2022-05-10,,,,,,,,,
2022-05-17,,,,,,,,,
2022-05-24,,,,,,,,,
2022-05-31,,,,,,,,,
2022-06-07,,,,,,,,,
2022-06-14,,,,,,,,,
2022-06-21,,,,,,,,,
2022-06-28,415,191,144,1089,1358,1648,1693,1027,982
2022-07-05,,,,,,,,,
2022-07-12,,,,,,,,,
2022-07-19,,,,,,,,,
2022-07-26,,,,,,,,,
2022-08-02,,,,,,,,,
2022-08-09,,,,,,,,,
2022-08-16,,,,,,,,,
2022-08-23,,,,,,,,,
2022-08-30,685,541,213,963,1348,1861,2102,1377,1136
2022-09-06,705,733,238,933,1387,1876,2358,1613,1131
2022-09-13,680,605,193,1098,1721,1971,2519,1753,1205
2022-09-20,573,584,177,1118,1853,1868,2614,1865,1119
2022-09-27,692,667,236,1022,1860,1950,2763,1894,1081
2022-10-04,736,772,193,1022,1837,1951,2802,1897,1046
2022-10-11,816,830,191,940,1840,1947,2861,1967,1053
2022-10-18,861,802,195,1175,1987,2231,2984,1811,1058
2022-10-25,722,1238,191,1355,1617,2268,3046,2153,1375
2022-11-01,696,1307,205,1512,1644,2413,3156,1815,1072
2022-11-08,716,1203,300,1939,1969,2955,3472,1603,1086
2022-11-15,649,1180,253,1800,1830,2702,3263,1711,1150
2022-11-22,816,1158,178,1551,1664,2545,3000,1526,1071
2022-11-29,767,1147,15,1074,1169,1856,2331,1418,943
2022-12-06,734,1424,17,1189,1058,1940,2499,1766,1207
2022-12-13,773,1769,63,1187,1061,2023,2893,2080,1210
2022-12-20,782,2008,71,1221,1073,2074,3152,2340,1262
2022-12-27,687,1697,53,1098,1070,1838,2820,2094,1112
2023-01-03,786,1455,76,860,1010,1722,2541,1928,1109
2023-01-10,793,1659,76,870,986,1739,2721,2071,1089
2023-01-17,764,1525,75,893,940,1732,2540,1911,1103
2023-01-24,,,,,,,,,
2023-01-31,795,1074,150,604,1352,1549,2576,1863,836
2023-02-07,808,764,167,648,1624,1623,2555,1674,742
2023-02-14,,,,,,,,,
2023-02-21,698,1038,120,830,1424,1648,2582,2158,1224
2023-02-28,607,1331,231,1122,1145,1960,2707,2156,1409
2023-03-07,858,2115,449,1401,1104,2708,3668,2227,1267
2023-03-14,850,1535,422,1317,1291,2589,3248,1952,1293
2023-03-21,824,1258,455,1504,1601,2783,3314,1752,1221
2023-03-28,1005,1033,308,924,1880,2237,3221,1877,893
2023-04-04,825,858,449,1210,1959,2484,3266,1892,1110
2023-04-11,835,1070,467,1349,1781,2651,3318,2047,1380
2023-04-18,869,1458,357,1422,1795,2648,3610,2264,1302
2023-04-25,873,1486,368,1289,1360,2530,3214,2246,1562
2023-05-02,942,1929,522,1238,1064,2702,3515,2472,1659
2023-05-09,794,1408,361,1050,1241,2205,3010,2372,1567
2023-05-16,701,1130,434,1164,1508,2299,3072,2418,1645
2023-05-23,737,1117,359,1370,1534,2466,3010,2231,1687
2023-05-30,662,828,228,1400,1545,2290,2601,2092,1781
2023-06-06,528,806,257,1568,1822,2353,2885,2114,1582
2023-06-13,,,,,,,,,
2023-06-20,,,,,,,,,
2023-06-27,728,68,363,1317,2599,2408,3030,1887,1265
2023-07-03,,,,,,,,,
2023-07-11,,,,,,,,,
2023-07-18,892,0,177,888,2743,1957,2920,2137,1174
2023-07-25,1069,129,428,1353,3307,2850,3864,2232,1218
2023-08-01,1011,262,196,1113,2917,2320,3375,2278,1223
2023-08-08,880,144,212,1116,2771,2208,3127,2184,1265
2023-08-15,851,215,188,1011,2561,2050,2964,2141,1227
2023-08-22,957,127,192,1067,2776,2216,3095,2140,1261
2023-08-29,1413,90,77,831,2664,2321,2831,2069,1559
2023-09-05,1384,66,61,698,2724,2143,2851,1982,1274
2023-09-12,1480,0,66,924,3153,2470,3219,2048,1299
2023-09-19,1382,112,118,1094,3023,2594,3253,1808,1149
2023-09-26,1003,101,110,1155,2813,2268,3024,1854,1098
2023-10-03,970,152,67,1307,2875,2344,3094,1773,1023
2023-10-10,814,125,72,1279,2748,2165,2945,1853,1073
