Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,973,3725,808,4567,2112,6348,6645,1290,993
2022-05-10,1013,4258,1628,5209,1775,7850,7661,982,1171
2022-05-17,996,4211,1385,5712,2091,8093,7687,1021,1427
2022-05-24,729,4201,661,5555,1755,6945,6617,974,1302
2022-05-31,803,3936,92,4614,1393,5509,5421,1029,1117
2022-06-07,943,4404,35,4985,1404,5963,5843,1072,1192
2022-06-14,1045,5102,35,5555,1201,6635,6338,1105,1402
2022-06-21,1009,5055,17,5655,1144,6681,6216,960,1425
2022-06-28,1146,4971,52,5674,1233,6872,6256,893,1509
2022-07-05,1132,4542,27,5389,1285,6548,5854,825,1519
2022-07-12,1001,3803,34,4586,1334,5621,5171,853,1303
2022-07-19,676,4427,76,5288,986,6040,5489,875,1426
2022-07-26,724,4132,490,5012,1118,6226,5740,898,1384
2022-08-02,965,3525,529,4400,1657,5894,5711,1051,1234
2022-08-09,1331,3301,615,4482,2438,6428,6354,1191,1265
2022-08-16,1479,3078,907,4363,2827,6749,6812,1202,1139
2022-08-23,1220,3014,1124,4532,2420,6876,6558,1052,1370
2022-08-30,1424,2553,44,3475,2152,4943,4749,932,1126
2022-09-06,1344,2946,44,3814,1685,5202,4675,863,1390
2022-09-13,1382,2655,73,3720,2265,5175,4993,910,1092
2022-09-20,1371,2452,100,3592,2331,5063,4883,930,1110
2022-09-27,1519,2350,116,3523,2287,5158,4753,922,1327
2022-10-04,2191,2787,128,3409,3045,5728,5960,1352,1120
2022-10-11,2049,2803,66,3656,2846,5771,5715,1119,1175
2022-10-18,1793,3002,69,3968,2524,5830,5595,975,1210
2022-10-25,1618,3363,248,4403,2175,6269,5786,1074,1557
2022-11-01,1906,3773,793,4532,2311,7231,6877,1141,1495
2022-11-08,1667,4077,1489,5085,2512,8241,8078,1226,1389
2022-11-15,1997,3069,1123,4512,3281,7632,7473,1161,1320
2022-11-22,2175,3283,241,4189,3003,6605,6527,1192,1270
2022-11-29,2289,3920,236,3951,2264,6476,6420,1061,1117
2022-12-06,2460,3832,293,3875,2649,6628,6774,1157,1011
2022-12-13,2466,3349,334,3644,2790,6444,6473,1050,1021
2022-12-20,2086,4713,312,4827,2164,7225,7189,1333,1369
2022-12-27,2158,4364,364,4593,2285,7115,7013,1160,1262
2023-01-03,2120,4662,366,4700,2278,7186,7306,1270,1150
2023-01-10,2114,4604,424,4452,2115,6990,7143,1362,1209
2023-01-17,2125,4876,364,5025,2123,7514,7363,1285,1436
2023-01-24,1787,5084,538,5826,2292,8151,7914,1212,1449
2023-01-31,1792,6063,1084,7131,2499,10007,9646,1238,1599
2023-02-07,2016,6114,1290,7382,2991,10688,10395,1208,1501
2023-02-14,2153,7142,1103,8479,3220,11735,11465,1400,1670
2023-02-21,1913,7101,499,8159,2607,10571,10207,1372,1736
2023-02-28,2058,8085,256,8215,1700,10529,10041,1241,1729
2023-03-07,2086,9183,272,8808,1389,11166,10844,1311,1633
2023-03-14,2256,8724,301,8194,1205,10751,10230,1077,1598
2023-03-21,1633,8651,282,8498,1129,10413,10062,1234,1585
2023-03-28,1593,8357,433,8314,1121,10340,9911,1174,1603
2023-04-04,1551,8197,540,8450,1439,10541,10176,1279,1644
2023-04-11,1463,8536,694,8814,1323,10971,10553,1319,1737
2023-04-18,1912,7549,864,7988,1837,10764,10250,1084,1598
2023-04-25,1428,7305,1329,8361,2052,11118,10686,1152,1584
2023-05-02,1455,7899,1690,8568,1883,11713,11472,1403,1644
2023-05-09,1733,7380,2082,8269,2304,12084,11766,1211,1529
2023-05-16,1782,6698,1943,7900,2512,11625,11153,1136,1608
2023-05-23,1720,7009,639,7400,1731,9759,9379,1379,1759
2023-05-30,1584,7634,293,7473,1001,9350,8928,1308,1730
