Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
5/3/2022,5543,11310,3800,111633,106651,120976,121761,1221,436
5/10/2022,4908,10797,3939,101454,96362,110301,111098,1180,383
5/17/2022,4465,11840,4631,106340,99818,115436,116289,1256,403
5/24/2022,4261,12024,4684,108344,101110,117289,117818,1005,476
5/31/2022,4641,11789,5153,108792,102205,118586,119147,1055,494
6/7/2022,4876,11347,4679,101660,96039,111215,112065,1080,230
6/14/2022,4828,12660,4559,105980,98772,115367,115991,906,282
6/21/2022,4403,13076,5523,108893,100835,118819,119434,967,352
6/28/2022,4792,12308,5544,110868,103912,121204,121764,800,240
7/5/2022,4807,12885,5560,110704,103247,121071,121692,882,261
7/12/2022,4129,10765,5675,103122,97469,112926,113909,1188,205
7/19/2022,3709,10926,6536,103723,97441,113968,114903,1164,229
7/26/2022,3692,10773,7112,106001,99709,116805,117594,985,196
8/2/2022,4485,10212,7661,107497,102633,119643,120506,1089,226
8/9/2022,4722,10869,6069,98812,93644,109603,110582,1347,368
8/16/2022,5538,11765,6196,101769,96456,113503,114417,1405,491
8/23/2022,5050,11222,6773,106892,101621,118715,119616,1215,314
8/30/2022,5218,11822,6771,110486,104635,122475,123228,1299,546
9/6/2022,5600,13787,4529,104115,96605,114244,114921,1322,645
9/13/2022,6760,12894,4543,105223,99640,116526,117077,1161,610
9/20/2022,7171,13352,5245,110686,105146,123102,123743,1151,510
9/27/2022,7402,12644,6285,112833,108077,126520,127006,1203,717
10/4/2022,7421,12994,6041,116520,111497,129982,130532,1223,673
10/11/2022,6898,13385,5274,107075,101174,119247,119833,1203,617
10/18/2022,8007,13766,5578,112032,106792,125617,126136,1240,721
10/25/2022,7531,14154,6156,116393,110075,130080,130385,1040,735
11/1/2022,7241,16972,6446,122888,113247,136575,136665,1094,1004
11/8/2022,6803,21684,6251,118064,102903,131118,130838,1041,1321
11/15/2022,6885,22567,5953,120397,104467,133235,132987,1019,1267
11/22/2022,6701,23368,5787,123327,106390,135815,135545,1187,1457
11/29/2022,6997,25557,5631,126396,107490,139024,138678,1101,1447
12/6/2022,5628,25847,4960,117005,96410,127593,127217,1039,1415
12/13/2022,5579,27351,5696,120874,98492,132149,131539,1099,1709
12/20/2022,5581,27963,5243,126562,103558,137386,136764,1269,1891
12/27/2022,5664,29488,5882,131462,107077,143008,142447,1245,1806
1/3/2023,5692,30117,6140,133189,107708,145021,143965,1243,2299
1/10/2023,5151,26911,5329,123613,101383,134093,133623,1227,1697
1/17/2023,4304,24974,5193,125562,105667,135059,135834,1066,291
1/24/2023,1886,26310,4631,131669,107819,138186,138760,1222,648
1/31/2023,2210,25592,5235,138783,116353,146228,147180,1840,888
2/7/2023,1804,24120,3982,127960,106138,133746,134240,1337,843
2/14/2023,1686,24161,4319,133254,111202,139259,139682,1275,852
2/21/2023,1525,25009,3686,139327,116264,144538,144959,1046,625
2/28/2023,1451,27179,4232,148240,122814,153923,154225,1104,802
3/7/2023,1871,21754,3517,130905,111376,136293,136647,789,435
3/14/2023,2595,22138,3666,133187,113831,139448,139635,867,680
3/21/2023,2796,25245,4533,136807,114508,144136,144286,841,691
3/28/2023,4650,25414,3827,142027,121663,150504,150904,718,318
4/4/2023,5970,24868,3728,145255,126923,154953,155519,874,308
4/11/2023,4333,23309,3740,129448,111419,137521,138468,1333,386
4/18/2023,6435,25404,3151,132272,113988,141858,142543,1201,516
4/25/2023,6222,24825,3498,139211,121328,148931,149651,1255,535
5/2/2023,7054,31075,5019,139574,116247,151647,152341,1253,559
5/9/2023,6027,30832,5394,129663,105592,141084,141818,1153,419
5/16/2023,6290,32047,5562,133543,108588,145395,146197,1152,350
5/23/2023,6601,35129,6060,137987,110151,150648,151340,1027,335
5/30/2023,6833,36812,5524,140740,111456,153097,153792,944,249
6/6/2023,6065,35840,6942,132072,102916,145079,145698,1040,421
6/13/2023,5822,36407,6856,138106,108090,150784,151353,849,280
6/20/2023,5987,45768,6829,154012,114735,166828,167332,988,484
6/27/2023,5214,47203,6984,159210,117835,171408,172022,918,304
7/3/2023,5964,47325,6243,160328,119438,172535,173006,1030,559
7/11/2023,5369,46212,5444,149651,109300,160464,160956,891,399
7/18/2023,4935,45032,6131,149407,109690,160473,160853,776,396
7/25/2023,5211,44322,6099,150746,111918,162056,162339,796,513
8/1/2023,6130,44041,6002,152828,115319,164960,165362,802,400
8/8/2023,7028,43227,4091,140556,104780,151675,152098,716,293
8/15/2023,8345,43028,5090,138220,103743,151655,151861,732,526
8/22/2023,8713,45108,5263,140658,104445,154634,154816,713,531
8/29/2023,9560,45860,5814,145920,109900,161294,161574,620,340
9/5/2023,10960,45723,5534,146168,112234,162662,163491,1072,243
9/12/2023,9323,40059,4951,134708,104547,148982,149557,750,175
9/19/2023,9482,39201,4133,136993,107650,150608,150984,622,246
9/26/2023,10701,39829,4213,136749,107957,151663,151999,622,286
10/3/2023,10596,40019,4944,140521,111364,156061,156327,612,346
10/10/2023,9321,39858,5528,126084,95723,140933,141109,615,439
10/17/2023,10553,40913,4080,130186,99976,144819,144969,597,447
10/24/2023,9557,42437,5937,138889,106270,154383,154644,689,428
10/31/2023,7830,44342,6785,145341,108885,159956,160012,494,438
11/7/2023,6169,42288,7359,137921,101986,151449,151633,533,349
11/14/2023,6025,43119,7867,139096,102155,152988,153141,514,361
11/21/2023,6460,44102,7148,138619,101218,152227,152468,646,405
11/28/2023,8085,45481,7076,141357,104086,156518,156643,510,385
12/5/2023,6583,39854,6703,123352,90149,136638,136706,485,417
12/12/2023,5802,38841,7332,124962,92088,138096,138261,605,440
12/19/2023,5929,39365,7574,127435,94068,140938,141007,382,313
12/26/2023,6120,39001,7727,128799,95957,142646,142685,362,323
1/2/2024,5890,37336,8198,131683,100351,145771,145885,463,349
1/9/2024,10507,33518,7384,121075,98475,138966,139377,668,257
1/16/2024,11610,29537,8070,120668,103174,140348,140781,811,378
1/23/2024,14322,29158,8884,128920,114402,152126,152444,632,314
1/30/2024,15742,29225,9035,134984,121957,159761,160217,786,330
2/6/2024,15597,26097,9169,125309,115377,150075,150643,832,264
2/13/2024,18031,25234,8887,129157,122631,156075,156752,897,220
2/20/2024,17952,25139,9818,133775,127290,161545,162247,922,220
2/27/2024,18789,25297,9764,138601,132586,167154,167647,653,160
3/5/2024,18092,22074,7760,121285,118113,147137,147947,1009,199
3/12/2024,17575,23056,8053,123564,118840,149192,149949,1076,319
3/19/2024,16811,24732,8809,128149,120931,153769,154472,1117,414
3/26/2024,16841,26099,10613,134519,126059,161973,162771,1266,468
4/2/2024,17815,26490,11163,133999,125915,162977,163568,1534,943
