Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
5/3/2022,53619,98414,6294,413078,365663,472991,470371,21398,24018
5/10/2022,43660,113282,7480,453710,379176,504850,499938,20099,25011
5/17/2022,43193,113241,7473,456101,382018,506767,502732,20564,24599
5/24/2022,43536,118184,7860,466955,389827,518351,515871,19622,22102
5/31/2022,43995,122555,7936,468833,387284,520764,517775,19773,22762
6/7/2022,46844,120426,7505,476910,399464,531259,527395,20648,24512
6/14/2022,44369,139615,13242,548072,458746,605683,611603,30314,24394
6/21/2022,40382,145978,7343,502812,394922,550537,548243,19004,21298
6/28/2022,41196,145816,7099,503528,393546,551823,546461,18674,24036
7/5/2022,42435,161028,7405,517591,394058,567431,562491,19684,24624
7/12/2022,40461,158239,6009,523195,399197,569665,563445,18305,24525
7/19/2022,53055,153744,4285,503449,397581,560789,555610,20163,25342
7/26/2022,42107,147318,6363,502434,392425,550904,546106,19764,24562
8/2/2022,30724,150678,8084,497844,374361,536652,533123,19324,22853
8/9/2022,28422,141289,7481,488823,371360,524726,520130,19479,24075
8/16/2022,32034,148499,6321,466874,348507,505229,503327,22592,24494
8/23/2022,40273,135196,7127,450387,353397,497787,495720,21806,23873
8/30/2022,39315,130464,7610,455296,363014,502221,501088,22023,23156
9/6/2022,44891,140496,8078,466378,369564,519347,518138,22920,24129
9/13/2022,37156,136308,16727,504080,396334,557963,549369,26407,35001
9/20/2022,32486,139324,5571,470319,362439,508376,507334,21997,23039
9/27/2022,43291,149352,5698,479622,372286,528611,527336,20778,22053
10/4/2022,50946,150139,5759,479483,381252,536188,537150,21667,20705
10/11/2022,59012,144595,7284,476764,390102,543060,541981,21018,22097
10/18/2022,60237,140058,4968,443284,368801,508489,513827,27319,21981
10/25/2022,61129,141653,6278,427328,353374,494735,501305,28875,22305
11/1/2022,73269,122919,4027,396499,351729,473795,478675,25515,20635
11/8/2022,65482,126745,4618,401768,344185,471868,475548,22765,19085
11/15/2022,47254,115218,5391,388943,327627,441588,448236,24766,18118
11/22/2022,47309,112258,6632,397227,337836,451168,456726,23756,18198
11/29/2022,49226,106843,5296,394460,341575,448982,453714,24900,20168
12/6/2022,42785,116220,6815,407109,339848,456709,462883,25731,19557
12/13/2022,44847,108631,19874,426831,369184,491552,497689,27878,21741
12/20/2022,49117,108031,6093,360598,303546,415808,417670,22607,20745
12/27/2022,39599,109523,6739,365942,296427,412280,412689,22494,22085
1/3/2023,43799,109160,5308,363125,298046,412232,412514,21973,21691
1/10/2023,44813,102941,5324,357515,302976,407652,411241,24756,21167
1/17/2023,44629,107544,5256,354698,295275,404583,408075,24352,20860
1/24/2023,37737,105138,5321,354541,293258,397599,403717,26065,19947
1/31/2023,42702,105726,6490,356143,299000,405335,411216,25493,19612
2/7/2023,35692,110838,7576,367319,301425,410587,419839,26987,17735
2/14/2023,40119,104027,7620,360566,304031,408305,415678,26263,18890
2/21/2023,44927,99475,9257,355135,306277,409319,415009,25214,19524
2/28/2023,47060,89891,8143,360523,319149,415726,417183,24416,22959
3/7/2023,40775,91266,9001,366821,321735,416597,422002,24268,18863
3/14/2023,36908,86211,12279,488528,439097,537715,537587,43919,44047
3/21/2023,40762,85750,5908,411188,366494,457858,458152,22631,22337
3/28/2023,42013,84763,5101,407849,364347,454963,454211,23878,24630
4/4/2023,44007,100963,6838,419111,357168,469956,464969,20784,25771
4/11/2023,51942,97073,8891,408764,361963,469597,467927,21546,23216
4/18/2023,51876,111038,8830,422606,358132,483312,478000,20475,25787
4/25/2023,59738,111857,6126,428832,371266,494696,489249,20133,25580
5/2/2023,68945,128361,6384,442799,378803,518128,513548,22619,27199
5/9/2023,70410,130083,6249,443963,376966,520622,513298,19838,27162
5/16/2023,65674,129677,6727,452884,382339,525285,518743,21236,27778
