Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2023-01-03,43799,109160,5308,363125,298046,412232,412514,21973,21691
2023-01-10,44813,102941,5324,357515,302976,407652,411241,24756,21167
2023-01-17,44629,107544,5256,354698,295275,404583,408075,24352,20860
2023-01-24,37737,105138,5321,354541,293258,397599,403717,26065,19947
2023-01-31,42702,105726,6490,356143,299000,405335,411216,25493,19612
2023-02-07,35692,110838,7576,367319,301425,410587,419839,26987,17735
2023-02-14,40119,104027,7620,360566,304031,408305,415678,26263,18890
2023-02-21,44927,99475,9257,355135,306277,409319,415009,25214,19524
2023-02-28,47060,89891,8143,360523,319149,415726,417183,24416,22959
2023-03-07,40775,91266,9001,366821,321735,416597,422002,24268,18863
2023-03-14,36908,86211,12279,488528,439097,537715,537587,43919,44047
2023-03-21,40762,85750,5908,411188,366494,457858,458152,22631,22337
2023-03-28,42013,84763,5101,407849,364347,454963,454211,23878,24630
2023-04-04,44007,100963,6838,419111,357168,469956,464969,20784,25771
2023-04-11,51942,97073,8891,408764,361963,469597,467927,21546,23216
2023-04-18,51876,111038,8830,422606,358132,483312,478000,20475,25787
2023-04-25,59738,111857,6126,428832,371266,494696,489249,20133,25580
2023-05-02,68945,128361,6384,442799,378803,518128,513548,22619,27199
2023-05-09,70410,130083,6249,443963,376966,520622,513298,19838,27162
2023-05-16,65674,129677,6727,452884,382339,525285,518743,21236,27778
2023-05-23,58528,107421,7512,429102,373706,495142,488639,21137,27640
2023-05-30,60596,123658,7448,435525,366187,503569,497293,20473,26749
2023-06-06,54965,117553,9195,435276,373167,499436,499915,25976,25497
2023-06-13,55562,131458,27334,533220,462594,616116,621386,37442,32172
2023-06-20,51027,123736,6525,449033,378039,506585,508300,24098,22383
2023-06-27,55337,119037,8928,431152,371430,495417,499395,24796,20818
2023-07-03,52926,120436,7434,429656,365800,490016,493670,24280,20626
2023-07-11,53492,119365,7103,438843,373380,499438,499848,24054,23644
2023-07-18,57206,122908,6653,436369,375412,500228,504973,25882,21137
2023-07-25,54699,123468,7729,433206,369562,495634,500759,30730,25605
2023-08-01,52991,119282,9252,427582,365282,489825,493816,25880,21889
2023-08-08,48700,113211,9803,430726,367473,489229,490487,24588,23330
2023-08-15,48652,119931,10234,441976,374149,500862,504314,26060,22608
2023-08-22,56600,118397,9258,427567,370186,493425,497841,25633,21217
2023-08-29,51952,118830,7188,425326,361990,484466,488008,25770,22228
2023-09-05,50897,122608,7912,426554,355748,485363,486268,26844,25939
2023-09-12,47088,110703,19622,443198,384165,509908,514490,31308,26726
2023-09-19,32929,96490,6228,380523,319990,419680,422708,24813,21785
2023-09-26,35566,97168,8039,393907,334631,437512,439838,24965,22639
2023-10-03,46209,109517,7398,406775,344360,460382,461275,25724,24831
2023-10-10,50586,117210,5540,401235,332946,457361,455696,24059,25724
2023-10-17,64351,109823,6590,392129,341607,463070,458020,22407,27457
2023-10-24,72617,116788,8338,413481,368944,494436,494070,23620,23986
2023-10-31,80998,120425,6411,441734,400858,529143,527694,24237,25686
2023-11-07,73434,146001,5525,443037,370401,521996,521927,24863,24932
2023-11-14,77725,143291,6274,445804,376983,529803,526548,22861,26116
2023-11-21,70096,127342,5592,434225,380969,509913,513903,27167,23177
2023-11-28,75264,130757,4960,444001,391852,524225,527569,26746,23402
2023-12-05,69069,124498,5093,455710,404810,529872,534401,27535,23006
12/12/2023,65483,116112,20591,513991,470787,600065,607490,39542,32117
