Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,17640,2302,775,2306,16878,20721,19955,942,1708
2022-05-10,18489,4947,565,2915,15503,21969,21015,832,1786
2022-05-17,19210,5837,565,2970,15668,22745,22070,847,1522
2022-05-24,18028,4316,565,2794,15639,21387,20520,688,1555
2022-05-31,18553,4888,572,2802,15670,21927,21130,678,1475
2022-06-07,22148,7941,1067,17395,30958,40610,39966,917,1561
2022-06-14,28156,6361,2518,2905,24200,33579,33079,1087,1587
2022-06-21,28295,5912,2049,2513,24557,32857,32518,1078,1417
2022-06-28,26108,3529,2037,2709,24751,30854,30317,988,1525
2022-07-05,25973,3260,883,2878,24571,29734,28714,795,1815
2022-07-12,19444,5915,0,11986,24304,31430,30219,736,1947
2022-07-19,14064,4525,9,14499,22853,28572,27387,906,2091
2022-07-26,13560,6911,0,17487,22987,31047,29898,823,1972
2022-08-02,13013,6625,0,16967,22618,29980,29243,995,1732
2022-08-09,12359,6421,0,17479,22503,29838,28924,909,1823
2022-08-16,8732,2807,175,17549,22839,26456,25821,947,1582
2022-08-23,9794,2909,437,17519,23005,27750,26351,659,2058
2022-08-30,9989,3148,1411,17453,23153,28853,27712,847,1988
2022-09-06,10334,3219,675,17750,23509,28759,27403,935,2291
2022-09-13,9843,3209,449,24276,30006,34568,33664,958,1862
2022-09-20,7675,2455,0,3737,7822,11412,10277,984,2119
2022-09-27,7639,3543,0,4365,7604,12004,11147,1034,1891
2022-10-04,6661,2375,321,4202,7827,11184,10523,963,1624
2022-10-11,6210,1844,321,4036,7758,10567,9923,1026,1670
2022-10-18,6698,2488,0,4179,7830,10877,10318,984,1543
2022-10-25,10120,7443,0,5978,7979,16098,15422,1103,1779
2022-11-01,13432,13557,0,8986,8066,22418,21623,796,1591
2022-11-08,13785,14813,0,9184,7932,22969,22745,1113,1337
2022-11-15,12773,13711,0,9268,8294,22041,22005,1114,1150
2022-11-22,10641,11763,0,9676,8438,20317,20201,1081,1197
2022-11-29,8636,9651,468,9439,8637,18543,18756,1277,1064
2022-12-06,4295,4775,253,8508,7932,13056,12960,1433,1529
2022-12-13,4208,3103,1146,8589,9526,13943,13775,1383,1551
2022-12-20,4878,3444,0,3228,4625,8106,8069,1240,1277
2022-12-27,3352,2291,0,3314,4553,6666,6844,1530,1352
2023-01-03,3406,2644,0,2976,4082,6382,6726,1567,1223
2023-01-10,7467,5276,0,1698,4292,9165,9568,1586,1183
2023-01-17,7561,6811,0,3380,5028,10941,11839,1880,982
2023-01-24,5333,4129,0,3237,5184,8570,9313,1778,1035
2023-01-31,2694,1067,0,3346,5527,6040,6594,1818,1264
2023-02-07,3428,1704,0,3320,5238,6748,6942,1598,1404
2023-02-14,5084,4203,0,3958,5362,9042,9565,1814,1291
2023-02-21,8385,7450,3,4795,5918,13183,13371,1770,1582
2023-02-28,15565,17138,6,7429,5604,23000,22748,1496,1748
2023-03-07,18052,20041,361,8103,5993,26516,26395,1624,1745
2023-03-14,10385,23530,0,17041,3861,27426,27391,1119,1154
2023-03-21,9181,22157,0,17592,3859,26773,26016,1062,1819
2023-03-28,11215,24617,0,18133,4156,29348,28773,1284,1859
2023-04-04,9922,23930,0,18309,4167,28231,28097,1504,1638
2023-04-11,10331,23673,0,18481,4731,28812,28404,1261,1669
2023-04-18,11866,26138,0,18753,4286,30619,30424,1310,1505
2023-04-25,11590,26251,0,19318,4160,30908,30411,1115,1612
2023-05-02,12250,26818,0,19374,4390,31624,31208,1321,1737
2023-05-09,12971,27527,0,20366,5270,33337,32797,1336,1876
2023-05-16,14867,29314,0,21157,5420,36024,34734,877,2167
2023-05-23,18554,34203,13,22030,5716,40597,39932,1150,1815
2023-05-30,19594,36136,135,23026,5450,42755,41721,1191,2225
2023-06-06,18714,37118,181,23821,4753,42716,42052,1323,1987
2023-06-13,12879,29875,376,29819,12305,43074,42556,1192,1710
2023-06-20,6782,24333,0,22486,4293,29268,28626,857,1499
2023-06-27,5701,24096,0,22233,3225,27934,27321,976,1589
2023-07-03,5174,23171,0,22416,3872,27590,27043,782,1329
2023-07-11,5487,22066,0,22146,4738,27633,26804,828,1657
2023-07-18,4236,20380,0,21491,5324,25727,25704,1313,1336
2023-07-25,3924,19263,0,21807,6777,25731,26040,1523,1214
2023-08-01,13990,25130,1,22106,11374,36097,36505,1646,1238
2023-08-08,12793,22685,21,21435,11647,34249,34353,1239,1135
2023-08-15,4822,13542,6416,21143,12434,32381,32392,1238,1227
2023-08-22,2243,10412,9400,21206,12567,32849,32379,1236,1706
2023-08-29,1666,10841,79,21734,12122,23479,23042,1108,1545
2023-09-05,2343,10440,86,21574,12856,24003,23382,1148,1769
2023-09-12,2224,10423,804,21613,12598,24641,23825,1069,1885
2023-09-19,3831,1732,77,1916,3456,5824,5265,1261,1820
2023-09-26,7656,4924,77,1189,2914,8922,7915,1027,2034
2023-10-03,10481,7669,77,922,2890,11480,10636,1151,1995
2023-10-10,9713,7445,77,1247,2804,11037,10326,1300,2011
2023-10-17,10665,8529,77,1127,3011,11869,11617,1466,1718
2023-10-24,11388,8353,77,779,3479,12244,11909,1366,1701
2023-10-31,11014,9033,77,1218,2813,12309,11923,1341,1727
2023-11-07,14590,13400,77,1375,2955,16042,16432,1993,1603
2023-11-14,15549,13869,77,1751,3632,17377,17578,1712,1511
2023-11-21,16148,14133,215,2221,4616,18584,18964,1676,1296
2023-11-28,9030,7342,183,2516,4474,11729,11999,1491,1221
2023-12-05,7561,6374,560,2018,3918,10139,10852,1909,1196
2023-12-12,7613,5251,451,2514,4682,10578,10384,1560,1754
2023-12-19,2842,1037,77,1390,3719,4309,4833,1608,1084
2023-12-26,2435,570,77,1394,4244,3906,4891,1956,971
2024-01-02,2205,1072,77,1488,3232,3770,4381,1697,1086
2024-01-09,3218,694,77,1120,4095,4415,4866,1734,1283
2024-01-16,4944,1795,77,1103,4396,6124,6268,1437,1293
2024-01-23,7567,2589,127,1031,5533,8725,8249,1178,1654
2024-01-30,5466,5040,77,5367,5373,10910,10490,1339,1759
2024-02-06,4327,4539,77,5490,4728,9894,9344,1113,1663
2024-02-13,3920,3332,77,5198,4612,9195,8021,928,2102
2024-02-20,4038,2935,77,3808,4334,7923,7346,1168,1745
2024-02-27,9770,7155,285,3534,5410,13589,12850,998,1737
2024-03-05,10661,7874,292,2141,4439,13094,12605,1423,1912
2024-03-12,6506,4293,1601,7236,9483,15343,15377,1736,1702
2024-03-19,12829,15804,77,7261,4078,20167,19959,1358,1566
2024-03-26,12891,15780,77,7408,4493,20376,20350,1449,1475
2024-04-02,13308,15534,77,6764,4582,20149,20193,1370,1326
2024-04-09,17001,19908,81,7900,5353,24982,25342,1797,1437
2024-04-16,24054,23945,81,6258,6211,30393,30237,1320,1476
2024-04-23,23613,22569,81,6477,6910,30171,29560,1097,1708
2024-04-30,26874,26159,140,6372,6842,33386,33141,1306,1551
2024-05-07,31720,30217,90,5942,7882,37752,38189,1785,1348
2024-05-14,35502,32763,90,6089,9453,41681,42306,1797,1172
2024-05-21,38032,36307,100,9308,11922,47440,48329,2008,1119
2024-05-28,39233,35934,130,8558,12797,47921,48861,1941,1001
2024-06-04,38567,33751,132,8026,13307,46725,47190,1633,1168
2024-06-11,23580,21577,1258,10108,12976,34946,35811,1943,1078
2024-06-18,26864,25519,132,4828,7488,31824,33139,2081,766
2024-06-25,39567,34038,148,6501,13389,46216,47575,2177,818
2024-07-02,39577,30562,171,5211,15220,44959,45953,1914,920
2024-07-09,39900,31063,171,5156,15129,45227,46363,1924,788
2024-07-16,41813,32583,186,6226,16576,48225,49345,1847,727
2024-07-23,41153,30316,192,5810,17524,47155,48032,1956,1079
2024-07-30,37385,25152,259,5220,18564,42864,43975,2018,907
2024-08-06,36624,22850,399,4237,18809,41260,42058,1820,1022
2024-08-13,34393,22311,269,5557,19106,40219,41686,2454,987
2024-08-20,36756,25516,272,6916,19654,43944,45442,2301,803
2024-08-27,36494,24500,285,5628,19369,42407,44154,2524,777
2024-09-03,37526,24196,283,15284,30234,53093,54713,2472,852
2024-09-10,37121,22421,462,30537,46647,68120,69530,2076,666
2024-09-17,35654,2601,280,2660,37085,38594,39966,2522,1150
2024-09-24,35644,3010,285,3253,37721,39182,41016,2659,825
2024-10-01,35100,2161,297,2887,37743,38284,40201,2823,906
2024-10-08,34457,2481,167,4073,37668,38697,40316,2696,1077
2024-10-15,30175,2476,167,7312,36719,37654,39362,2663,955
2024-10-22,30422,2277,319,6306,36475,37047,39071,3030,1006
2024-10-29,31376,2398,319,5607,36304,37302,39021,2644,925
2024-11-05,30987,1757,319,4748,35976,36054,38052,2945,947
2024-11-12,31007,1190,375,4556,35854,35938,37419,2378,897
2024-11-19,32045,1252,375,3190,35777,35610,37404,2468,674
2024-11-26,31214,1532,389,4228,35734,35831,37655,2434,610
2024-12-03,31017,1581,384,4607,35556,36008,37521,2396,883
2024-12-10,28984,1058,18159,6588,36010,53731,55227,2358,862
2024-12-17,23922,22500,409,4240,6888,28571,29797,2035,809
2024-12-24,22850,19789,454,2873,7247,26177,27490,2307,994
2024-12-31,18988,16836,454,3166,6329,22608,23619,2433,1422
2025-01-07,13863,16002,834,5330,4508,20027,21344,2366,1049
2025-01-14,13154,15599,989,6070,4893,20213,21481,2324,1056
2025-01-21,10447,14259,2404,8462,5924,21313,22587,1919,645
2025-01-28,11124,14223,3863,6900,4605,21887,22691,1882,1078
2025-02-04,10964,14649,3946,6372,3597,21282,22192,1885,975
2025-02-11,19911,18914,3946,2562,4207,26419,27067,2106,1458
2025-02-18,23127,19178,3946,2723,6747,29796,29871,1742,1667
2025-02-25,24183,22550,474,2838,4328,27495,27352,1567,1710
2025-03-04,20998,17578,588,3012,6369,24598,24535,1510,1573
2025-03-11,19726,17616,2440,16580,18311,38746,38367,1552,1931
2025-03-18,15703,2810,460,2733,15854,18896,19124,1943,1715
2025-03-25,18089,2294,460,2704,19159,21253,21913,1961,1301
2025-04-01,18764,2689,568,2753,19356,22085,22613,1558,1030
2025-04-08,15068,3239,420,7005,18173,22493,21832,1103,1764
2025-04-15,13625,6853,335,8535,14713,22495,21901,1048,1642
2025-04-22,13497,7389,335,8769,14412,22601,22136,1045,1510
2025-04-29,12076,6193,395,9385,14513,21856,21101,1002,1757
2025-05-06,13705,6521,395,7237,14477,21337,21393,1461,1405
2025-05-13,19735,7936,395,5214,17103,25344,25434,1261,1171
2025-05-20,18376,7233,395,4290,15992,23061,23620,1884,1325
2025-05-27,18675,6014,472,4363,17763,23510,24249,1941,1202
2025-06-03,17689,5591,475,4326,17236,22490,23302,2055,1243
2025-06-10,16260,4952,2767,4673,17561,23700,25280,2448,868
2025-06-17,16482,2114,491,2310,17654,19283,20259,1810,834
2025-06-24,14295,2026,491,2981,16032,17767,18549,1811,1029
