Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
5/3/2022,56764,28696,6884,50184,89501,113832,125081,23860,12611
5/10/2022,59829,40747,5424,52637,83156,117890,129327,24862,13425
5/17/2022,59857,43743,7269,54287,79128,121413,130140,23121,14394
5/24/2022,58748,44645,7734,56910,80207,123392,132586,23064,13870
5/31/2022,55545,41548,10827,56447,80308,122819,132683,24482,14618
6/7/2022,54899,37495,13599,54707,82697,123205,133791,25089,14503
6/14/2022,57216,43211,10333,60161,82208,127710,135752,24268,16226
6/21/2022,54451,36032,11059,54828,82078,120338,129169,25018,16187
6/28/2022,52932,42041,4713,55406,73891,113051,120645,22724,15130
7/5/2022,54841,49702,6990,56137,67759,117968,124451,22495,16012
7/12/2022,54744,51540,7902,57865,67477,120511,126919,21748,15340
7/19/2022,56187,54827,9113,58430,66643,123730,130583,21517,14664
7/26/2022,54671,59171,8724,62080,64733,125475,132628,22309,15156
8/2/2022,49220,48246,9313,55536,64600,114069,122159,22198,14108
8/9/2022,48864,45985,11231,56876,70450,116971,127666,24122,13427
8/16/2022,47851,44343,13480,59753,72204,121084,130027,23230,14287
8/23/2022,49151,53651,8124,63429,67748,120704,129523,23653,14834
8/30/2022,49468,57739,7939,58592,58327,115999,124005,22715,14709
9/6/2022,51714,64498,8076,55823,50768,115613,123342,22687,14958
9/13/2022,53373,58013,8527,51822,54373,113722,120913,21808,14617
9/20/2022,52323,53963,7740,50661,56290,110724,117993,21383,14114
9/27/2022,49984,49226,9342,48993,55853,108319,114421,20681,14579
10/4/2022,51926,43218,7803,47755,65372,107484,116393,22040,13131
10/11/2022,47939,40550,8734,47603,63206,104276,112490,21347,13133
10/18/2022,51541,50274,11544,50956,60041,114041,121859,22014,14196
10/25/2022,51163,51264,12639,52952,61809,116754,125712,22331,13373
11/1/2022,51286,49762,13711,51802,62165,116799,125638,22076,13237
11/8/2022,53651,40648,16295,47451,69539,117397,126482,23040,13955
11/15/2022,52692,35085,16152,48393,77817,117237,129054,24386,12569
11/22/2022,50540,33774,9737,45351,72993,105628,116504,23279,12403
11/29/2022,48441,30958,4397,46270,75267,99108,110622,22150,10636
12/6/2022,48954,29746,5199,44757,77019,98910,111964,23648,10594
12/13/2022,51405,28586,5394,44913,80719,101712,114699,23843,10856
12/20/2022,56164,26402,5019,44388,84697,105571,116118,23707,13160
12/27/2022,55870,24843,4974,44044,86961,104888,116778,23579,11689
1/3/2023,57801,26867,6384,44229,88440,108414,121691,23576,10299
1/10/2023,56770,27757,6654,42599,85524,106023,119935,23938,10026
1/17/2023,57439,25971,7772,42668,88035,107879,121778,23983,10084
1/24/2023,55595,29911,8093,47359,86820,111047,124824,23875,10098
1/31/2023,54867,27551,10734,47997,88431,113598,126716,24665,11547
2/7/2023,48121,34590,10808,47750,77429,106679,122827,26922,10774
2/14/2023,46028,34522,10268,48772,74594,105068,119384,27064,12748
2/21/2023,44985,35083,8870,45388,68438,99243,112391,24663,11515
2/28/2023,44202,44256,6305,47645,60797,98152,111358,25748,12542
3/7/2023,42903,50685,7308,50301,55914,100512,113907,26991,13596
3/14/2023,42227,43446,6934,48543,57780,97704,108160,24068,13612
3/21/2023,41325,37863,6744,48685,61366,96754,105973,22328,13109
3/28/2023,42254,28893,8109,44970,66845,95333,103847,22062,13548
4/4/2023,50327,29044,11738,44936,76371,107001,117153,24209,14057
4/11/2023,55583,31865,14269,47629,83884,117481,130018,25218,12681
4/18/2023,62968,36373,18074,51891,90547,132933,144994,25438,13377
4/25/2023,66145,35542,13410,45907,87430,125462,136382,24230,13310
5/2/2023,68219,36267,8269,41363,86537,117851,131073,24687,11465
5/9/2023,69166,36806,9169,41636,87826,119971,133801,25474,11644
5/16/2023,60440,36625,11066,43026,80093,114532,127784,25607,12355
5/23/2023,56686,34728,11205,42194,77166,110085,123099,25655,12641
5/30/2023,54837,33713,11696,41602,76138,108135,121547,25484,12072
6/6/2023,53149,31674,16066,42785,76850,112000,124590,25871,13281
6/13/2023,55054,31318,28642,42908,81378,126604,141338,27249,12515
6/20/2023,52547,32489,25937,45941,82151,124425,140577,28208,12056
6/27/2023,45983,26931,11370,42723,72050,100076,110351,23415,13140
7/3/2023,46433,28443,7184,37784,67353,91401,102980,23020,11441
7/11/2023,51305,31013,7435,38238,69887,96978,108335,23304,11947
7/18/2023,76420,32558,7193,38710,94693,122323,134444,24540,12419
7/25/2023,72786,35861,10437,39197,88915,122420,135213,24478,11685
8/1/2023,68463,37632,12300,38959,82971,119722,132903,24416,11235
8/8/2023,53781,40457,14865,41636,71985,110282,127307,27349,10324
8/15/2023,50692,42831,12255,47240,70504,110187,125590,28028,12625
8/22/2023,52967,40090,12580,46446,70250,111993,122920,24687,13760
8/29/2023,61744,34611,8472,42894,78670,113110,121753,21883,13240
9/5/2023,57558,30754,6855,40052,77760,104465,115369,23814,12910
9/12/2023,52963,34930,5872,40030,72070,98865,112872,26427,12420
9/19/2023,50699,35468,7932,40917,70704,99548,114104,26201,11645
9/26/2023,51539,31434,8720,40346,73426,100605,113580,25601,12626
10/3/2023,51405,36061,8287,37769,68127,97461,112475,28386,13372
