Index,NC Long,NC Short,C Long,C Short,NR Long,NR Short
2/14/2023,"45,826","34,488","55,126","81,769","29,389","14,084"
2/21/2023,"44,954","34,754","52,067","76,209","26,820","12,879"
2/28/2023,"43,521","44,809","52,752","65,457","27,668","13,676"
3/7/2023,"41,428","51,660","56,357","60,720","29,368","14,771"
3/14/2023,"43,742","44,094","54,221","65,115","26,555","15,309"
3/21/2023,"42,158","37,541","54,638","69,193","24,668","14,732"
3/28/2023,"43,200","28,463","50,553","74,237","24,116","15,169"
4/4/2023,"52,807","28,945","52,995","87,430","26,903","16,330"
4/11/2023,"57,811","32,381","55,873","94,456","28,058","14,904"
4/18/2023,"65,095","36,098","60,465","101,741","27,850","15,572"
4/25/2023,"67,853","35,964","52,001","95,037","26,038","14,890"
5/2/2023,"70,725","36,638","47,584","95,033","26,823","13,462"
5/9/2023,"72,330","37,950","48,706","97,011","27,528","13,603"
5/16/2023,"60,038","37,448","50,900","87,648","28,105","13,946"
5/23/2023,"56,235","35,867","50,399","84,869","28,258","14,157"
5/30/2023,"53,515","34,808","49,504","82,322","27,574","13,464"
6/6/2023,"51,509","32,556","50,893","82,973","27,973","14,845"
6/13/2023,"52,707","32,240","51,791","87,491","29,331","14,098"
6/20/2023,"49,512","33,483","54,965","87,691","30,365","13,667"
6/27/2023,"44,277","27,801","49,170","76,365","25,034","14,316"
7/4/2023,"44,819","29,488","44,050","71,564","24,688","12,505"
7/11/2023,"49,540","31,745","45,035","74,715","25,021","13,135"
7/18/2023,"77,081","33,236","46,775","102,621","26,509","14,507"
7/25/2023,"72,762","35,937","46,972","96,645","26,339","13,490"
8/1/2023,"68,332","38,054","45,355","89,356","26,273","12,550"
8/8/2023,"51,175","40,726","48,623","77,030","29,665","11,706"
8/15/2023,"47,932","42,881","54,531","75,805","30,349","14,125"
