Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
5/3/2022,43517,362696,10859,1073810,775005,1128186,1148560,148944,128570
5/10/2022,45084,356597,5832,1069894,779239,1120810,1141668,144208,123350
5/17/2022,48033,342592,37233,1065877,801655,1151143,1181480,151667,121330
5/24/2022,50153,358048,41710,1136228,845976,1228091,1245734,161147,143504
5/31/2022,41190,350468,24061,1074846,787255,1140097,1161784,148794,127107
6/7/2022,42957,357930,19106,1067607,776836,1129670,1153872,149154,124952
6/14/2022,41147,382748,17106,1091594,780208,1149847,1180062,147658,117443
6/21/2022,42428,387484,3231,1089411,772575,1135070,1163290,145784,117564
6/28/2022,42179,380162,2248,1092416,785070,1136843,1167480,148217,117580
7/5/2022,53639,372294,2068,1077401,791448,1133108,1165810,147290,114588
7/12/2022,52766,381061,2663,1087219,788817,1142648,1172541,146988,117095
7/19/2022,49387,395169,2270,1113613,805934,1165270,1203373,147987,109884
7/26/2022,49191,399452,3310,1120969,819401,1173470,1222163,154740,106047
8/2/2022,48880,400995,3354,1114434,806557,1166668,1210906,150939,106701
8/9/2022,47821,409137,25576,1132208,802084,1205605,1236797,139719,108527
8/16/2022,55063,429986,35135,1133222,795608,1223420,1260729,150925,113616
8/23/2022,64305,440538,42608,1121943,787477,1228856,1270623,157712,115945
8/30/2022,77899,433693,25869,1132704,809540,1236472,1269102,150042,117412
9/6/2022,70713,428128,22649,1118090,790342,1211452,1241119,148948,119281
9/13/2022,79375,425972,18913,1129862,819250,1228150,1264135,148787,112802
9/20/2022,71306,437219,13355,1152370,822227,1237031,1272801,147949,112179
9/27/2022,73402,455309,9517,1176845,840933,1259764,1305759,156277,110282
10/4/2022,66911,443734,7490,1169527,849469,1243928,1300693,159344,102579
10/11/2022,88146,438378,9763,1171440,868157,1269349,1316298,160022,113073
10/18/2022,90476,444994,4655,1179562,869938,1274693,1319587,158799,113905
10/25/2022,95630,446652,6942,1185802,878781,1288374,1332375,164658,120657
11/1/2022,85681,473847,1377,1198023,862131,1285081,1337355,165861,113587
11/8/2022,88204,470377,1927,1200247,872157,1290378,1344461,175022,120939
11/15/2022,94540,472248,10977,1217889,891272,1323406,1374497,170609,119518
11/22/2022,76599,453610,20719,1276180,952817,1373498,1427146,183684,130036
11/29/2022,60228,449632,20460,1222893,891481,1303581,1361573,175631,117639
12/6/2022,56272,428045,6440,1193551,875622,1256263,1310107,168437,114593
12/13/2022,59908,427076,6466,1194785,884027,1261159,1317569,165771,109361
12/20/2022,63616,425417,3725,1182804,870638,1250145,1299780,164190,114555
12/27/2022,62145,431048,2936,1182010,863817,1247091,1297801,165391,114681
1/3/2023,65262,430156,4041,1180797,861622,1250100,1295819,166521,120802
1/10/2023,63917,435323,3757,1176415,838006,1244089,1277086,161277,128280
1/17/2023,64109,449537,4239,1193027,850935,1261375,1304711,163472,120136
1/24/2023,53821,469184,2409,1203706,838491,1259936,1310084,166548,116400
1/31/2023,48954,482314,2419,1234463,840585,1285836,1325318,162321,122839
