Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2023-01-03,65262,430156,4041,1180797,861622,1250100,1295819,166521,120802
2023-01-10,63917,435323,3757,1176415,838006,1244089,1277086,161277,128280
2023-01-17,64109,449537,4239,1193027,850935,1261375,1304711,163472,120136
2023-01-24,53821,469184,2409,1203706,838491,1259936,1310084,166548,116400
2023-01-31,48954,482314,2419,1234463,840585,1285836,1325318,162321,122839
2023-02-07,63528,483231,5140,1228511,846097,1297179,1334468,162862,125573
2023-02-14,73619,491039,26612,1209915,839349,1310146,1357000,168749,121895
2023-02-21,81167,484539,11969,1228622,864648,1321758,1361156,180433,141035
2023-02-28,76064,498691,31811,1212518,818679,1320393,1349181,155018,126230
2023-03-07,83722,509253,12361,1220257,824365,1316340,1345979,152149,122510
2023-03-14,71183,514709,4883,1210033,814426,1286099,1334018,160316,112397
2023-03-21,62308,506270,1039,1206968,815041,1270315,1322350,157069,105034
2023-03-28,68540,490316,1186,1175863,812166,1245589,1303668,170261,112182
2023-04-04,71916,479674,1403,1171667,818354,1244986,1299431,164167,109722
2023-04-11,78023,477301,2517,1172982,824313,1253522,1304131,159503,108894
2023-04-18,78030,477031,2420,1176217,828696,1256667,1308147,169143,117663
2023-04-25,83053,481038,2737,1171201,823626,1256991,1307401,170666,120256
2023-05-02,86796,485602,3073,1190942,840509,1280811,1329184,169233,120860
2023-05-09,89706,490225,6337,1188568,847687,1284611,1344249,178139,118501
2023-05-16,97884,486864,14429,1192422,863447,1304735,1364740,183052,123047
2023-05-23,84063,493171,26001,1239774,889339,1349838,1408511,187318,128645
2023-05-30,80393,480293,14517,1198201,855877,1293111,1350687,175098,117522
2023-06-06,85791,492790,5518,1205231,848792,1296540,1347100,166525,115965
2023-06-13,83382,480375,4241,1207016,862290,1294639,1346906,166796,114529
2023-06-20,82695,486099,5064,1212061,870037,1299820,1361200,172397,111017
2023-06-27,76410,500101,5414,1227194,870031,1309018,1375546,175202,108674
2023-07-03,69955,520527,4712,1272590,878236,1347257,1403475,174627,118409
2023-07-11,82032,514944,6776,1264189,888361,1352997,1410081,174380,117296
2023-07-18,81265,520662,5515,1250311,872417,1337091,1398594,176653,115150
2023-07-25,77764,522389,6384,1247283,859677,1331431,1388450,175105,118086
2023-08-01,82885,539314,7691,1280918,868322,1371494,1415327,171258,127425
2023-08-08,88265,533353,8997,1291140,888854,1388402,1431204,172047,129245
2023-08-15,89227,534724,59218,1296276,895033,1444721,1488975,177740,133486
2023-08-22,82974,514214,97184,1306718,912959,1486876,1524357,178392,140911
2023-08-29,83622,464491,24203,1264356,914909,1372181,1403603,178082,146660
2023-09-05,86222,464493,11083,1279191,922399,1376496,1397975,171723,150244
2023-09-12,83739,460664,10208,1279765,935966,1373712,1406838,172214,139088
2023-09-19,79145,470721,7435,1280863,928454,1367443,1406610,179095,139928
2023-09-26,87944,461391,8343,1256355,921876,1352642,1391610,187791,148823
2023-10-03,96190,464332,3381,1278994,945994,1378565,1413707,184419,149277
2023-10-10,94022,460389,3754,1277631,935050,1375407,1399193,174927,151141
2023-10-17,92331,453812,3611,1281651,956434,1377593,1413857,176673,140409
2023-10-24,92655,456201,3099,1288162,949342,1383916,1408642,170435,145709
2023-10-31,90876,427316,3186,1290048,983047,1384110,1413549,176509,147070
2023-11-07,95860,421225,8640,1296146,1002561,1400646,1432426,172337,140557
2023-11-14,89069,414830,16560,1306531,1008677,1412160,1440067,172720,144813
2023-11-21,92660,415403,60820,1313927,1009819,1467407,1486042,183761,165126
2023-11-28,95430,424695,24148,1304297,984856,1423875,1433699,176634,166810
2023-12-05,99089,415751,6205,1304089,1010319,1409383,1432275,174300,151408
12/12/2023,115577,408557,4944,1290226,1011940,1410747,1425441,169381,154687
