Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,111438,91426,56344,124006,138231,291788,286001,27445,33232
2022-05-10,111546,89860,46314,120631,138410,278491,274584,29835,33742
2022-05-17,121593,92787,50724,120341,146361,292658,289872,33993,36779
2022-05-24,118170,91826,59081,115722,140061,292973,290968,33634,35639
2022-05-31,113964,91655,66829,117565,136212,298358,294696,32778,36440
2022-06-07,109678,85797,73175,116146,136009,298999,294981,34706,38724
2022-06-14,105566,85131,67123,128087,146176,300776,298430,36114,38460
2022-06-21,102924,83857,58836,125399,140806,287159,283499,33167,36827
2022-06-28,89989,82310,52748,118839,120710,261576,255768,29465,35273
2022-07-05,87094,78710,53980,121006,120383,262080,253073,26674,35681
2022-07-12,84206,79567,54152,122406,117365,260764,251084,27418,37098
2022-07-19,91557,85035,54940,118634,115461,265131,255436,27569,37264
2022-07-26,88400,88375,62128,122221,114153,272749,264656,28925,37018
2022-08-02,95807,96532,64672,127784,116896,288263,278100,27981,38144
2022-08-09,96022,99448,67899,125605,115666,289526,283013,31241,37754
2022-08-16,95452,97360,60674,126007,118559,282133,276593,31104,36644
2022-08-23,93027,101283,64978,130606,118263,288611,284524,31884,35971
2022-08-30,89300,100799,49955,119733,104819,258988,255573,29557,32972
2022-09-06,88611,98370,50284,121265,107588,260160,256242,29169,33087
2022-09-13,88091,96219,51534,119219,106242,258844,253995,28202,33051
2022-09-20,88644,92673,55655,113055,103073,257354,251401,28213,34166
2022-09-27,87885,85150,57467,118360,113685,263712,256302,27059,34469
2022-10-04,83334,77710,59880,121472,119571,264686,257161,26928,34453
2022-10-11,84943,86933,68796,126068,117363,279807,273092,28094,34809
2022-10-18,86038,89579,70837,125771,115237,282646,275653,26783,33776
2022-10-25,86299,99212,73874,134862,114966,295035,288052,29102,36085
2022-11-01,91164,106930,78781,134777,112284,304722,297995,28339,35066
2022-11-08,94154,111368,90142,135610,111924,319906,313434,30937,37409
2022-11-15,90194,112675,88495,138565,109255,317254,310425,32837,39666
