Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2023-01-03,84689,116980,74556,141962,104326,301207,295862,30370,35715
2023-01-10,87085,126801,73091,140763,97234,300939,297126,33599,37412
2023-01-17,86569,128583,79363,141956,96695,307888,304641,32942,36189
2023-01-24,88787,137107,85141,142422,91999,316350,314247,33981,36084
2023-01-31,89996,130056,90726,134236,92672,314958,313454,35913,37417
2023-02-07,89854,136153,93923,140063,91148,323840,321224,34322,36938
2023-02-14,94911,129035,102957,137429,99342,335297,331334,35211,39174
2023-02-21,92453,139941,89791,140224,92672,322468,322404,36892,36956
2023-02-28,92950,159712,73310,136414,70285,302674,303307,38480,37847
2023-03-07,103980,177245,75639,142659,71576,322278,324460,38513,36331
2023-03-14,109717,175031,89402,139342,74288,338461,338721,36213,35953
2023-03-21,105293,164496,95953,133069,73744,334315,334193,35982,36104
2023-03-28,101707,162252,103481,132616,72292,337804,338025,36122,35901
2023-04-04,99290,160089,105063,129015,74151,333368,339303,42631,36696
2023-04-11,109545,176227,105235,134826,72508,349606,353970,42293,37929
2023-04-18,105806,176342,87092,143559,78316,336457,341750,42074,36781
2023-04-25,101941,185129,83353,137977,62608,323271,331090,43119,35300
2023-05-02,109253,199456,81739,141257,57887,332249,339082,41385,34552
2023-05-09,107215,191990,82036,140058,59435,329309,333461,37821,33669
2023-05-16,110674,192086,85198,138443,62645,334315,339929,37866,32252
2023-05-23,112390,198709,88441,141282,60696,342113,347846,37340,31607
2023-05-30,107338,201334,93999,154656,65809,355993,361142,39165,34016
2023-06-06,106834,197518,99106,158400,73036,364340,369660,40861,35541
2023-06-13,104344,191171,88777,149603,69027,342724,348975,39896,33645
2023-06-20,98146,164510,83919,136416,72554,318481,320983,35384,32882
2023-06-27,82026,129203,62547,125549,74257,270122,266007,29487,33602
2023-07-03,83554,129018,63422,123400,72347,270376,264787,27557,33146
2023-07-11,82746,123157,65369,121935,76429,270050,264955,27096,32191
2023-07-18,85918,124621,70310,119240,76205,275468,271136,27939,32271
2023-07-25,90416,110971,71514,121245,93844,283175,276329,28164,35010
2023-08-01,98329,124406,69712,125442,93562,293483,287680,31106,36909
2023-08-08,105903,128697,78024,127107,101529,311034,308250,32948,35732
2023-08-15,110356,142231,91667,137515,103602,339538,337500,35301,37339
2023-08-22,111767,146558,101197,135137,101359,348101,349114,37529,36516
2023-08-29,103135,153392,87137,130515,80313,320787,320842,37203,37148
2023-09-05,109981,156391,98799,130578,86418,339358,341608,37412,35162
2023-09-12,114277,163896,104793,133152,86631,352222,355320,39447,36349
2023-09-19,121293,178230,107622,132640,82174,361555,368026,42182,35711
2023-09-26,120641,180655,115240,139031,84030,374912,379925,40849,35836
2023-10-03,122733,184080,122961,144907,86665,390601,393706,38732,35627
2023-10-10,118438,186132,123003,146376,82559,387817,391694,38842,34965
2023-10-17,118785,188028,122024,152043,86502,392852,396554,38939,35237
2023-10-24,121807,181754,125258,150412,93434,397477,400446,38208,35239
2023-10-31,122955,192522,142894,157363,88770,423212,424186,36998,36024
2023-11-07,132952,192563,142185,142156,81602,417293,416350,36019,36962
2023-11-14,128375,187413,131427,140853,82054,400655,400894,36304,36065
2023-11-21,129115,206646,125494,153562,77407,408171,409547,38089,36713
2023-11-28,114707,211911,97499,164692,66047,376898,375457,34939,36380
2023-12-05,119965,187032,93091,162290,89719,375346,369842,29963,35467
12/12/2023,108383,148404,75768,135276,86733,319427,310905,28033,36555
