Date,Bull,Neutral,Bear
1-4-24,0.48564,0.279373,0.234987
12-28-23,0.463291,0.286076,0.250633
12-21-23,0.529248,0.261838,0.208914
12-14-23,0.512968,0.293948,0.193084
12-7-23,0.473118,0.252688,0.274194
11-30-23,0.487578,0.31677,0.195652
11-23-23,0.452991,0.310541,0.236467
11-16-23,0.437838,0.281081,0.281081
11-9-23,0.426036,0.301775,0.272189
11-2-23,0.243094,0.254144,0.502762
10-26-23,0.292804,0.275434,0.431762
10-19-23,0.340659,0.313187,0.346154
10-12-23,0.4,0.235135,0.364865
10-5-23,0.30102,0.283163,0.415816
9-28-23,0.277916,0.312655,0.409429
9-21-23,0.312977,0.340967,0.346056
9-14-23,0.344156,0.363636,0.292208
9-7-23,0.421918,0.282192,0.29589
8-31-23,0.330935,0.323741,0.345324
8-24-23,0.322654,0.318078,0.359268
8-17-23,0.358904,0.339726,0.30137
8-10-23,0.446991,0.297994,0.255014
8-3-23,0.489848,0.296954,0.213198
7-27-23,0.449064,0.309771,0.241164
7-20-23,0.513575,0.271493,0.214932
7-13-23,0.409984,0.331395,0.258721
7-6-23,0.463918,0.291237,0.244845
6-29-23,0.419277,0.306024,0.274699
6-22-23,0.428571,0.293878,0.277551
6-15-23,0.45182,0.321199,0.226981
6-8-23,0.445483,0.311526,0.242991
6-1-23,0.290541,0.341216,0.368243
5-25-23,0.273846,0.329231,0.396923
5-18-23,0.228956,0.373737,0.397306
5-11-23,0.293893,0.293893,0.412214
5-4-23,0.240816,0.310204,0.44898
4-27-23,0.241379,0.373563,0.385057
4-20-23,0.272152,0.376582,0.351266
4-13-23,0.2605,0.3946,0.3448
4-6-23,0.3333,0.3165,0.3502
3-30-23,0.2251,0.3187,0.4561
3-23-23,0.209497,0.301676,0.488827
3-16-23,0.192171,0.323843,0.483986
3-9-23,0.248276,0.334483,0.417241
3-2-23,0.233766,0.318182,0.448052
2-23-23,0.216471,0.397647,0.385882
2-16-23,0.341176,0.370588,0.288235
2-9-23,0.375,0.375,0.25
2-2-23,0.299003,0.355482,0.345515
1-26-23,0.283668,0.34957,0.366762
1-19-23,0.309711,0.35958,0.330709
1-12-23,0.240283,0.360424,0.399293
1-5-23,0.205128,0.375,0.419872
12-29-22,0.264881,0.258929,0.47619
12-22-22,0.203077,0.273846,0.523077
12-15-22,0.243028,0.310757,0.446215
12-8-22,0.247273,0.334545,0.418182
12-1-22,0.244681,0.351064,0.404255
11-24-22,0.28863,0.309038,0.402332
11-17-22,0.33452,0.263345,0.402135
11-10-22,0.250871,0.278746,0.470383
11-3-22,0.305648,0.365449,0.328904
10-27-22,0.265896,0.277457,0.456647
10-20-22,0.225989,0.211864,0.562147
10-13-22,0.203647,0.237082,0.559271
10-6-22,0.239193,0.213256,0.54755
9-29-22,0.199525,0.192399,0.608076
9-22-22,0.177258,0.214047,0.608696
9-15-22,0.261324,0.278746,0.45993
9-8-22,0.180685,0.286604,0.53271
9-1-22,0.219178,0.276712,0.50411
8-25-22,0.277008,0.299169,0.423823
8-18-22,0.333333,0.295139,0.371528
8-11-22,0.321543,0.311897,0.366559
8-4-22,0.305556,0.305556,0.388889
7-28-22,0.277228,0.321782,0.40099
7-21-22,0.29589,0.282192,0.421918
7-14-22,0.268882,0.265861,0.465257
7-7-22,0.19382,0.27809,0.52809
