Date,Value
1/1/2024,40
1/5/2024,45
1/10/2024,55
1/15/2024,65
1/20/2024,70
1/25/2024,75
1/30/2024,80
2/5/2024,78
2/10/2024,76
2/15/2024,75
2/20/2024,72
2/25/2024,73
2/28/2024,73
3/5/2024,71
3/10/2024,68
3/15/2024,70
3/20/2024,65
3/25/2024,62
3/30/2024,60
4/5/2024,55
4/10/2024,45
4/15/2024,30
4/20/2024,35
4/25/2024,40
4/30/2024,45
5/5/2024,48
5/10/2024,50
5/15/2024,50
5/20/2024,48
5/25/2024,46
5/30/2024,45
6/5/2024,44
6/10/2024,43
6/15/2024,42
6/20/2024,43
6/25/2024,44
6/30/2024,45
7/5/2024,40
7/10/2024,35
7/15/2024,20
7/20/2024,25
7/25/2024,30
7/30/2024,35
8/5/2024,40
8/10/2024,45
8/15/2024,55
8/20/2024,60
8/25/2024,63
8/30/2024,65
9/5/2024,68
9/10/2024,70
9/15/2024,70
9/20/2024,72
9/25/2024,75
9/30/2024,75
10/5/2024,70
10/10/2024,65
10/15/2024,45
10/20/2024,50
10/25/2024,55
10/30/2024,60
11/7/2024,60
11/20/2024,50
11/21/2024,58
11/22/2024,61
11/25/2024,61
11/26/2024,64
11/27/2024,65
11/28/2024,65
11/29/2024,66
12/2/2024,67
12/3/2024,62
12/4/2024,57
12/5/2024,56
12/6/2024,53
12/9/2024,50
12/10/2024,48
12/11/2024,52
12/12/2024,50
12/13/2024,50
12/16/2024,57
12/17/2024,52
12/18/2024,38
12/19/2024,26
12/20/2024,28
12/23/2024,30
12/24/2024,34
12/25/2024,34
12/26/2024,35
12/27/2024,34
12/30/2024,29
12/31/2024,28
1/1/2025,28
1/2/2025,26
1/3/2025,32
1/6/2025,37
1/7/2025,35
1/8/2025,32
1/9/2025,32
1/10/2025,28
1/13/2025,26
1/14/2025,27
1/15/2025,29
1/16/2025,29
1/17/2025,38
1/20/2025,38
1/21/2025,41
1/22/2025,43
1/23/2025,46
1/24/2025,48
01/27/2025,39
01/28/2025,44
01/29/2025,45
01/30/2025,48
01/31/2025,47
02/03/2025,44
02/04/2025,39
02/05/2025,39
02/06/2025,41
02/07/2025,40
02/10/2025,47
02/11/2025,47
02/12/2025,44
02/13/2025,46
02/14/2025,44
02/17/2025,44
02/18/2025,48
02/19/2025,48
02/20/2025,45
02/21/2025,36
02/24/2025,30
02/25/2025,23
02/26/2025,22
02/27/2025,18
02/28/2025,19
03/03/2025,23
03/04/2025,20
03/05/2025,22
03/06/2025,17
03/07/2025,20
03/10/2025,15
03/11/2025,16
03/12/2025,20
03/13/2025,15
03/14/2025,21
03/17/2025,22
03/18/2025,20
03/19/2025,22
03/20/2025,22
03/21/2025,22
03/24/2025,28
03/25/2025,29
03/26/2025,28
03/27/2025,28
03/28/2025,22
03/31/2025,21
04/01/2025,19
04/02/2025,17
04/03/2025,9
04/04/2025,4
04/07/2025,4
04/08/2025,4
04/09/2025,22
04/10/2025,7
04/11/2025,13
04/14/2025,20
04/15/2025,19
04/16/2025,15
04/17/2025,21
04/18/2025,21
04/21/2025,22
04/22/2025,24
04/23/2025,27
04/24/2025,31
04/25/2025,36
04/28/2025,36
04/29/2025,38
04/30/2025,34
05/01/2025,48
05/02/2025,43
05/05/2025,57
05/06/2025,58
05/07/2025,56
05/08/2025,62
05/09/2025,62
05/12/2025,66
05/13/2025,69
05/14/2025,71
05/15/2025,69
05/16/2025,71
05/19/2025,70
05/20/2025,69
05/21/2025,66
05/22/2025,67
05/23/2025,64
05/26/2025,64
05/27/2025,65
05/28/2025,65
05/29/2025,64
05/30/2025,62
06/02/2025,63
06/03/2025,56
06/04/2025,55
06/05/2025,59
06/06/2025,63
06/09/2025,63
06/10/2025,64
06/11/2025,62
06/12/2025,61
06/13/2025,60
06/16/2025,62
06/17/2025,55
06/18/2025,54
06/19/2025,54
06/20/2025,55
06/23/2025,56
06/24/2025,57
06/25/2025,59
06/26/2025,62
06/27/2025,64
06/30/2025,66
07/01/2025,66
07/02/2025,63
07/03/2025,78
07/04/2025,78
07/07/2025,75
07/08/2025,75
07/09/2025,75
07/10/2025,76
07/11/2025,75
07/14/2025,77
07/15/2025,74
07/16/2025,74
07/17/2025,76
07/18/2025,75
07/21/2025,74
07/22/2025,73
07/23/2025,76
07/24/2025,76
07/25/2025,74
07/28/2025,73
07/29/2025,69
07/30/2025,66
07/31/2025,62
08/01/2025,49
08/04/2025,57
08/05/2025,55
08/06/2025,56
08/07/2025,55
08/08/2025,59
08/11/2025,58
08/12/2025,63
08/13/2025,63
08/14/2025,64
08/15/2025,65
08/18/2025,65
08/19/2025,60
08/20/2025,56
08/21/2025,54
08/22/2025,61
08/25/2025,60
08/26/2025,59
08/27/2025,62
08/28/2025,67
08/29/2025,64
09/01/2025,64
09/02/2025,62
09/03/2025,52
09/04/2025,51
09/05/2025,53
09/08/2025,51
09/09/2025,51
09/10/2025,51
09/11/2025,53
09/12/2025,55
09/15/2025,58
09/16/2025,58
09/17/2025,58
09/18/2025,62
09/19/2025,62
09/22/2025,63
09/23/2025,58
09/24/2025,57
09/25/2025,52
09/26/2025,53
09/29/2025,53
09/30/2025,52
10/01/2025,53
10/02/2025,51
10/03/2025,55
10/06/2025,57
10/07/2025,53
10/08/2025,53
10/09/2025,49
10/10/2025,30
10/13/2025,33
10/14/2025,30
10/15/2025,30
10/16/2025,23
10/17/2025,26
10/20/2025,31
10/21/2025,29
10/22/2025,27
10/23/2025,28
10/24/2025,33
10/27/2025,38
10/28/2025,40
10/29/2025,43
10/30/2025,38
10/31/2025,36
11/03/2025,45
