,Ticker,Return_12M,Return_6M,Return_3M,Rank_12M,Rank_6M,Rank_3M,Weighted_Rank,Position
761,HOOD,224.0,70.0,90.3,3.0,4.0,2.0,3.1,1
419,GRAL,144.4,178.3,79.4,9.0,1.0,6.0,6.0,2
675,PLTR,396.0,102.1,49.2,1.0,2.0,29.0,6.9,3
762,RBLX,156.6,57.3,71.9,7.0,10.0,10.0,8.5,4
213,NET,125.1,58.0,68.1,15.0,9.0,14.0,13.0,5
299,DUOL,164.6,40.1,46.6,6.0,18.0,35.0,15.4,6
615,MP,146.3,75.8,41.3,8.0,3.0,56.5,16.2,7
646,NRG,110.4,44.0,56.0,19.0,15.0,22.0,18.4,8
171,CVNA,130.2,32.8,45.6,14.0,27.0,37.0,22.5,9
400,GEV,195.6,25.4,51.5,5.0,57.0,27.0,25.0,10
47,AS,210.6,21.0,63.3,4.0,76.5,16.0,28.15,11
450,HWM,118.6,38.4,38.1,17.0,20.0,68.5,28.2,12
107,AXON,142.6,31.6,37.8,10.0,31.0,71.0,28.5,13
372,FIVE,61.0,32.7,82.5,47.0,28.0,4.0,32.7,14
983,ZS,56.7,62.8,51.9,56.0,6.0,25.0,34.8,15
488,JBL,78.1,26.5,51.6,31.0,51.0,26.0,36.0,16
667,ORCL,51.4,32.2,63.9,65.0,29.0,15.0,44.2,17
261,CW,63.3,26.5,45.3,44.0,51.0,39.0,45.1,18
820,SPOT,141.0,44.8,23.7,11.0,14.0,179.0,45.5,19
423,GWRE,75.3,37.3,29.0,32.0,21.0,119.5,46.2,20
626,NFLX,88.8,45.1,25.6,27.0,13.0,153.5,48.1,21
809,SNOW,57.0,26.5,47.9,54.0,51.0,32.5,48.8,22
839,TPR,97.8,21.0,32.4,22.0,76.5,95.5,53.05,23
93,ATI,37.5,43.0,80.6,103.0,16.0,5.0,57.3,24
62,APH,45.5,33.8,43.7,84.5,24.0,46.0,58.65,25
909,VEEV,54.7,31.1,30.3,58.0,33.0,108.5,60.6,26
288,DASH,113.8,29.1,21.7,18.0,41.0,200.0,61.3,27
164,CAH,72.3,30.2,22.8,34.0,36.0,185.0,64.8,28
495,JCI,48.1,28.6,34.7,72.0,42.5,85.0,65.75,29
398,GE,50.6,31.2,29.8,68.5,32.0,111.0,66.05,30
770,RCL,62.8,14.8,39.0,45.0,116.5,63.5,70.15,31
71,APG,34.1,30.9,40.7,119.0,35.0,59.0,81.8,32
473,IBKR,70.5,11.8,31.9,36.0,150.0,98.0,82.6,33
255,CRWD,36.7,33.5,29.2,107.0,25.5,116.5,84.45,34
590,META,50.6,13.8,38.7,68.5,127.0,65.0,85.35,35
145,AVGO,61.1,9.5,46.9,46.0,188.5,34.0,86.35,36
248,CPNG,36.4,27.2,32.8,108.0,46.5,93.0,86.55,37
860,TKO,67.9,24.1,17.9,39.0,60.0,253.0,88.1,38
434,HEI,37.1,32.0,27.1,105.0,30.0,134.0,88.3,39
965,WWD,33.2,27.1,41.3,126.0,48.0,56.5,88.7,40
735,RL,57.8,12.7,29.7,53.0,142.0,113.5,91.8,41
861,TOST,60.0,15.4,24.2,48.0,114.0,172.5,92.7,42
17,AFRM,91.1,6.3,46.5,26.0,245.5,36.0,93.85,43
460,IBM,51.1,27.2,18.6,67.0,46.5,235.5,94.55,44
301,BROS,73.5,15.5,19.8,33.0,113.0,225.0,95.4,45
925,VST,137.7,4.1,56.9,12.0,298.5,21.0,99.75,46
77,APP,329.4,3.7,44.6,2.0,305.0,44.5,101.4,47
697,PM,68.6,52.4,11.9,37.0,11.0,411.5,104.1,48
912,VRSN,56.8,33.5,14.0,55.0,25.5,346.5,104.45,49
154,BWXT,36.2,16.0,35.5,111.5,109.5,83.0,105.2,50
