,Ticker,Return_6M,Return_3M,Return_1M,Rank_6M,Rank_3M,Rank_1M,Weighted_Rank,Position
62,SNOW,91.7,126.7,21.3,8.0,2.0,3.0,3.7,1
128,HPE,129.0,75.2,19.1,5.0,7.0,8.0,7.1,2
140,HPQ,43.9,33.2,19.9,26.0,14.0,6.0,12.4,3
144,EXPE,35.2,29.6,22.8,34.0,18.0,2.0,13.2,4
110,GRMN,47.4,24.6,24.2,21.0,30.0,1.0,13.7,5
38,PANW,117.5,97.4,13.1,6.0,3.0,31.0,17.6,6
150,NTAP,85.6,67.0,12.8,10.0,8.0,33.0,20.9,7
170,GPN,23.6,25.6,19.8,58.5,25.0,7.0,22.7,8
123,NUE,44.6,17.3,21.2,25.0,53.0,4.0,22.9,9
171,CPAY,31.4,29.2,14.1,42.5,19.0,23.0,25.7,10
118,IQV,16.5,33.8,15.8,81.0,13.0,17.0,28.6,11
70,TRV,29.5,26.8,13.2,45.5,23.0,30.0,31.0,12
102,DDOG,144.7,97.0,8.5,3.0,4.0,60.0,31.8,13
127,DD,208.1,194.3,7.6,2.0,1.0,65.5,33.45,14
34,ANET,51.5,34.2,9.0,16.0,12.0,54.0,33.8,15
174,DGX,24.6,24.7,13.3,56.5,28.5,28.5,34.1,16
156,WSM,15.0,33.1,13.7,87.0,15.0,26.0,34.9,17
52,MMM,11.2,24.3,17.7,107.0,32.0,10.0,36.0,18
21,RTX,13.0,25.8,14.1,95.0,24.0,23.0,37.7,19
130,DXCM,16.7,36.9,11.6,80.0,11.0,39.0,38.8,20
111,DELL,279.1,93.8,7.1,1.0,5.0,76.5,39.95,21
106,XYZ,46.6,18.9,10.0,23.0,46.0,48.0,42.4,22
93,ROST,33.8,10.6,16.3,35.0,96.5,13.5,42.7,23
68,FCX,12.2,14.0,20.7,98.0,70.0,5.0,43.1,24
183,STLD,33.7,10.0,16.3,36.0,100.0,13.5,43.95,25
35,APH,32.5,24.4,8.9,38.0,31.0,55.5,44.65,26
162,LH,13.7,22.2,13.0,91.0,36.5,32.0,45.15,27
72,URI,37.0,20.5,8.5,31.0,41.0,60.0,48.5,28
90,VLO,53.2,27.8,6.9,13.0,20.0,81.0,49.1,29
160,SW,9.2,15.7,15.2,117.0,58.0,18.0,49.8,30
107,TGT,29.4,13.4,11.5,47.0,72.5,40.0,51.15,31
33,AMGN,11.4,23.2,10.8,104.5,34.0,41.5,51.85,32
14,CSCO,49.7,32.6,6.7,17.0,17.0,87.0,52.0,33
173,ZBH,11.4,18.5,12.1,104.5,47.0,36.0,53.0,34
126,WAB,23.1,9.5,14.4,61.0,105.5,20.5,54.1,35
66,NET,75.6,17.8,7.2,11.0,52.0,73.5,54.55,36
84,PSX,30.9,18.0,7.8,44.0,49.5,63.5,55.4,37
89,FTNT,102.3,82.5,4.7,7.0,6.0,105.5,55.95,38
94,AMP,2.8,18.0,14.4,162.0,49.5,20.5,57.5,39
178,PKG,10.1,12.9,14.1,112.0,81.0,23.0,58.2,40
24,TMO,2.2,22.2,13.3,165.5,36.5,28.5,58.3,41
13,GE,23.6,24.7,7.1,58.5,28.5,76.5,58.5,42
108,DAL,31.4,27.0,6.7,42.5,22.0,87.0,58.6,43
78,GM,3.3,13.3,16.9,155.0,75.0,12.0,59.5,44
125,IR,-7.6,14.4,17.3,182.0,63.5,11.0,60.95,45
77,MPC,52.0,21.1,6.1,14.0,39.0,93.0,61.0,46
10,BAC,14.2,18.0,8.5,90.0,49.5,60.0,62.85,47
60,HWM,39.7,13.6,7.3,30.0,71.0,72.0,63.3,48
169,TPR,22.5,6.9,13.6,62.5,124.5,27.0,63.35,49
124,STT,41.7,23.7,5.4,28.0,33.0,97.0,64.0,50
